Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
1,813895,C. Avant,Corey Avant,Avant,Corey,P,Midland RockHounds,MID,237,Midland,aax,ATH,Las Vegas Aviators,LV,400,Las Vegas,AAA,ATH,R,R,22.7,24,34,6,70.2,1451,355,48.8%,93.3,94.7,19.7,5.90,22.5%,13.5%,57.6%,45.1%,20.6%,50.1%,53.8%,18.60%,52.78%,26.4%,24.0%,15.8%,22.7%,76.0%,18.0%,.328,.388,-4.03,-.003
1,806303,Z. Jacobs,Zach Jacobs,Jacobs,Zach,P,,,,,,,Lake County Captains,LC,437,Lake County,AFA,CLE,R,R,22.8,24,34,5,80.0,1182,304,0.1%,93.2,92.1,13.5,5.45,26.3%,8.6%,64.6%,49.1%,16.9%,67.1%,61.8%,25.00%,49.61%,30.9%,28.2%,18.9%,30.0%,71.8%,12.4%,.237,.226,21.92,.019
3,694819,J. Misiorowski,Jacob Misiorowski,Misiorowski,Jacob,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,22.2,24,33,21,97.1,1729,417,33.5%,97.0,98.5,17.5,7.38,30.5%,14.4%,59.1%,46.8%,19.7%,58.0%,48.9%,26.40%,60.61%,31.4%,34.9%,25.7%,22.6%,65.1%,14.0%,.266,.275,19.34,.011
3,700274,J. Chacon,Javier Chacon,Chacon,Javier,P,Lake Elsinore Storm,LE,103,Lake Elsinore,afx,SD,Lake Elsinore Storm,LE,103,Lake Elsinore,AFX,SD,L,L,21.5,23,33,5,77.1,1323,329,33.3%,92.3,93.1,16.7,6.21,28.3%,12.5%,60.8%,48.9%,20.8%,58.4%,58.2%,22.71%,57.03%,30.8%,31.3%,24.9%,22.5%,68.8%,16.9%,.283,.295,11.85,.009
3,691602,S. Cruz,Stiven Cruz,Cruz,Stiven,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,R,R,22.6,24,33,6,63.0,1032,266,43.6%,91.8,92.9,19.1,5.75,18.4%,11.3%,62.9%,46.8%,15.8%,62.0%,60.4%,15.38%,37.04%,28.5%,22.3%,20.0%,25.7%,77.7%,13.7%,.295,.320,6.52,.006
6,692038,P. Lemos,Pedro Da Costa Lemos,Lemos,Pedro Da Costa,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,R,R,21.1,22,31,11,89.2,1520,416,46.0%,92.4,93.8,20.1,5.50,21.2%,9.6%,63.0%,49.6%,16.7%,61.1%,61.5%,18.98%,52.17%,26.8%,25.3%,16.9%,26.1%,74.7%,14.3%,.309,.319,6.48,.004
7,691711,J. Ramírez,Jawilme Ramírez,Ramírez,Jawilme,P,Peoria Chiefs,PEO,443,Peoria,afa,STL,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,R,R,22.6,24,30,6,73.0,1206,311,46.7%,92.8,93.8,20.3,6.58,19.6%,11.9%,62.7%,47.6%,13.9%,59.5%,61.1%,17.53%,44.95%,24.4%,23.3%,15.7%,28.7%,76.7%,17.0%,.290,.298,11.74,.010
8,695835,E. Núñez,Edwin Núñez,Núñez,Edwin,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,R,R,22.7,24,29,17,79.2,1582,397,49.7%,97.7,99.1,17.2,5.83,20.4%,16.9%,56.1%,45.8%,21.2%,53.9%,55.1%,17.84%,49.61%,26.0%,30.1%,23.9%,18.2%,69.9%,23.5%,.370,.363,-10.89,-.007
9,699044,M. Ullola,Miguel Ullola,Ullola,Miguel,P,Sugar Land Space Cowboys,SUG,5434,Sugar Land,aaa,HOU,Sugar Land Space Cowboys,SUG,5434,Sugar Land,AAA,HOU,R,R,22.0,23,28,24,130.1,2176,549,51.9%,93.6,94.9,21.3,6.52,31.1%,14.0%,61.7%,52.3%,15.0%,59.0%,58.9%,26.03%,58.92%,30.7%,32.3%,26.1%,24.8%,67.7%,13.4%,.256,.275,34.69,.016
9,695534,C. Petty,Chase Petty,Petty,Chase,P,Cincinnati Reds,CIN,113,Cincinnati,mlb,CIN,Louisville Bats,LOU,416,Louisville,AAA,CIN,R,R,21.2,23,28,28,137.0,2213,580,3.1%,96.2,96.6,14.7,6.13,22.4%,10.2%,63.2%,50.9%,15.2%,60.7%,58.5%,20.00%,48.47%,28.8%,29.1%,21.6%,27.8%,70.9%,14.8%,.297,.312,18.47,.008
