Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,775418,2024-09-10 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 6-7,MIL,WSH,20.0,21,1,1,5.0,83,21,3.6%,92.0,92.5,17.3,5.82,38.1%,0.0%,69.9%,50.6%,15.7%,61.9%,52.4%,33.33%,63.64%,33.7%,33.3%,29.0%,34.1%,66.7%,7.7%,.183,.210,1.76,.021,Nationals,WIL vs. FBG (2024-09-10)<br>L 6-7,9/10/24
2,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754285,2024-09-03 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 11-3,MIL,BAL,20.0,21,1,1,4.0,74,17,2.7%,90.4,90.9,15.1,5.74,41.2%,23.5%,56.8%,43.2%,20.3%,41.2%,38.9%,33.33%,87.50%,40.5%,47.8%,43.8%,16.7%,52.2%,0.0%,.260,.318,0.85,.012,Shorebirds,WIL vs. DEL (2024-09-03)<br>W 11-3,9/3/24
3,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753754,2024-08-27 18:30:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,481,HC,HC,W 3-2,MIL,CLE,20.0,21,1,1,6.1,87,22,0.0%,-,92.4,14.3,5.83,13.6%,0.0%,74.7%,51.7%,16.1%,77.3%,77.3%,15.79%,20.00%,23.0%,13.5%,16.7%,38.1%,86.5%,0.0%,.209,.120,2.14,.025,Hillcats,WIL vs. HC (2024-08-27)<br>W 3-2,8/27/24
4,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754289,2024-08-20 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,478,AUG,AUG,W 5-4,MIL,ATL,20.0,21,1,1,4.0,74,18,0.0%,-,89.9,15.2,5.67,27.8%,5.6%,67.6%,50.0%,20.3%,61.1%,61.1%,30.00%,44.44%,33.8%,19.4%,18.2%,24.3%,80.6%,33.3%,.209,.353,1.00,.013,GreenJackets,WIL vs. AUG (2024-08-20)<br>W 5-4,8/20/24
5,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754089,2024-08-13 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 2-1,MIL,BAL,20.0,21,1,1,6.0,81,22,6.2%,89.3,90.3,17.0,5.60,4.5%,13.6%,53.1%,50.6%,22.2%,45.5%,36.4%,0.00%,0.00%,19.8%,15.6%,18.5%,12.5%,84.4%,29.4%,.239,.254,1.63,.020,Shorebirds,WIL vs. DEL (2024-08-13)<br>W 2-1,8/13/24
6,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753897,2024-08-07 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 9-13,MIL,WSH,20.0,21,1,1,4.0,74,23,0.0%,-,92.2,15.7,5.92,13.0%,13.0%,64.9%,54.1%,16.2%,60.9%,83.3%,0.00%,33.33%,24.3%,18.9%,10.3%,23.5%,81.1%,20.0%,.300,.493,1.05,.014,Nationals,WIL vs. FBG (2024-08-07)<br>L 9-13,8/7/24
7,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754293,2024-08-01 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,233,CHS,CHS,W 5-2,MIL,TB,20.0,21,1,1,4.0,68,16,0.0%,-,90.0,15.8,5.66,31.3%,12.5%,50.0%,35.3%,16.2%,50.0%,31.3%,50.00%,40.00%,25.0%,26.1%,12.5%,15.9%,73.9%,11.1%,.175,.196,0.94,.014,RiverDogs,WIL vs. CHS (2024-08-01)<br>W 5-2,8/1/24
8,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753638,2024-07-25 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,414,SAL,SAL,L 0-3,MIL,BOS,20.0,21,1,1,4.0,61,15,1.6%,89.1,92.3,15.1,5.87,20.0%,6.7%,62.3%,36.1%,16.4%,80.0%,66.7%,11.76%,33.33%,26.2%,29.0%,25.0%,38.5%,71.0%,9.1%,.263,.222,0.78,.013,Red Sox,WIL vs. SAL (2024-07-25)<br>L 0-3,7/25/24
9,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753912,2024-07-11 19:26:00 (2),WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 0-2 (7),MIL,WSH,20.0,21,1,1,5.0,71,22,1.4%,91.3,92.5,15.5,5.87,18.2%,18.2%,53.5%,49.3%,16.9%,50.0%,56.5%,28.57%,100.00%,19.7%,17.2%,12.5%,13.9%,82.8%,21.4%,.286,.360,0.62,.009,Nationals,WIL vs. FBG (2024-07-11)<br>L 0-2,7/11/24
10,802192,D. Corniel,Daniel Corniel,Corniel,Daniel,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754044,2024-07-02 18:30:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,485,DE,DE,L 3-9,MIL,TEX,20.0,21,1,1,4.0,73,21,11.0%,91.9,92.5,16.6,4.81,28.6%,14.3%,67.1%,46.6%,13.7%,57.1%,76.2%,37.50%,44.44%,32.9%,32.4%,24.0%,30.8%,67.6%,10.0%,.297,.420,1.03,.014,Wood Ducks,WIL vs. DE (2024-07-02)<br>L 3-9,7/2/24
