Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760233,2024-09-04 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 3-6,MIA,STL,19.7,21,1,1,4.2,78,21,1.3%,95.1,95.0,16.4,6.62,14.3%,4.8%,66.7%,47.4%,24.4%,76.2%,57.1%,23.08%,30.00%,21.8%,16.7%,10.7%,34.1%,83.3%,23.5%,.315,.320,1.07,.014,Cardinals,JUP vs. PMB (2024-09-04)<br>L 3-6,9/4/24
2,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760031,2024-08-28 13:10:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,507,SLU,SLU,L 7-10,MIA,NYM,19.7,21,1,1,4.2,81,24,14.8%,93.6,94.6,18.6,6.66,8.3%,12.5%,55.6%,40.7%,19.8%,62.5%,33.3%,10.00%,33.33%,14.8%,13.2%,3.8%,25.0%,86.8%,27.8%,.304,.349,1.75,.022,Mets,JUP vs. SLU (2024-08-28)<br>L 7-10,8/28/24
3,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760235,2024-08-21 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,450,DBT,DBT,L 1-7,MIA,CIN,19.7,21,1,1,3.2,80,20,11.3%,94.0,94.8,19.0,6.60,15.0%,10.0%,61.3%,52.5%,18.8%,50.0%,45.0%,22.22%,20.00%,16.3%,16.3%,16.7%,18.4%,83.7%,13.3%,.254,.325,2.43,.030,Tortugas,JUP vs. DBT (2024-08-21)<br>L 1-7,8/21/24
4,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760104,2024-08-14 18:30:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 1-3,MIA,STL,19.7,21,1,1,5.0,77,20,3.9%,95.0,95.4,17.2,6.71,25.0%,5.0%,62.3%,57.1%,13.0%,35.0%,45.0%,37.50%,60.00%,28.6%,25.7%,24.1%,18.2%,74.3%,14.3%,.281,.336,1.12,.015,Cardinals,JUP vs. PMB (2024-08-14)<br>L 1-3,8/14/24
5,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760243,2024-08-07 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,509,FTM,FTM,L 2-10,MIA,MIN,19.7,21,1,1,0.0,36,8,0.0%,-,94.3,17.8,6.55,0.0%,62.5%,41.7%,33.3%,30.6%,12.5%,42.9%,0.00%,0.00%,19.4%,27.3%,28.6%,16.7%,72.7%,33.3%,.717,.797,-0.53,-.015,Mighty Mussels,JUP vs. FTM (2024-08-07)<br>L 2-10,8/7/24
6,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760514,2024-07-31 12:00:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,566,CLR,CLR,W 7-3,MIA,PHI,19.7,21,1,1,5.0,60,17,8.3%,94.5,95.4,18.0,6.63,29.4%,0.0%,71.7%,51.7%,20.0%,70.6%,52.9%,25.00%,71.43%,38.3%,31.0%,20.0%,31.0%,69.0%,16.7%,.155,.224,2.25,.038,Threshers,JUP vs. CLR (2024-07-31)<br>W 7-3,7/31/24
7,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760252,2024-07-24 18:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,450,DBT,DBT,W 13-3,MIA,CIN,19.7,21,1,1,5.0,74,19,0.0%,-,96.4,16.2,6.78,26.3%,10.5%,60.8%,43.2%,23.0%,68.4%,47.4%,15.38%,60.00%,25.7%,27.8%,25.0%,28.6%,72.2%,27.3%,.280,.251,1.58,.021,Tortugas,JUP vs. DBT (2024-07-24)<br>W 13-3,7/24/24
8,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760578,2024-07-11 18:30:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,3390,BRD,BRD,W 7-3,MIA,PIT,19.7,21,1,1,5.0,77,20,13.0%,94.1,94.9,18.4,6.64,20.0%,0.0%,68.8%,49.4%,11.7%,70.0%,60.0%,20.00%,50.00%,31.2%,25.6%,26.9%,33.3%,74.4%,25.0%,.231,.297,2.00,.026,Marauders,JUP vs. BRD (2024-07-11)<br>W 7-3,7/11/24
9,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760254,2024-07-03 18:00:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 0-6,MIA,STL,19.7,21,1,1,5.0,70,18,4.3%,95.4,95.4,16.8,6.51,38.9%,5.6%,67.1%,48.6%,17.1%,61.1%,72.2%,25.00%,50.00%,32.9%,33.3%,26.1%,36.1%,66.7%,22.2%,.235,.148,1.63,.023,Cardinals,JUP vs. PMB (2024-07-03)<br>L 0-6,7/3/24
10,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760450,2024-06-27 18:35:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,450,DBT,DBT,L 3-10,MIA,CIN,19.7,21,1,1,1.2,53,12,64.2%,94.8,95.5,18.8,6.21,8.3%,8.3%,66.0%,52.8%,24.5%,58.3%,75.0%,0.00%,25.00%,30.2%,20.8%,28.6%,40.0%,79.2%,28.6%,.463,.560,-0.66,-.013,Tortugas,JUP vs. DBT (2024-06-27)<br>L 3-10,6/27/24
11,803244,E. Dishmey,Eliazar Dishmey,Dishmey,Eliazar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760261,2024-06-20 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,566,CLR,CLR,L 0-4,MIA,PHI,19.7,21,1,1,5.0,55,15,20.0%,93.8,94.6,17.9,6.42,40.0%,0.0%,67.3%,52.7%,14.5%,73.3%,60.0%,60.00%,66.67%,38.2%,23.8%,21.4%,26.9%,76.2%,12.5%,.148,.000,1.34,.024,Threshers,JUP vs. CLR (2024-06-20)<br>L 0-4,6/20/24
