Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785618,2025-09-04 18:30:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,570,LAK,LAK,W 2-1,MIA,DET,20.0,20,1,1,6.2,80,27,35.0%,93.8,94.1,15.9,6.41,14.8%,0.0%,63.7%,53.8%,21.3%,55.6%,63.0%,25.00%,66.67%,31.3%,25.7%,20.7%,16.2%,74.3%,15.0%,.280,.220,0.25,.003,Flying Tigers,JUP vs. LAK (2025-09-04)<br>W 2-1,9/4/25
2,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785687,2025-08-28 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 6-9,MIA,STL,20.0,20,1,1,2.2,70,18,41.4%,93.4,93.9,17.9,6.30,16.7%,5.6%,60.0%,47.1%,31.4%,33.3%,57.9%,11.11%,28.57%,24.3%,24.2%,12.0%,21.6%,75.8%,15.4%,.239,.486,0.64,.009,Cardinals,JUP vs. PMB (2025-08-28)<br>L 6-9,8/28/25
3,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785953,2025-08-21 18:30:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,566,CLR,CLR,L 1-4,MIA,PHI,20.0,20,1,1,5.0,70,18,41.4%,94.1,94.5,17.4,6.26,33.3%,0.0%,62.9%,47.1%,21.4%,66.7%,58.8%,25.00%,62.50%,30.0%,25.8%,15.0%,29.7%,74.2%,18.2%,.158,.138,1.33,.019,Threshers,JUP vs. CLR (2025-08-21)<br>L 1-4,8/21/25
4,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785491,2025-08-14 18:10:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,507,SLU,SLU,L 4-6,MIA,NYM,20.0,20,1,1,4.2,79,21,35.4%,93.2,93.8,16.7,6.25,23.8%,9.5%,63.3%,50.6%,27.8%,52.4%,52.4%,27.27%,50.00%,25.3%,18.9%,7.1%,23.1%,81.1%,30.8%,.256,.244,0.56,.007,Mets,JUP vs. SLU (2025-08-14)<br>L 4-6,8/14/25
5,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785688,2025-08-07 18:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,450,DBT,DBT,W 4-1,MIA,CIN,20.0,20,1,1,6.0,79,22,30.4%,92.8,93.0,18.3,6.35,31.8%,4.5%,67.1%,43.0%,27.8%,63.6%,63.6%,38.46%,75.00%,40.5%,40.0%,14.3%,31.1%,60.0%,0.0%,.195,.192,1.83,.023,Tortugas,JUP vs. DBT (2025-08-07)<br>W 4-1,8/7/25
6,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785691,2025-07-31 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,507,SLU,SLU,L 5-10,MIA,NYM,20.0,20,1,1,5.1,82,23,37.8%,93.0,93.5,18.5,6.38,26.1%,8.7%,61.0%,50.0%,23.2%,60.9%,56.5%,27.27%,62.50%,31.7%,36.8%,28.0%,31.7%,63.2%,20.0%,.315,.246,0.22,.003,Mets,JUP vs. SLU (2025-07-31)<br>L 5-10,7/31/25
7,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785567,2025-07-24 17:00:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 2-3,MIA,STL,20.0,20,1,1,5.0,80,20,46.3%,93.2,93.8,18.5,6.44,30.0%,15.0%,66.3%,45.0%,23.8%,60.0%,60.0%,37.50%,50.00%,37.5%,34.3%,25.0%,34.1%,65.7%,18.2%,.330,.294,0.52,.007,Cardinals,JUP vs. PMB (2025-07-24)<br>L 2-3,7/24/25
8,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785900,2025-07-13 14:00:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,450,DBT,DBT,W 6-1,MIA,CIN,20.0,20,1,1,1.2,36,8,-,-,-,-,-,50.0%,12.5%,50.0%,-,-,37.5%,25.0%,80.00%,100.00%,36.1%,61.5%,-,-,38.5%,-,.251,.286,0.73,.020,Tortugas,JUP vs. DBT (2025-07-13)<br>W 6-1,7/13/25
9,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785703,2025-07-06 12:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,279,PMB,PMB,W 7-2,MIA,STL,20.0,20,1,1,5.0,82,22,31.7%,92.0,92.4,18.7,6.32,31.8%,18.2%,56.1%,41.5%,28.0%,59.1%,54.5%,40.00%,71.43%,34.1%,37.9%,21.1%,20.8%,62.1%,18.2%,.347,.389,-0.65,-.008,Cardinals,JUP vs. PMB (2025-07-06)<br>W 7-2,7/6/25
10,801737,L. Martinez,Liomar Martinez,Martinez,Liomar,P,Beloit Sky Carp,BEL,554,Beloit,afa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2025,785702,2025-06-29 12:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,507,SLU,SLU,W 13-1,MIA,NYM,20.0,20,1,1,6.0,73,21,46.6%,92.3,93.0,18.3,6.42,38.1%,0.0%,71.2%,52.1%,16.4%,66.7%,66.7%,40.00%,66.67%,42.5%,30.0%,15.8%,31.4%,70.0%,7.7%,.158,.144,1.64,.023,Mets,JUP vs. SLU (2025-06-29)<br>W 13-1,6/29/25
