Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,775410,2024-09-18 12:05:00 (1),FBG - AFX,436,AFX,true,false,true,Fredericksburg,FBG,FBG,487,KAN,KAN,L 0-3 (7),WSH,CWS,19.0,20,1,4.1,80,21,11.3%,95.2,96.0,15.4,6.44,42.9%,4.8%,75.0%,60.0%,10.0%,66.7%,71.4%,23.08%,61.54%,38.8%,34.1%,20.7%,46.9%,65.9%,36.4%,.249,.312,1.37,.017,Cannon Ballers,FBG vs. KAN (2024-09-18)<br>L 0-3,9/18/24
2,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,775418,2024-09-10 19:05:00,FBG - AFX,436,AFX,true,true,true,Fredericksburg,FBG,FBG,249,WIL,WIL,W 7-6,WSH,MIL,19.0,20,1,3.2,70,19,7.1%,94.6,97.0,15.9,6.46,21.1%,10.5%,64.3%,50.0%,15.7%,63.2%,68.4%,8.33%,33.33%,27.1%,23.5%,20.8%,28.6%,76.5%,7.7%,.361,.371,-0.40,-.006,Mudcats,FBG vs. WIL (2024-09-10)<br>W 7-6,9/10/24
3,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,753885,2024-09-03 19:05:00,FBG - AFX,436,AFX,true,true,true,Fredericksburg,FBG,FBG,481,HC,HC,W 4-2,WSH,CLE,19.0,20,1,4.0,80,15,7.5%,95.5,96.7,15.1,6.63,33.3%,26.7%,52.5%,50.0%,20.0%,40.0%,25.0%,27.27%,50.00%,31.3%,39.3%,36.4%,15.0%,60.7%,0.0%,.330,.326,0.61,.008,Hillcats,FBG vs. HC (2024-09-03)<br>W 4-2,9/3/24
4,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,753818,2024-08-27 18:30:00,FBG - AFX,436,AFX,false,true,true,Fredericksburg,FBG,FBG,487,KAN,KAN,W 10-6,WSH,CWS,19.0,20,1,4.2,80,20,40.0%,96.4,96.9,12.4,5.62,35.0%,10.0%,67.5%,52.5%,13.8%,70.0%,85.0%,28.57%,70.00%,33.8%,32.5%,23.3%,26.3%,67.5%,0.0%,.229,.245,1.56,.020,Cannon Ballers,FBG vs. KAN (2024-08-27)<br>W 10-6,8/27/24
5,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,754156,2024-08-21 19:05:00,FBG - AFX,436,AFX,false,false,true,Fredericksburg,FBG,FBG,3705,COL,COL,L 1-4,WSH,KC,19.0,20,1,5.0,79,17,12.7%,94.7,96.1,14.3,6.50,29.4%,11.8%,65.8%,50.6%,21.5%,64.7%,64.7%,21.05%,50.00%,31.6%,34.1%,22.2%,35.9%,65.9%,10.0%,.244,.141,1.81,.023,Fireflies,FBG vs. COL (2024-08-21)<br>L 1-4,8/21/24
6,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,753889,2024-08-15 19:05:00,FBG - AFX,436,AFX,true,false,true,Fredericksburg,FBG,FBG,414,SAL,SAL,L 4-6,WSH,BOS,19.0,20,1,4.2,80,20,12.5%,94.6,96.0,14.0,6.40,20.0%,15.0%,62.5%,41.3%,17.5%,40.0%,52.4%,44.44%,37.50%,35.0%,35.3%,23.8%,27.7%,64.7%,0.0%,.269,.324,1.44,.018,Red Sox,FBG vs. SAL (2024-08-15)<br>L 4-6,8/15/24
7,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,753895,2024-08-10 12:05:00 (1),FBG - AFX,436,AFX,true,true,true,Fredericksburg,FBG,FBG,249,WIL,WIL,W 4-1 (7),WSH,MIL,19.0,20,1,4.0,70,15,34.3%,95.5,96.6,12.8,6.33,26.7%,13.3%,57.1%,44.3%,18.6%,53.3%,40.0%,30.00%,50.00%,27.1%,36.4%,22.7%,28.2%,63.6%,0.0%,.199,.151,1.78,.025,Mudcats,FBG vs. WIL (2024-08-10)<br>W 4-1,8/10/24
8,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Fredericksburg Nationals,FBG,436,Fredericksburg,AFX,WSH,2024,753762,2024-08-03 18:30:00,FBG - AFX,436,AFX,false,false,true,Fredericksburg,FBG,FBG,481,HC,HC,L 0-3 (5),WSH,CLE,19.0,20,1,0.2,33,6,-,-,-,-,-,16.7%,50.0%,36.4%,-,-,0.0%,0.0%,50.00%,-,24.2%,42.9%,-,-,57.1%,-,.491,.491,-0.02,-.000,Hillcats,FBG vs. HC (2024-08-03)<br>L 0-3,8/3/24
9,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754169,2024-07-27 18:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,3705,COL,COL,W 5-3 (10),CLE,KC,19.0,20,1,4.2,70,20,41.4%,95.4,96.4,14.5,6.32,35.0%,10.0%,67.1%,51.4%,15.7%,60.0%,55.0%,40.00%,87.50%,31.4%,30.6%,19.2%,29.4%,69.4%,9.1%,.162,.278,2.54,.036,Fireflies,HC vs. COL (2024-07-27)<br>W 5-3,7/27/24
10,806046,A. Clemmey,Alex Clemmey,Clemmey,Alex,P,Harrisburg Senators,HBG,547,Harrisburg,aax,WSH,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754296,2024-07-21 13:00:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,249,WIL,WIL,L 1-3 (7),CLE,MIL,19.0,20,1,4.0,58,15,32.8%,95.7,96.2,14.2,6.32,40.0%,13.3%,63.8%,44.8%,22.4%,53.3%,50.0%,50.00%,75.00%,29.3%,28.6%,11.1%,31.3%,71.4%,33.3%,.246,.346,0.66,.011,Mudcats,HC vs. WIL (2024-07-21)<br>L 1-3,7/21/24
