Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760163,2024-09-06 18:30:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,509,FTM,FTM,W 6-0 (7),DET,MIN,21.8,23,1,0,3.0,47,11,-,-,-,-,-,18.2%,9.1%,57.4%,-,-,72.7%,54.5%,0.00%,25.00%,27.7%,30.0%,-,-,70.0%,-,.242,.242,1.37,.029,Mighty Mussels,LAK vs. FTM (2024-09-06)<br>W 6-0,9/6/24
2,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760361,2024-08-30 12:05:00 (1),LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 4-6,DET,TOR,21.8,23,1,1,4.0,69,20,10.1%,90.4,91.2,16.0,6.75,15.0%,10.0%,60.9%,42.0%,29.0%,40.0%,55.0%,0.00%,50.00%,27.5%,30.3%,14.3%,30.0%,69.7%,21.4%,.435,.407,-1.68,-.024,Blue Jays,LAK vs. DUN (2024-08-30)<br>L 4-6,8/30/24
3,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760169,2024-08-24 12:05:00 (1),LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 2-3 (8),DET,PIT,21.8,23,1,0,3.0,56,14,17.9%,94.6,95.0,16.0,6.86,50.0%,14.3%,53.6%,32.1%,33.9%,50.0%,35.7%,71.43%,83.33%,35.7%,52.4%,41.7%,23.7%,47.6%,33.3%,.273,.348,-0.24,-.004,Marauders,LAK vs. BRD (2024-08-24)<br>L 2-3,8/24/24
4,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760306,2024-08-14 19:05:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 3-6,DET,MIN,21.8,23,1,1,5.0,92,22,21.7%,91.1,91.8,17.1,7.00,27.3%,13.6%,58.7%,41.3%,28.3%,40.9%,59.1%,23.08%,54.55%,26.1%,25.0%,7.7%,25.9%,75.0%,30.8%,.245,.271,2.42,.026,Mighty Mussels,LAK vs. FTM (2024-08-14)<br>L 3-6,8/14/24
5,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760177,2024-08-07 18:30:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,566,CLR,CLR,L 1-9,DET,PHI,21.8,23,1,1,5.0,73,24,27.4%,92.4,93.8,16.5,7.06,12.5%,0.0%,64.4%,47.9%,21.9%,45.8%,58.3%,20.00%,75.00%,28.8%,31.6%,23.1%,31.6%,68.4%,10.5%,.337,.393,0.22,.003,Threshers,LAK vs. CLR (2024-08-07)<br>L 1-9,8/7/24
6,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760185,2024-07-31 19:59:00 (2),LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,587,TAM,TAM,W 12-5 (7),DET,NYY,21.8,23,1,1,4.2,92,19,40.2%,94.1,94.8,16.5,6.97,57.9%,5.3%,65.2%,50.0%,26.1%,57.9%,57.9%,33.33%,72.73%,34.8%,36.4%,25.8%,28.3%,63.6%,28.6%,.147,.242,2.72,.030,Tarpons,LAK vs. TAM (2024-07-31)<br>W 12-5,7/31/24
7,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760571,2024-07-23 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,3390,BRD,BRD,W 5-2,DET,PIT,21.8,23,1,1,5.0,93,23,39.8%,93.0,94.3,16.8,6.91,34.8%,4.3%,64.5%,51.6%,22.6%,52.2%,39.1%,46.15%,60.00%,30.1%,31.9%,20.6%,28.9%,68.1%,14.3%,.319,.349,0.67,.007,Marauders,LAK vs. BRD (2024-07-23)<br>W 5-2,7/23/24
8,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760053,2024-07-13 18:10:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,507,SLU,SLU,W 5-0,DET,NYM,21.8,23,1,1,5.0,78,18,46.2%,93.2,94.0,18.6,7.01,16.7%,5.6%,65.4%,48.7%,26.9%,55.6%,55.6%,7.69%,37.50%,23.1%,17.5%,10.7%,30.0%,82.5%,8.3%,.237,.225,1.23,.016,Mets,LAK vs. SLU (2024-07-13)<br>W 5-0,7/13/24
9,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760184,2024-07-06 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,587,TAM,TAM,W 9-2,DET,NYY,21.8,23,1,1,5.0,87,20,40.2%,93.1,94.2,16.6,6.88,20.0%,10.0%,71.3%,49.4%,14.9%,85.0%,100.0%,3.70%,36.36%,31.0%,28.6%,30.0%,43.2%,71.4%,7.1%,.268,.283,2.07,.024,Tarpons,LAK vs. TAM (2024-07-06)<br>W 9-2,7/6/24
10,808825,A. Sears,Andrew Sears,Sears,Andrew,P,,,,,,,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2024,760191,2024-06-30 12:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 0-5 (6),DET,TOR,21.8,23,1,1,2.2,59,13,25.4%,91.0,92.1,16.8,6.92,23.1%,23.1%,62.7%,49.2%,27.1%,69.2%,76.9%,0.00%,60.00%,25.4%,21.4%,16.7%,33.3%,78.6%,0.0%,.297,.270,1.20,.020,Blue Jays,LAK vs. DUN (2024-06-30)<br>L 0-5,6/30/24
