Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786805,2025-09-04 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,487,KAN,KAN,W 7-0,ATL,CWS,19,1,6.0,93,22,33.3%,94.9,95.9,15.4,6.61,31.8%,13.6%,65.6%,55.9%,19.4%,72.7%,81.8%,17.65%,54.55%,35.5%,30.0%,21.9%,19.5%,70.0%,8.3%,.216,.174,2.14,.023,Cannon Ballers,AUG vs. KAN (2025-09-04)<br>W 7-0,9/4/25
2,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786677,2025-08-27 12:05:00 (1),AUG - AFX,478,AFX,false,false,true,Augusta,AUG,AUG,233,CHS,CHS,L 0-1 (7),ATL,TB,19,1,6.0,92,23,4.3%,94.6,94.9,16.7,6.74,39.1%,8.7%,69.6%,59.8%,15.2%,73.9%,69.6%,20.00%,69.23%,33.7%,31.3%,24.3%,29.7%,68.8%,25.0%,.237,.229,1.61,.018,RiverDogs,AUG vs. CHS (2025-08-27)<br>L 0-1,8/27/25
3,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786813,2025-08-20 19:05:00,AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,3705,COL,COL,L 1-6,ATL,KC,19,1,5.0,88,23,0.0%,-,93.8,14.2,6.60,17.4%,13.0%,55.7%,44.3%,20.5%,56.5%,52.2%,18.18%,33.33%,26.1%,29.7%,19.2%,22.4%,70.3%,0.0%,.278,.345,0.92,.010,Fireflies,AUG vs. COL (2025-08-20)<br>L 1-6,8/20/25
4,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786285,2025-08-13 18:30:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,487,KAN,KAN,W 13-1,ATL,CWS,19,1,4.0,87,20,59.8%,94.7,95.8,15.3,6.11,20.0%,15.0%,62.1%,50.6%,13.8%,60.0%,70.0%,9.52%,37.50%,27.6%,26.8%,25.8%,23.3%,73.2%,16.7%,.360,.378,0.13,.001,Cannon Ballers,AUG vs. KAN (2025-08-13)<br>W 13-1,8/13/25
5,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786815,2025-08-06 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,233,CHS,CHS,W 14-2,ATL,TB,19,1,5.0,81,20,3.7%,93.7,94.5,15.5,6.62,40.0%,10.0%,61.7%,48.1%,18.5%,75.0%,70.0%,29.41%,75.00%,32.1%,38.5%,28.6%,26.2%,61.5%,10.0%,.212,.176,1.28,.016,RiverDogs,AUG vs. CHS (2025-08-06)<br>W 14-2,8/6/25
6,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786825,2025-07-30 19:05:00,AUG - AFX,478,AFX,true,true,true,Augusta,AUG,AUG,249,WIL,WIL,W 5-2,ATL,MIL,19,1,4.0,70,17,11.4%,93.8,94.9,14.7,6.65,41.2%,5.9%,65.7%,55.7%,18.6%,58.8%,76.5%,14.29%,60.00%,31.4%,31.4%,32.1%,22.6%,68.6%,0.0%,.239,.248,0.81,.012,Mudcats,AUG vs. WIL (2025-07-30)<br>W 5-2,7/30/25
7,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786368,2025-07-23 19:00:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,448,HIC,HIC,W 6-0,ATL,TEX,19,1,4.0,71,17,39.4%,95.0,95.5,13.7,5.98,29.4%,11.8%,69.0%,54.9%,19.7%,76.5%,64.7%,16.67%,45.45%,39.4%,36.4%,37.5%,28.1%,63.6%,11.1%,.271,.249,1.46,.021,Crawdads,AUG vs. HIC (2025-07-23)<br>W 6-0,7/23/25
8,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786827,2025-07-12 18:35:00,AUG - AFX,478,AFX,true,false,true,Augusta,AUG,AUG,414,SAL,SAL,L 2-12,ATL,BOS,19,1,4.0,72,16,25.0%,93.1,94.1,15.2,6.84,18.8%,12.5%,58.3%,51.4%,9.7%,56.3%,31.3%,14.29%,50.00%,30.6%,37.5%,25.0%,22.9%,62.5%,0.0%,.178,.275,2.50,.035,Red Sox,AUG vs. SAL (2025-07-12)<br>L 2-12,7/12/25
9,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786624,2025-07-05 18:35:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,3705,COL,COL,W 6-3,ATL,KC,19,1,3.0,61,14,18.0%,93.4,94.5,15.7,6.67,42.9%,7.1%,77.0%,54.1%,18.0%,78.6%,71.4%,25.00%,60.00%,37.7%,35.1%,25.0%,46.4%,64.9%,14.3%,.213,.301,1.81,.030,Fireflies,AUG vs. COL (2025-07-05)<br>W 6-3,7/5/25
10,807284,C. Caminiti,Cam Caminiti,Caminiti,Cam,P,Rome Emperors,ROM,432,Rome,afa,ATL,Augusta GreenJackets,AUG,478,Augusta,AFX,ATL,2025,786502,2025-06-28 19:05:00,AUG - AFX,478,AFX,false,true,true,Augusta,AUG,AUG,3712,FAY,FAY,W 4-2,ATL,HOU,19,1,4.0,68,16,1.5%,95.1,94.5,15.7,6.74,50.0%,0.0%,67.6%,55.9%,17.6%,68.8%,87.5%,28.57%,70.00%,44.1%,40.7%,28.6%,20.0%,59.3%,28.6%,.246,.283,0.14,.002,Woodpeckers,AUG vs. FAY (2025-06-28)<br>W 4-2,6/28/25
