Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755668,2024-09-04 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,499,LAN,LAN,W 1-0,DET,ATH,21.8,23,1,1,4.0,49,13,51.0%,91.6,92.5,21.1,5.85,30.8%,0.0%,73.5%,57.1%,4.1%,92.3%,69.2%,25.00%,57.14%,28.6%,15.4%,15.8%,33.3%,84.6%,11.1%,.175,.068,1.15,.023,Lugnuts,WM vs. LAN (2024-09-04)<br>W 1-0,9/4/24
2,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,756199,2024-08-28 19:05:00,WM - AFA,582,AFA,false,false,true,West Michigan,WM,WM,459,DAY,DAY,L 3-5,DET,CIN,21.8,23,1,1,4.0,54,15,44.4%,92.5,93.5,20.9,5.79,26.7%,0.0%,66.7%,42.6%,9.3%,73.3%,53.3%,14.29%,50.00%,38.9%,42.3%,35.7%,38.7%,57.7%,36.4%,.242,.176,0.89,.017,Dragons,WM vs. DAY (2024-08-28)<br>L 3-5,8/28/24
3,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755676,2024-08-20 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,437,LC,LC,W 2-1,DET,CLE,21.8,23,1,1,2.2,52,11,57.7%,92.5,93.4,22.2,5.89,36.4%,27.3%,53.8%,46.2%,15.4%,54.5%,63.6%,42.86%,66.67%,26.9%,22.2%,14.3%,14.3%,77.8%,0.0%,.204,.188,0.94,.018,Captains,WM vs. LC (2024-08-20)<br>W 2-1,8/20/24
4,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755677,2024-08-10 19:05:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,554,BEL,BEL,L 0-7,DET,MIA,21.8,23,1,1,4.0,80,21,47.5%,91.4,92.6,21.1,5.84,14.3%,19.0%,56.3%,53.8%,11.3%,52.4%,52.4%,23.08%,50.00%,13.8%,10.5%,9.4%,16.2%,89.5%,0.0%,.368,.334,-0.36,-.005,Sky Carp,WM vs. BEL (2024-08-10)<br>L 0-7,8/10/24
5,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,756142,2024-08-03 20:03:00 (2),WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,584,FW,FW,W 3-2 (7),DET,SD,21.8,23,1,1,5.0,89,21,46.1%,91.3,92.1,21.3,5.85,23.8%,4.8%,67.4%,49.4%,11.2%,61.9%,66.7%,11.11%,45.45%,28.1%,28.6%,26.5%,33.3%,71.4%,13.3%,.208,.312,2.26,.025,TinCaps,WM vs. FW (2024-08-03)<br>W 3-2,8/3/24
6,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755682,2024-07-28 14:00:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,499,LAN,LAN,W 11-0,DET,ATH,21.8,23,1,0,4.0,61,15,59.0%,92.0,93.3,21.9,6.01,33.3%,6.7%,63.9%,44.3%,16.4%,73.3%,73.3%,36.36%,57.14%,37.7%,36.0%,26.7%,29.4%,64.0%,0.0%,.238,.294,0.69,.011,Lugnuts,WM vs. LAN (2024-07-28)<br>W 11-0,7/28/24
7,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755689,2024-07-21 14:00:00,WM - AFA,582,AFA,true,false,true,West Michigan,WM,WM,459,DAY,DAY,L 2-4,DET,CIN,21.8,23,1,1,4.1,89,20,56.2%,91.6,93.0,21.6,5.90,30.0%,15.0%,59.6%,48.3%,15.7%,65.0%,55.0%,19.05%,50.00%,32.6%,35.1%,24.0%,26.1%,64.9%,0.0%,.308,.298,0.66,.007,Dragons,WM vs. DAY (2024-07-21)<br>L 2-4,7/21/24
8,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755623,2024-07-09 19:40:00,WM - AFA,582,AFA,false,false,true,West Michigan,WM,WM,572,WIS,WIS,L 0-4,DET,MIL,21.8,23,1,1,4.1,90,20,57.8%,91.9,93.1,21.9,5.91,25.0%,10.0%,58.9%,50.0%,12.2%,55.0%,50.0%,15.79%,28.57%,17.8%,7.5%,3.4%,24.4%,92.5%,30.8%,.341,.408,-0.70,-.008,Timber Rattlers,WM vs. WIS (2024-07-09)<br>L 0-4,7/9/24
9,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755693,2024-07-02 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,456,GL,GL,W 6-1,DET,LAD,21.8,23,1,1,5.0,72,17,52.8%,93.3,93.8,21.5,6.05,41.2%,0.0%,65.3%,43.1%,12.5%,76.5%,62.5%,18.75%,62.50%,37.5%,39.4%,16.7%,36.6%,60.6%,10.0%,.151,.156,1.74,.024,Loons,WM vs. GL (2024-07-02)<br>W 6-1,7/2/24
10,811290,J. Hamm,Jaden Hamm,Hamm,Jaden,P,,,,,,,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755954,2024-06-27 19:05:00,WM - AFA,582,AFA,false,false,true,West Michigan,WM,WM,499,LAN,LAN,L 0-3,DET,ATH,21.8,23,1,1,6.0,87,24,50.6%,92.4,93.3,24.3,5.31,25.0%,20.8%,57.5%,43.7%,12.6%,62.5%,62.5%,10.00%,62.50%,31.0%,37.8%,34.6%,22.4%,62.2%,18.2%,.274,.263,1.39,.016,Lugnuts,WM vs. LAN (2024-06-27)<br>L 0-3,6/27/24
