Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754287,2024-08-22 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,478,AUG,AUG,W 6-5,MIL,ATL,18.9,20,1,5.0,73,19,56.2%,93.8,94.7,18.9,6.45,21.1%,0.0%,67.1%,58.9%,13.7%,57.9%,57.9%,0.00%,28.57%,28.8%,22.2%,10.3%,23.3%,77.8%,20.0%,.174,.243,1.91,.026,GreenJackets,WIL vs. AUG (2024-08-22)<br>W 6-5,8/22/24
2,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754088,2024-08-16 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 4-5 (11),MIL,BAL,18.9,20,1,5.2,83,23,45.8%,94.6,95.3,18.3,6.45,30.4%,8.7%,68.7%,57.8%,12.0%,69.6%,69.6%,45.45%,53.85%,34.9%,24.3%,20.0%,20.0%,75.7%,0.0%,.247,.245,1.37,.016,Shorebirds,WIL vs. DEL (2024-08-16)<br>L 4-5,8/16/24
3,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753894,2024-08-09 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 1-7,MIL,WSH,18.9,20,1,3.2,77,22,48.1%,94.1,94.9,18.8,6.48,22.7%,4.5%,61.0%,49.4%,7.8%,45.5%,54.5%,14.29%,66.67%,28.6%,30.6%,18.5%,23.1%,69.4%,25.0%,.456,.532,-2.73,-.035,Nationals,WIL vs. FBG (2024-08-09)<br>L 1-7,8/9/24
4,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754290,2024-08-02 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,233,CHS,CHS,L 5-6 (11),MIL,TB,18.9,20,1,4.0,85,19,50.6%,93.0,94.2,18.4,6.31,15.8%,5.3%,58.8%,48.2%,18.8%,57.9%,52.6%,13.33%,40.00%,29.4%,26.5%,16.7%,22.7%,73.5%,13.3%,.294,.415,0.31,.004,RiverDogs,WIL vs. CHS (2024-08-02)<br>L 5-6,8/2/24
5,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753639,2024-07-26 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,414,SAL,SAL,W 9-3,MIL,BOS,18.9,20,1,3.2,77,19,41.6%,93.7,94.3,17.5,6.41,21.1%,5.3%,68.8%,51.9%,11.7%,42.1%,73.7%,11.11%,36.36%,27.3%,20.0%,13.8%,29.7%,80.0%,14.3%,.217,.423,1.63,.021,Red Sox,WIL vs. SAL (2024-07-26)<br>W 9-3,7/26/24
6,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754295,2024-07-20 12:05:00 (1),WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,481,HC,HC,W 2-1 (7),MIL,CLE,18.9,20,1,4.0,47,12,46.8%,94.2,94.9,17.0,6.33,25.0%,8.3%,61.7%,48.9%,19.1%,75.0%,41.7%,40.00%,42.86%,27.7%,30.4%,27.8%,20.8%,69.6%,16.7%,.223,.057,0.92,.020,Hillcats,WIL vs. HC (2024-07-20)<br>W 2-1,7/20/24
7,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753907,2024-07-13 12:05:00 (1),WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 2-5 (7),MIL,WSH,18.9,20,1,4.2,80,21,46.3%,93.4,94.3,19.1,6.56,42.9%,9.5%,61.3%,51.2%,17.5%,57.1%,55.0%,28.57%,100.00%,32.5%,41.0%,27.6%,25.6%,59.0%,40.0%,.309,.405,-0.22,-.003,Nationals,WIL vs. FBG (2024-07-13)<br>L 2-5,7/13/24
8,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754300,2024-07-05 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,485,DE,DE,L 1-7,MIL,TEX,18.9,20,1,3.0,69,17,53.6%,93.0,94.0,17.5,6.35,5.9%,11.8%,65.2%,42.0%,15.9%,70.6%,70.6%,0.00%,12.50%,26.1%,18.2%,0.0%,35.0%,81.8%,0.0%,.296,.414,0.96,.014,Wood Ducks,WIL vs. DE (2024-07-05)<br>L 1-7,7/5/24
9,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754303,2024-06-28 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,481,HC,HC,W 5-2,MIL,CLE,18.9,20,1,5.0,71,19,59.2%,94.2,95.1,19.5,6.49,26.3%,10.5%,67.6%,53.5%,12.7%,73.7%,78.9%,16.67%,50.00%,33.8%,31.4%,26.1%,36.4%,68.6%,0.0%,.210,.203,2.19,.031,Hillcats,WIL vs. HC (2024-06-28)<br>W 5-2,6/28/24
10,805807,J. Knoth,Josh Knoth,Knoth,Josh,P,,,,,,,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754177,2024-06-22 18:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,3705,COL,COL,W 6-0,MIL,KC,18.9,20,1,5.2,77,20,41.6%,93.9,94.6,17.2,6.48,35.0%,15.0%,62.3%,54.5%,16.9%,65.0%,60.0%,33.33%,66.67%,31.2%,35.1%,25.8%,17.1%,64.9%,0.0%,.290,.228,0.76,.010,Fireflies,WIL vs. COL (2024-06-22)<br>W 6-0,6/22/24
