Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,814157,2025-09-16 18:35:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,1956,SOM,SOM,W 3-1,NYM,NYY,23,1,4.2,81,20,37.0%,93.9,94.4,18.9,6.44,15.0%,10.0%,63.0%,58.0%,9.9%,50.0%,35.0%,7.69%,16.67%,25.9%,25.0%,18.8%,23.5%,75.0%,26.7%,.340,.308,0.58,.007,Patriots,BNG vs. SOM (2025-09-16)<br>W 3-1,9/16/25
2,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783632,2025-09-09 18:07:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,546,POR,POR,W 1-0,NYM,BOS,23,1,5.0,65,17,40.0%,94.2,95.1,19.3,6.40,41.2%,0.0%,72.3%,61.5%,10.8%,58.8%,76.5%,14.29%,63.64%,44.6%,41.9%,29.2%,28.0%,58.1%,0.0%,.108,.126,2.60,.040,Sea Dogs,BNG vs. POR (2025-09-09)<br>W 1-0,9/9/25
3,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783768,2025-09-02 18:35:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,402,AKR,AKR,W 6-1,NYM,CLE,23,1,6.0,74,22,40.5%,93.5,94.2,19.1,6.58,27.3%,0.0%,67.6%,51.4%,14.9%,59.1%,59.1%,42.86%,55.56%,33.8%,37.5%,23.1%,38.9%,62.5%,18.8%,.216,.241,1.50,.020,RubberDucks,BNG vs. AKR (2025-09-02)<br>W 6-1,9/2/25
4,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783633,2025-08-27 18:07:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,1956,SOM,SOM,L 5-6,NYM,NYY,23,1,4.1,77,21,63.6%,92.3,94.4,19.8,6.51,33.3%,4.8%,63.6%,53.2%,13.0%,57.1%,52.4%,45.45%,77.78%,33.8%,46.5%,45.2%,33.3%,53.5%,23.1%,.245,.354,1.43,.019,Patriots,BNG vs. SOM (2025-08-27)<br>L 5-6,8/27/25
5,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783218,2025-08-21 18:00:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,546,POR,POR,L 0-2,NYM,BOS,23,1,5.0,84,20,69.0%,92.4,94.6,20.1,6.49,15.0%,20.0%,59.5%,51.2%,10.7%,60.0%,60.0%,16.67%,33.33%,26.2%,22.2%,16.7%,14.6%,77.8%,23.1%,.375,.289,-0.07,-.001,Sea Dogs,BNG vs. POR (2025-08-21)<br>L 0-2,8/21/25
6,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783639,2025-08-15 19:05:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,463,NH,NH,W 4-2,NYM,TOR,23,1,5.1,84,20,60.7%,93.9,95.4,18.8,6.50,55.0%,5.0%,65.5%,54.8%,11.9%,60.0%,50.0%,70.00%,78.57%,41.7%,45.9%,32.0%,31.6%,54.1%,0.0%,.172,.185,1.78,.021,Fisher Cats,BNG vs. NH (2025-08-15)<br>W 4-2,8/15/25
7,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783018,2025-08-08 19:05:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,1956,SOM,SOM,W 5-2,NYM,NYY,23,1,6.0,84,24,33.3%,93.7,94.2,18.9,6.57,25.0%,12.5%,61.9%,48.8%,15.5%,70.8%,50.0%,37.50%,54.55%,28.6%,37.8%,29.0%,32.6%,62.2%,13.3%,.290,.208,1.22,.014,Patriots,BNG vs. SOM (2025-08-08)<br>W 5-2,8/8/25
8,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783646,2025-08-02 18:30:00 (2),BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,547,HBG,HBG,L 5-7 (7),NYM,WSH,23,1,5.0,80,23,58.8%,93.4,95.8,17.2,6.47,30.4%,8.7%,70.0%,53.8%,11.3%,60.9%,78.3%,12.50%,60.00%,36.3%,40.0%,31.3%,35.1%,60.0%,33.3%,.275,.366,1.56,.019,Senators,BNG vs. HBG (2025-08-02)<br>L 5-7,8/2/25
9,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783160,2025-07-26 18:45:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,522,REA,REA,W 9-2,NYM,PHI,23,1,5.2,78,21,61.5%,93.2,95.9,19.0,6.60,33.3%,14.3%,62.8%,47.4%,11.5%,61.9%,66.7%,50.00%,75.00%,35.9%,46.2%,39.1%,39.0%,53.8%,0.0%,.266,.182,1.50,.019,Fightin Phils,BNG vs. REA (2025-07-26)<br>W 9-2,7/26/25
10,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783303,2025-07-19 18:35:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,463,NH,NH,L 6-11,NYM,TOR,23,1,1.2,46,9,60.9%,93.6,95.2,19.1,6.50,11.1%,33.3%,54.3%,39.1%,17.4%,44.4%,70.0%,11.11%,0.00%,28.3%,33.3%,27.3%,25.0%,66.7%,0.0%,.355,.467,0.52,.011,Fisher Cats,BNG vs. NH (2025-07-19)<br>L 6-11,7/19/25
11,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2025,783650,2025-07-11 19:05:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,452,ALT,ALT,W 6-3,NYM,PIT,23,1,6.0,81,20,34.6%,94.5,94.8,18.0,6.62,40.0%,5.0%,67.9%,51.9%,16.0%,80.0%,60.0%,33.33%,53.33%,38.3%,41.5%,32.1%,33.3%,58.5%,9.1%,.118,.123,2.82,.035,Curve,BNG vs. ALT (2025-07-11)<br>W 6-3,7/11/25
12,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784385,2025-07-05 18:00:00,BRK - AFA,453,AFA,true,false,true,Brooklyn,BRK,BRK,537,HV,HV,L 0-7,NYM,NYY,23,1,6.0,81,24,53.1%,93.0,94.4,19.5,6.47,37.5%,12.5%,66.7%,43.2%,18.5%,62.5%,66.7%,57.14%,80.00%,38.3%,46.5%,37.5%,41.3%,53.5%,0.0%,.181,.249,3.17,.039,Renegades,BRK vs. HV (2025-07-05)<br>L 0-7,7/5/25
13,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784387,2025-06-28 18:00:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,427,JS,JS,W 6-4,NYM,PHI,23,1,5.2,86,26,44.2%,93.4,94.1,19.5,6.47,30.8%,3.8%,70.9%,55.8%,15.1%,57.7%,57.7%,27.27%,70.00%,31.4%,27.7%,16.2%,26.3%,72.3%,18.8%,.270,.306,0.69,.008,BlueClaws,BRK vs. JS (2025-06-28)<br>W 6-4,6/28/25
14,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784592,2025-06-22 14:05:00,BRK - AFA,453,AFA,false,true,true,Brooklyn,BRK,BRK,488,ABD,ABD,W 1-0,NYM,BAL,23,1,5.0,68,17,58.8%,94.0,94.9,19.7,6.65,29.4%,5.9%,66.2%,57.4%,7.4%,82.4%,82.4%,16.67%,50.00%,35.3%,32.3%,25.0%,24.1%,67.7%,0.0%,.215,.092,1.48,.022,IronBirds,BRK vs. ABD (2025-06-22)<br>W 1-0,6/22/25
15,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784596,2025-06-17 19:05:00,BRK - AFA,453,AFA,false,true,true,Brooklyn,BRK,BRK,488,ABD,ABD,W 10-2,NYM,BAL,23,1,5.0,83,20,41.0%,93.5,94.3,20.2,6.58,30.0%,5.0%,61.4%,47.0%,20.5%,70.0%,50.0%,33.33%,36.36%,22.9%,22.0%,13.8%,27.3%,78.0%,0.0%,.197,.211,1.41,.017,IronBirds,BRK vs. ABD (2025-06-17)<br>W 10-2,6/17/25
16,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784398,2025-06-10 18:40:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,573,ASH,ASH,W 8-2,NYM,HOU,23,1,4.1,73,18,42.5%,93.6,94.8,20.3,6.58,22.2%,16.7%,57.5%,43.8%,15.1%,44.4%,44.4%,33.33%,40.00%,32.9%,33.3%,27.8%,22.0%,66.7%,27.3%,.264,.233,0.98,.013,Tourists,BRK vs. ASH (2025-06-10)<br>W 8-2,6/10/25
17,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,783937,2025-06-04 18:35:00,BRK - AFA,453,AFA,false,false,true,Brooklyn,BRK,BRK,426,WIL,WIL,L 0-2,NYM,WSH,23,1,5.1,74,20,51.4%,95.4,96.2,19.5,6.67,25.0%,0.0%,68.9%,58.1%,14.9%,55.0%,60.0%,16.67%,50.00%,33.8%,33.3%,25.0%,35.5%,66.7%,0.0%,.233,.221,1.37,.018,Blue Rocks,BRK vs. WIL (2025-06-04)<br>L 0-2,6/4/25
18,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784400,2025-05-29 18:40:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,488,ABD,ABD,W 6-2,NYM,BAL,23,1,5.1,69,20,46.4%,93.7,94.4,19.5,6.63,30.0%,10.0%,68.1%,50.7%,18.8%,80.0%,75.0%,16.67%,54.55%,39.1%,37.5%,20.0%,35.3%,62.5%,0.0%,.181,.157,2.42,.035,IronBirds,BRK vs. ABD (2025-05-29)<br>W 6-2,5/29/25
19,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784073,2025-05-23 12:05:00 (1),BRK - AFA,453,AFA,false,true,true,Brooklyn,BRK,BRK,427,JS,JS,W 10-1 (7),NYM,PHI,23,1,5.0,77,20,31.2%,94.1,94.9,19.6,6.77,30.0%,10.0%,67.5%,49.4%,14.3%,75.0%,70.0%,23.08%,41.67%,39.0%,42.1%,22.7%,41.0%,57.9%,18.2%,.217,.237,2.36,.031,BlueClaws,BRK vs. JS (2025-05-23)<br>W 10-1,5/23/25
20,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784408,2025-05-16 18:40:00,BRK - AFA,453,AFA,true,true,true,Brooklyn,BRK,BRK,580,WS,WS,W 6-0,NYM,CWS,23,1,5.0,81,18,35.8%,94.1,94.6,17.1,6.63,27.8%,11.1%,65.4%,50.6%,9.9%,66.7%,55.6%,11.76%,37.50%,35.8%,36.8%,21.7%,37.5%,63.2%,0.0%,.217,.126,2.44,.030,Dash,BRK vs. WS (2025-05-16)<br>W 6-0,5/16/25
21,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784542,2025-05-09 18:35:00,BRK - AFA,453,AFA,false,true,true,Brooklyn,BRK,BRK,573,ASH,ASH,W 8-5,NYM,HOU,23,1,4.2,78,24,29.5%,94.6,95.2,14.9,6.67,16.7%,4.2%,62.8%,64.1%,12.8%,45.8%,50.0%,30.77%,40.00%,21.8%,13.5%,11.8%,10.7%,86.5%,21.1%,.432,.509,-2.35,-.030,Tourists,BRK vs. ASH (2025-05-09)<br>W 8-5,5/9/25
22,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784411,2025-05-03 14:00:00,BRK - AFA,453,AFA,true,false,true,Brooklyn,BRK,BRK,426,WIL,WIL,L 5-8,NYM,WSH,23,1,4.1,74,18,43.2%,93.7,94.3,18.3,6.77,16.7%,11.1%,67.6%,55.4%,13.5%,61.1%,78.9%,25.00%,16.67%,28.4%,27.5%,18.8%,24.2%,72.5%,0.0%,.295,.335,1.24,.017,Blue Rocks,BRK vs. WIL (2025-05-03)<br>L 5-8,5/3/25
23,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784084,2025-04-27 13:05:00,BRK - AFA,453,AFA,false,false,true,Brooklyn,BRK,BRK,427,JS,JS,L 7-12,NYM,PHI,23,1,1.1,53,10,35.8%,93.5,94.6,19.9,6.60,0.0%,20.0%,52.8%,39.6%,22.6%,60.0%,50.0%,0.00%,0.00%,24.5%,31.8%,20.0%,21.9%,68.2%,14.3%,.649,.828,-1.59,-.030,BlueClaws,BRK vs. JS (2025-04-27)<br>L 7-12,4/27/25
24,695558,J. Santucci,Jonathan Santucci,Santucci,Jonathan,P,Binghamton Rumble Ponies,BNG,505,Binghamton,aax,NYM,Brooklyn Cyclones,BRK,453,Brooklyn,AFA,NYM,2025,784615,2025-04-20 14:05:00,BRK - AFA,453,AFA,false,false,true,Brooklyn,BRK,BRK,488,ABD,ABD,L 2-5,NYM,BAL,23,1,3.0,54,16,44.4%,93.7,94.4,18.1,6.68,18.8%,12.5%,53.7%,48.1%,24.1%,37.5%,43.8%,66.67%,60.00%,20.4%,30.8%,23.8%,17.9%,69.2%,9.1%,.460,.641,-1.82,-.034,IronBirds,BRK vs. ABD (2025-04-20)<br>L 2-5,4/20/25
