Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,784691,2025-09-06 19:05:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,584,FW,FW,W 6-1,DET,SD,20.9,21,1,1,3.0,43,13,65.1%,91.9,92.7,19.8,6.75,38.5%,15.4%,65.1%,55.8%,11.6%,69.2%,46.2%,50.00%,100.00%,32.6%,33.3%,17.6%,21.1%,66.7%,16.7%,.188,.242,1.29,.030,TinCaps,WM vs. FW (2025-09-06)<br>W 6-1,9/6/25
2,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,785088,2025-08-30 19:05:00,WM - AFA,582,AFA,false,false,true,West Michigan,WM,WM,456,GL,GL,L 4-6,DET,LAD,20.9,21,1,1,3.0,74,15,63.5%,91.3,92.0,17.9,6.93,26.7%,33.3%,54.1%,50.0%,20.3%,53.3%,60.0%,5.88%,66.67%,32.4%,40.7%,35.0%,18.9%,59.3%,50.0%,.356,.456,0.86,.012,Loons,WM vs. GL (2025-08-30)<br>L 4-6,8/30/25
3,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,784696,2025-08-24 14:00:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,499,LAN,LAN,W 16-0,DET,ATH,20.9,21,1,1,3.1,71,16,52.1%,90.6,91.4,17.3,6.84,18.8%,25.0%,60.6%,43.7%,11.3%,68.8%,31.3%,8.33%,37.50%,29.6%,18.5%,15.8%,20.0%,81.5%,0.0%,.284,.282,1.06,.015,Lugnuts,WM vs. LAN (2025-08-24)<br>W 16-0,8/24/25
4,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,784700,2025-08-19 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,499,LAN,LAN,W 6-1,DET,ATH,20.9,21,1,1,5.0,50,16,38.0%,90.4,91.2,16.6,6.54,12.5%,0.0%,70.0%,58.0%,10.0%,81.3%,58.8%,16.67%,33.33%,28.0%,12.5%,10.0%,19.0%,87.5%,7.1%,.236,.110,0.76,.015,Lugnuts,WM vs. LAN (2025-08-19)<br>W 6-1,8/19/25
5,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,785162,2025-08-13 18:35:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,584,FW,FW,W 5-4,DET,SD,20.9,21,1,1,4.1,82,23,47.6%,90.3,91.0,17.6,6.85,17.4%,8.7%,59.8%,50.0%,14.6%,47.8%,65.2%,10.00%,50.00%,20.7%,15.8%,13.8%,22.0%,84.2%,12.5%,.343,.376,-1.01,-.012,TinCaps,WM vs. FW (2025-08-13)<br>W 5-4,8/13/25
6,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,784704,2025-08-07 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,492,CR,CR,W 3-2,DET,MIN,20.9,21,1,1,5.2,86,22,58.1%,91.3,92.2,18.1,6.72,22.7%,9.1%,62.8%,46.5%,12.8%,68.2%,50.0%,21.43%,55.56%,27.9%,25.0%,19.2%,30.4%,75.0%,14.3%,.252,.216,1.25,.014,Kernels,WM vs. CR (2025-08-07)<br>W 3-2,8/7/25
7,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785821,2025-07-31 17:00:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 3-4 (11),DET,TOR,20.9,21,1,1,6.0,88,23,67.0%,90.8,92.2,19.6,6.77,26.1%,13.0%,58.0%,40.9%,18.2%,60.9%,39.1%,25.00%,55.56%,33.0%,26.7%,17.6%,25.0%,73.3%,35.7%,.330,.205,-0.87,-.010,Blue Jays,LAK vs. DUN (2025-07-31)<br>L 3-4,7/31/25
8,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785643,2025-07-24 17:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 4-5 (10),DET,MIN,20.9,21,1,1,5.0,71,21,64.8%,91.2,92.0,17.9,6.77,23.8%,9.5%,67.6%,46.5%,23.9%,71.4%,76.2%,14.29%,62.50%,28.2%,17.6%,15.8%,39.5%,82.4%,15.4%,.255,.295,1.26,.018,Mighty Mussels,LAK vs. FTM (2025-07-24)<br>L 4-5,7/24/25
9,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785443,2025-07-11 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,587,TAM,TAM,W 11-0,DET,NYY,20.9,21,1,1,5.0,69,17,-,-,-,-,-,35.3%,5.9%,63.8%,-,-,70.6%,58.8%,37.50%,62.50%,40.6%,36.0%,-,-,64.0%,0.0%,.092,.092,3.06,.044,Tarpons,LAK vs. TAM (2025-07-11)<br>W 11-0,7/11/25
10,827640,L. Elissalt,Lucas Elissalt,Elissalt,Lucas,P,West Michigan Whitecaps,WM,582,West Michigan,afa,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785641,2025-07-04 17:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,424,DUN,DUN,W 4-0,DET,TOR,20.9,21,1,0,4.0,44,12,59.1%,92.0,92.9,19.9,6.73,8.3%,0.0%,65.9%,45.5%,11.4%,83.3%,50.0%,10.00%,0.00%,18.2%,4.5%,0.0%,29.2%,95.5%,9.1%,.093,.000,1.70,.039,Blue Jays,LAK vs. DUN (2025-07-04)<br>W 4-0,7/4/25
