Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786546,2025-09-04 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,548,DEL,DEL,W 2-1,CLE,BAL,20.4,21,1,1,6.0,79,20,24.1%,92.2,92.4,14.7,5.75,40.0%,10.0%,64.6%,46.8%,15.2%,70.0%,52.4%,33.33%,100.00%,34.2%,35.1%,12.5%,31.0%,64.9%,10.0%,.238,.171,1.09,.014,Shorebirds,HC vs. DEL (2025-09-04)<br>W 2-1,9/4/25
2,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786213,2025-08-29 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,436,FBG,FBG,L 1-3,CLE,WSH,20.4,21,1,1,6.0,80,19,13.8%,91.3,91.9,16.3,6.07,36.8%,0.0%,68.8%,47.5%,20.0%,73.7%,73.7%,26.67%,50.00%,42.5%,41.7%,33.3%,28.6%,58.3%,16.7%,.221,.119,1.04,.013,Nationals,HC vs. FBG (2025-08-29)<br>L 1-3,8/29/25
3,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786351,2025-08-23 19:00:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,448,HIC,HIC,L 1-8,CLE,TEX,20.4,21,1,0,5.0,80,19,32.5%,92.3,92.9,15.3,5.61,42.1%,0.0%,65.0%,46.3%,15.0%,47.4%,50.0%,36.36%,66.67%,36.3%,32.4%,23.8%,30.2%,67.6%,10.0%,.153,.271,1.53,.019,Crawdads,HC vs. HIC (2025-08-23)<br>L 1-8,8/23/25
4,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786216,2025-08-17 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,548,DEL,DEL,W 5-4,CLE,BAL,20.4,21,1,1,3.2,82,19,15.9%,91.7,91.8,14.9,5.81,26.3%,26.3%,54.9%,43.9%,24.4%,52.6%,52.6%,36.36%,50.00%,25.6%,35.1%,29.6%,21.7%,64.9%,11.1%,.365,.499,0.19,.002,Shorebirds,HC vs. DEL (2025-08-17)<br>W 5-4,8/17/25
5,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786219,2025-08-12 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,548,DEL,DEL,W 7-5,CLE,BAL,20.4,21,1,1,5.1,79,22,27.8%,91.8,92.2,16.4,6.00,13.6%,9.1%,55.7%,46.8%,19.0%,40.9%,40.9%,16.67%,50.00%,26.6%,20.7%,20.0%,21.4%,79.3%,23.5%,.461,.337,-2.56,-.032,Shorebirds,HC vs. DEL (2025-08-12)<br>W 7-5,8/12/25
6,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786220,2025-08-03 14:00:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,414,SAL,SAL,L 4-6,CLE,BOS,20.4,21,1,1,3.2,80,19,31.3%,91.1,92.0,15.4,6.11,26.3%,10.5%,63.7%,46.3%,20.0%,47.4%,63.2%,14.29%,50.00%,36.3%,40.5%,20.8%,30.2%,59.5%,45.5%,.397,.505,-0.67,-.008,Red Sox,HC vs. SAL (2025-08-03)<br>L 4-6,8/3/25
7,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786227,2025-07-29 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,414,SAL,SAL,L 4-6,CLE,BOS,20.4,21,1,1,5.2,82,22,37.8%,91.2,92.2,16.9,6.13,18.2%,9.1%,53.7%,43.9%,23.2%,63.6%,60.9%,33.33%,60.00%,20.7%,27.0%,24.1%,17.4%,73.0%,6.3%,.249,.240,0.66,.008,Red Sox,HC vs. SAL (2025-07-29)<br>L 4-6,7/29/25
8,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786565,2025-07-22 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,548,DEL,DEL,W 8-5,CLE,BAL,20.4,21,1,1,2.0,61,13,29.5%,91.3,91.9,16.4,5.91,30.8%,46.2%,50.8%,41.0%,29.5%,38.5%,53.8%,27.27%,100.00%,24.6%,33.3%,23.5%,19.4%,66.7%,0.0%,.440,.576,-0.32,-.005,Shorebirds,HC vs. DEL (2025-07-22)<br>W 8-5,7/22/25
9,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786229,2025-07-13 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,448,HIC,HIC,W 11-2,CLE,TEX,20.4,21,1,1,4.2,82,21,28.0%,91.5,92.1,15.2,6.17,4.8%,14.3%,61.0%,48.8%,15.9%,52.4%,61.9%,7.14%,14.29%,19.5%,12.8%,6.9%,23.8%,87.2%,11.8%,.388,.364,-0.59,-.007,Crawdads,HC vs. HIC (2025-07-13)<br>W 11-2,7/13/25
10,800292,M. Hernández,Melkis Hernández,Hernández,Melkis,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786234,2025-07-06 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,414,SAL,SAL,W 6-5 (10),CLE,BOS,20.4,21,1,1,4.2,85,19,31.8%,91.2,91.5,13.9,6.02,21.1%,5.3%,65.9%,45.9%,18.8%,78.9%,57.9%,9.52%,28.57%,23.5%,30.8%,12.1%,41.3%,69.2%,28.6%,.414,.342,-1.08,-.013,Red Sox,HC vs. SAL (2025-07-06)<br>W 6-5,7/6/25
