Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,775417,2024-09-12 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 2-5,MIL,WSH,18.9,20,1,1,2.0,30,7,10.0%,88.8,89.0,15.9,6.24,42.9%,0.0%,73.3%,73.3%,13.3%,71.4%,57.1%,33.33%,100.00%,26.7%,17.6%,20.0%,25.0%,82.4%,0.0%,.224,.126,0.28,.009,Nationals,WIL vs. FBG (2024-09-12)<br>L 2-5,9/12/24
2,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754281,2024-09-06 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 0-3,MIL,BAL,18.9,20,1,1,2.0,22,7,9.1%,89.9,89.6,16.6,6.24,28.6%,0.0%,77.3%,54.5%,0.0%,100.0%,71.4%,33.33%,50.00%,31.8%,16.7%,28.6%,50.0%,83.3%,0.0%,.151,.126,0.81,.037,Shorebirds,WIL vs. DEL (2024-09-06)<br>L 0-3,9/6/24
3,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753898,2024-08-06 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 15-5,MIL,WSH,18.9,20,1,1,4.0,57,18,21.1%,89.2,89.4,15.0,6.03,22.2%,5.6%,64.9%,47.4%,12.3%,66.7%,61.1%,28.57%,75.00%,22.8%,22.6%,15.0%,36.7%,77.4%,15.4%,.268,.283,0.63,.011,Nationals,WIL vs. FBG (2024-08-06)<br>W 15-5,8/6/24
4,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754299,2024-07-30 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,233,CHS,CHS,L 1-6,MIL,TB,18.9,20,1,1,6.0,77,23,24.7%,88.2,88.4,16.5,6.13,13.0%,0.0%,70.1%,57.1%,14.3%,56.5%,73.9%,25.00%,20.00%,26.0%,17.1%,12.1%,24.2%,82.9%,20.0%,.311,.259,-0.11,-.001,RiverDogs,WIL vs. CHS (2024-07-30)<br>L 1-6,7/30/24
5,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753640,2024-07-23 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,414,SAL,SAL,W 9-4 (7),MIL,BOS,18.9,20,1,1,5.0,61,20,19.7%,88.8,89.9,15.3,6.16,20.0%,5.0%,80.3%,57.4%,13.1%,90.0%,80.0%,14.29%,40.00%,36.1%,27.0%,23.1%,42.3%,73.0%,20.0%,.373,.269,-0.30,-.005,Red Sox,WIL vs. SAL (2024-07-23)<br>W 9-4,7/23/24
6,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,753909,2024-07-09 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 2-1,MIL,WSH,18.9,20,1,1,6.0,79,22,6.3%,90.1,90.1,15.5,6.02,31.8%,4.5%,69.6%,62.0%,6.3%,68.2%,77.3%,30.00%,54.55%,30.4%,27.9%,23.5%,30.0%,72.1%,7.7%,.142,.104,3.35,.042,Nationals,WIL vs. FBG (2024-07-09)<br>W 2-1,7/9/24
7,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754048,2024-07-01 18:30:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,485,DE,DE,L 2-3 (11),MIL,TEX,18.9,20,1,1,6.0,77,23,15.6%,89.2,89.5,15.1,5.04,26.1%,4.3%,70.1%,46.8%,20.8%,69.6%,69.6%,15.38%,75.00%,28.6%,28.9%,24.1%,39.0%,71.1%,28.6%,.278,.259,0.73,.009,Wood Ducks,WIL vs. DE (2024-07-01)<br>L 2-3,7/1/24
8,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754307,2024-06-25 18:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,481,HC,HC,W 5-3,MIL,CLE,18.9,20,1,1,6.0,75,24,5.3%,89.7,88.8,15.2,6.04,8.3%,0.0%,70.7%,56.0%,8.0%,75.0%,62.5%,20.00%,11.11%,25.3%,17.1%,3.0%,24.2%,82.9%,13.6%,.234,.333,1.03,.014,Hillcats,WIL vs. HC (2024-06-25)<br>W 5-3,6/25/24
9,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754183,2024-06-18 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3705,COL,COL,L 1-3 (7),MIL,KC,18.9,20,1,1,6.0,70,25,2.9%,89.2,88.4,16.0,6.02,8.0%,0.0%,72.9%,60.0%,11.4%,64.0%,76.0%,20.00%,22.22%,20.0%,9.8%,10.0%,39.3%,90.2%,4.5%,.295,.322,0.70,.010,Fireflies,WIL vs. COL (2024-06-18)<br>L 1-3,6/18/24
10,804973,M. Rodriguez,Manuel Rodriguez,Rodriguez,Manuel,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2024,754313,2024-06-11 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 3-1,MIL,WSH,18.9,20,1,1,7.0,93,27,3.2%,89.1,88.1,16.5,6.07,22.2%,3.7%,75.3%,59.1%,11.8%,74.1%,70.4%,30.00%,40.00%,26.9%,25.0%,20.0%,39.5%,75.0%,5.0%,.260,.249,1.67,.018,Nationals,WIL vs. FBG (2024-06-11)<br>W 3-1,6/11/24
