Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,775473,2024-09-19 18:35:00,AKR - AAX,402,AAX,false,true,true,Akron,AKR,AKR,106,ERI,ERI,W 7-4 (10),CLE,DET,23.7,25,1,4.2,97,20,49.5%,93.3,94.3,17.4,6.48,20.0%,10.0%,63.9%,49.5%,13.4%,75.0%,70.0%,7.69%,33.33%,24.7%,25.5%,16.2%,28.6%,74.5%,35.7%,.378,.301,-0.20,-.002,SeaWolves,AKR vs. ERI (2024-09-19)<br>W 7-4,9/19/24
2,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751302,2024-09-12 18:35:00,AKR - AAX,402,AAX,true,true,true,Akron,AKR,AKR,538,HFD,HFD,W 5-1,CLE,COL,23.7,25,1,6.0,83,20,48.2%,92.5,93.3,17.4,6.35,40.0%,5.0%,73.5%,48.2%,18.1%,75.0%,71.4%,28.57%,80.00%,31.3%,30.0%,20.0%,46.5%,70.0%,9.1%,.128,.176,3.14,.038,Yard Goats,AKR vs. HFD (2024-09-12)<br>W 5-1,9/12/24
3,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,750614,2024-09-04 18:35:00,AKR - AAX,402,AAX,false,false,true,Akron,AKR,AKR,3410,RIC,RIC,L 3-4 (10),CLE,SF,23.7,25,1,4.2,94,20,52.1%,92.6,93.2,18.6,6.30,25.0%,10.0%,64.9%,51.1%,5.3%,65.0%,60.0%,16.67%,45.45%,27.7%,30.0%,19.4%,30.4%,70.0%,7.7%,.255,.264,1.75,.019,Flying Squirrels,AKR vs. RIC (2024-09-04)<br>L 3-4,9/4/24
4,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751309,2024-08-29 18:35:00,AKR - AAX,402,AAX,true,true,true,Akron,AKR,AKR,418,CHE,CHE,W 3-2,CLE,BAL,23.7,25,1,4.2,94,23,52.1%,92.2,93.1,16.3,6.34,21.7%,17.4%,58.5%,44.7%,14.9%,52.2%,69.6%,28.57%,50.00%,28.7%,34.9%,20.0%,25.0%,65.1%,7.1%,.248,.312,2.12,.023,Baysox,AKR vs. CHE (2024-08-29)<br>W 3-2,8/29/24
5,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751312,2024-08-23 19:05:00,AKR - AAX,402,AAX,true,false,true,Akron,AKR,AKR,547,HBG,HBG,L 2-3 (10),CLE,WSH,23.7,25,1,5.0,88,22,51.1%,91.8,92.5,15.8,6.31,22.7%,13.6%,59.1%,38.6%,17.0%,63.6%,36.4%,6.25%,66.67%,27.3%,36.4%,17.4%,38.9%,63.6%,0.0%,.317,.308,0.82,.009,Senators,AKR vs. HBG (2024-08-23)<br>L 2-3,8/23/24
6,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751033,2024-08-17 18:05:00,AKR - AAX,402,AAX,false,false,true,Akron,AKR,AKR,106,ERI,ERI,L 3-4 (10),CLE,DET,23.7,25,1,6.0,90,23,52.2%,92.9,93.9,18.5,6.37,34.8%,0.0%,66.7%,56.7%,12.2%,65.2%,59.1%,33.33%,54.55%,30.0%,34.0%,26.3%,30.8%,66.0%,13.3%,.223,.259,1.40,.016,SeaWolves,AKR vs. ERI (2024-08-17)<br>L 3-4,8/17/24
7,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751320,2024-08-11 13:05:00,AKR - AAX,402,AAX,true,true,true,Akron,AKR,AKR,522,REA,REA,W 2-1,CLE,PHI,23.7,25,1,6.0,91,20,47.3%,92.6,93.7,17.6,6.25,30.0%,5.0%,61.5%,47.3%,18.7%,70.0%,52.4%,23.81%,50.00%,27.5%,34.0%,21.2%,29.2%,66.0%,0.0%,.167,.115,2.57,.028,Fightin Phils,AKR vs. REA (2024-08-11)<br>W 2-1,8/11/24
8,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751321,2024-08-06 18:35:00,AKR - AAX,402,AAX,true,true,true,Akron,AKR,AKR,522,REA,REA,W 3-2,CLE,PHI,23.7,25,1,5.0,80,20,41.3%,91.2,91.9,16.6,6.13,45.0%,5.0%,65.0%,42.5%,28.7%,55.0%,40.0%,44.44%,66.67%,41.3%,51.3%,42.9%,39.1%,48.7%,12.5%,.208,.159,1.75,.022,Fightin Phils,AKR vs. REA (2024-08-06)<br>W 3-2,8/6/24
9,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,750975,2024-08-01 12:00:00,AKR - AAX,402,AAX,false,false,true,Akron,AKR,AKR,547,HBG,HBG,L 1-9,CLE,WSH,23.7,25,1,1.0,23,5,56.5%,92.1,92.8,16.3,6.39,20.0%,0.0%,52.2%,30.4%,13.0%,60.0%,33.3%,20.00%,0.00%,17.4%,20.0%,16.7%,25.0%,80.0%,0.0%,.472,.395,-0.88,-.038,Senators,AKR vs. HBG (2024-08-01)<br>L 1-9,8/1/24
10,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Akron RubberDucks,AKR,402,Akron,AAX,CLE,2024,751327,2024-07-26 19:05:00,AKR - AAX,402,AAX,true,true,true,Akron,AKR,AKR,418,CHE,CHE,W 7-0,CLE,BAL,23.7,25,1,4.0,42,12,57.1%,91.2,92.4,17.1,6.22,33.3%,0.0%,73.8%,50.0%,11.9%,91.7%,75.0%,0.00%,66.67%,35.7%,36.0%,21.4%,52.4%,64.0%,0.0%,.094,.000,2.22,.053,Baysox,AKR vs. CHE (2024-07-26)<br>W 7-0,7/26/24
