Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754145,2024-09-06 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3705,COL,COL,W 8-0,TB,KC,19.5,21,1,1,5.0,64,18,56.3%,95.5,96.3,20.4,6.79,38.9%,5.6%,68.8%,50.0%,15.6%,72.2%,66.7%,66.67%,57.14%,40.6%,47.1%,39.1%,34.4%,52.9%,0.0%,.125,.136,2.90,.045,Fireflies,CHS vs. COL (2024-09-06)<br>W 8-0,9/6/24
2,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754217,2024-08-31 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 3-2,TB,HOU,19.5,21,1,1,6.0,81,24,55.6%,94.3,94.9,19.8,6.88,29.2%,8.3%,69.1%,55.6%,9.9%,70.8%,58.3%,18.18%,70.00%,29.6%,23.8%,19.4%,30.6%,76.2%,20.0%,.298,.253,0.60,.007,Woodpeckers,CHS vs. FAY (2024-08-31)<br>W 3-2,8/31/24
3,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754218,2024-08-24 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 1-4,TB,CHC,19.5,21,1,1,5.0,84,23,63.1%,93.7,95.4,21.9,6.85,17.4%,4.3%,64.3%,44.0%,8.3%,56.5%,65.2%,14.29%,50.00%,28.6%,33.3%,29.6%,38.3%,66.7%,17.6%,.283,.338,1.19,.014,Pelicans,CHS vs. MB (2024-08-24)<br>L 1-4,8/24/24
4,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753821,2024-08-17 19:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 3-4,TB,CWS,19.5,21,1,1,5.0,86,22,66.3%,95.3,96.3,20.3,6.17,27.3%,0.0%,70.9%,51.2%,14.0%,63.6%,60.9%,11.76%,36.36%,33.7%,30.4%,29.4%,28.6%,69.6%,0.0%,.249,.387,1.03,.012,Cannon Ballers,CHS vs. KAN (2024-08-17)<br>L 3-4,8/17/24
5,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754223,2024-08-11 14:30:00 (1),CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 4-1 (7),TB,ATL,19.5,21,1,1,5.0,83,20,60.4%,93.8,95.2,19.4,6.95,20.0%,15.0%,62.7%,52.1%,18.8%,60.0%,60.0%,18.75%,66.67%,18.1%,15.9%,5.0%,34.8%,84.1%,11.1%,.313,.280,1.20,.014,GreenJackets,CHS vs. AUG (2024-08-11)<br>W 4-1,8/11/24
6,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754292,2024-08-03 17:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,249,WIL,WIL,L 5-10,TB,MIL,19.5,21,1,1,3.2,37,12,59.5%,94.5,95.3,21.4,6.94,25.0%,8.3%,73.0%,56.8%,8.1%,75.0%,66.7%,50.00%,60.00%,40.5%,40.0%,31.3%,25.0%,60.0%,0.0%,.277,.204,0.88,.024,Mudcats,CHS vs. WIL (2024-08-03)<br>L 5-10,8/3/24
7,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754229,2024-07-28 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 11-10,TB,CWS,19.5,21,1,1,1.2,53,14,56.6%,94.7,95.5,20.1,6.92,21.4%,7.1%,66.0%,56.6%,9.4%,35.7%,57.1%,16.67%,40.00%,26.4%,30.0%,20.0%,21.7%,70.0%,20.0%,.364,.580,-0.22,-.004,Cannon Ballers,CHS vs. KAN (2024-07-28)<br>W 11-10,7/28/24
8,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753972,2024-07-21 17:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,3712,FAY,FAY,L 2-3,TB,HOU,19.5,21,1,1,6.0,72,22,52.8%,94.6,95.5,20.9,6.95,31.8%,4.5%,76.4%,58.3%,16.7%,72.7%,77.3%,36.36%,77.78%,29.2%,26.1%,21.2%,43.3%,73.9%,23.1%,.263,.245,1.18,.016,Woodpeckers,CHS vs. FAY (2024-07-21)<br>L 2-3,7/21/24
9,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754236,2024-07-14 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-2,TB,KC,19.5,21,1,1,2.1,38,12,44.7%,94.1,94.8,20.6,6.91,8.3%,8.3%,63.2%,57.9%,15.8%,41.7%,66.7%,16.67%,50.00%,15.8%,21.7%,10.0%,18.8%,78.3%,20.0%,.366,.383,0.08,.002,Fireflies,CHS vs. COL (2024-07-14)<br>W 3-2,7/14/24
10,800571,S. Suarez,Santiago Suarez,Suarez,Santiago,P,Montgomery Biscuits,MTG,421,Montgomery,aax,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754239,2024-07-06 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,521,MB,MB,W 11-10 (10),TB,CHC,19.5,21,1,1,5.0,86,22,64.0%,94.8,96.3,20.4,6.92,22.7%,9.1%,67.4%,59.3%,10.5%,68.2%,68.2%,18.75%,62.50%,31.4%,27.9%,25.0%,20.0%,72.1%,26.7%,.258,.240,1.50,.017,Pelicans,CHS vs. MB (2024-07-06)<br>W 11-10,7/6/24
