Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,814113,2025-09-09 18:35:00,BG - AFA,2498,AFA,false,false,true,Bowling Green,BG,BG,6324,HCS,HCS,L 1-3,TB,TEX,20,1,3.0,45,12,44.4%,96.6,97.7,19.7,5.77,25.0%,8.3%,75.6%,68.9%,11.1%,75.0%,91.7%,12.50%,28.57%,40.0%,33.3%,28.6%,21.4%,66.7%,25.0%,.222,.204,1.59,.035,Spartanburgers,BG vs. HCS (2025-09-09)<br>L 1-3,9/9/25
2,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784431,2025-09-02 19:35:00,BG - AFA,2498,AFA,true,true,true,Bowling Green,BG,BG,573,ASH,ASH,W 2-1,TB,HOU,20,1,5.0,87,23,21.8%,93.8,96.0,19.4,6.27,26.1%,4.3%,63.2%,51.7%,16.1%,60.9%,52.2%,25.00%,62.50%,32.2%,35.7%,22.6%,26.2%,64.3%,20.0%,.320,.308,-0.21,-.002,Tourists,BG vs. ASH (2025-09-02)<br>W 2-1,9/2/25
3,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784234,2025-08-26 18:45:00,BG - AFA,2498,AFA,false,true,true,Bowling Green,BG,BG,428,GVL,GVL,W 5-2,TB,BOS,20,1,5.1,88,24,13.6%,94.2,96.0,17.9,6.29,20.8%,20.8%,59.1%,47.7%,9.1%,66.7%,62.5%,25.00%,50.00%,30.7%,34.2%,33.3%,23.9%,65.8%,0.0%,.300,.284,1.42,.016,Drive,BG vs. GVL (2025-08-26)<br>W 5-2,8/26/25
4,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784436,2025-08-19 19:35:00,BG - AFA,2498,AFA,true,false,true,Bowling Green,BG,BG,477,GBO,GBO,L 2-7,TB,PIT,20,1,4.1,90,21,36.7%,94.4,95.7,18.8,6.52,28.6%,9.5%,63.3%,47.8%,23.3%,52.4%,52.4%,21.05%,55.56%,30.0%,36.2%,31.4%,25.5%,63.8%,23.1%,.481,.531,-2.44,-.027,Grasshoppers,BG vs. GBO (2025-08-19)<br>L 2-7,8/19/25
5,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,783973,2025-08-13 19:00:00,BG - AFA,2498,AFA,false,true,true,Bowling Green,BG,BG,432,ROM,ROM,W 6-4,TB,ATL,20,1,3.2,72,17,33.3%,93.8,95.2,19.3,6.32,23.5%,23.5%,54.2%,48.6%,16.7%,41.2%,27.8%,28.57%,66.67%,16.7%,20.6%,11.5%,21.6%,79.4%,11.1%,.353,.392,0.21,.003,Emperors,BG vs. ROM (2025-08-13)<br>W 6-4,8/13/25
6,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784442,2025-08-06 19:35:00,BG - AFA,2498,AFA,true,false,true,Bowling Green,BG,BG,580,WS,WS,L 4-5,TB,CWS,20,1,6.0,78,20,46.2%,93.3,94.6,19.1,6.40,20.0%,5.0%,67.9%,52.6%,7.7%,70.0%,60.0%,22.22%,44.44%,32.1%,30.0%,23.1%,37.8%,70.0%,13.3%,.232,.123,2.11,.027,Dash,BG vs. WS (2025-08-06)<br>L 4-5,8/6/25
7,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786697,2025-07-29 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,521,MB,MB,W 4-2,TB,CHC,20,1,6.1,86,23,25.6%,93.5,94.9,19.3,6.25,26.1%,4.3%,66.3%,59.3%,17.4%,69.6%,56.5%,28.57%,66.67%,27.9%,23.3%,22.9%,22.9%,76.7%,18.8%,.167,.254,2.71,.032,Pelicans,CHS vs. MB (2025-07-29)<br>W 4-2,7/29/25
8,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786100,2025-07-23 18:35:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,414,SAL,SAL,W 6-3,TB,BOS,20,1,6.0,72,23,48.6%,93.4,94.7,19.0,6.32,17.4%,0.0%,70.8%,55.6%,12.5%,69.6%,65.2%,0.00%,57.14%,31.9%,22.2%,14.3%,25.0%,77.8%,5.3%,.208,.192,1.63,.023,Red Sox,CHS vs. SAL (2025-07-23)<br>W 6-3,7/23/25
9,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786693,2025-07-11 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-2 (10),TB,KC,20,1,3.0,53,12,47.2%,94.0,95.0,19.7,6.27,41.7%,8.3%,58.5%,43.4%,5.7%,41.7%,66.7%,42.86%,66.67%,32.1%,44.0%,38.5%,40.0%,56.0%,0.0%,.272,.191,0.78,.015,Fireflies,CHS vs. COL (2025-07-11)<br>W 3-2,7/11/25
10,807314,T. Harrison,Trevor Harrison,Harrison,Trevor,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786699,2025-07-01 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 1-2,TB,CHC,20,1,7.0,87,26,48.3%,94.1,95.2,19.5,6.21,19.2%,7.7%,64.4%,52.9%,12.6%,69.2%,66.7%,25.00%,62.50%,24.1%,20.5%,15.6%,29.3%,79.5%,15.8%,.213,.250,2.31,.027,Pelicans,CHS vs. MB (2025-07-01)<br>L 1-2,7/1/25
