Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755800,2024-09-05 19:30:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,565,QC,QC,W 6-3,MIA,KC,19.8,21,1,5.0,76,22,19.7%,95.5,96.3,17.9,5.94,31.8%,0.0%,71.1%,56.6%,13.2%,68.2%,66.7%,33.33%,54.55%,40.8%,41.0%,25.0%,33.3%,59.0%,20.0%,.286,.355,0.58,.008,River Bandits,BEL vs. QC (2024-09-05)<br>W 6-3,9/5/24
2,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756326,2024-08-29 19:35:00,BEL - AFA,554,AFA,true,true,true,Beloit,BEL,BEL,443,PEO,PEO,W 6-2,MIA,STL,19.8,21,1,5.0,84,20,9.5%,95.0,96.7,17.5,6.10,35.0%,20.0%,59.5%,46.4%,14.3%,60.0%,57.9%,18.18%,70.00%,29.8%,35.9%,30.8%,28.9%,64.1%,11.1%,.321,.284,0.65,.008,Chiefs,BEL vs. PEO (2024-08-29)<br>W 6-2,8/29/24
3,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755741,2024-08-22 19:05:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,550,SB,SB,W 3-1,MIA,CHC,19.8,21,1,5.0,68,19,1.5%,94.9,96.6,17.7,6.30,26.3%,0.0%,67.6%,63.2%,13.2%,68.4%,57.9%,0.00%,50.00%,38.2%,39.4%,31.0%,16.0%,60.6%,7.1%,.253,.333,0.92,.014,Cubs,BEL vs. SB (2024-08-22)<br>W 3-1,8/22/24
4,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756334,2024-08-15 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,565,QC,QC,L 1-4,MIA,KC,19.8,21,1,5.0,85,19,1.2%,93.9,95.1,15.5,6.12,15.8%,10.5%,65.9%,54.1%,16.5%,68.4%,63.2%,3.45%,30.00%,24.7%,23.9%,14.7%,30.8%,76.1%,23.1%,.385,.311,0.26,.003,River Bandits,BEL vs. QC (2024-08-15)<br>L 1-4,8/15/24
5,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755679,2024-08-08 18:35:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,582,WM,WM,W 5-1,MIA,DET,19.8,21,1,5.0,73,20,6.8%,93.5,95.8,17.0,6.11,25.0%,0.0%,63.0%,45.2%,12.3%,55.0%,60.0%,33.33%,33.33%,28.8%,28.6%,20.8%,27.5%,71.4%,13.3%,.219,.221,0.98,.013,Whitecaps,BEL vs. WM (2024-08-08)<br>W 5-1,8/8/24
6,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756009,2024-08-01 19:00:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,437,LC,LC,W 3-2 (10),MIA,CLE,19.8,21,1,5.0,83,21,16.9%,94.1,94.9,16.5,6.39,38.1%,14.3%,62.7%,54.2%,12.0%,71.4%,61.9%,23.08%,66.67%,31.3%,29.7%,19.2%,28.9%,70.3%,10.0%,.288,.224,0.82,.010,Captains,BEL vs. LC (2024-08-01)<br>W 3-2,8/1/24
7,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756339,2024-07-25 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,572,WIS,WIS,L 2-3 (10),MIA,MIL,19.8,21,1,5.0,75,18,44.0%,94.4,95.9,17.0,6.28,22.2%,0.0%,72.0%,61.3%,8.0%,94.4%,77.8%,5.00%,30.00%,29.3%,27.3%,24.3%,24.1%,72.7%,14.3%,.202,.196,2.06,.027,Timber Rattlers,BEL vs. WIS (2024-07-25)<br>L 2-3,7/25/24
8,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755621,2024-07-05 19:40:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,572,WIS,WIS,W 5-1,MIA,MIL,19.8,21,1,5.0,82,21,34.1%,94.5,95.2,18.0,6.21,14.3%,9.5%,61.0%,40.2%,22.0%,61.9%,61.9%,23.08%,37.50%,30.5%,26.5%,15.0%,28.6%,73.5%,6.7%,.290,.303,0.60,.007,Timber Rattlers,BEL vs. WIS (2024-07-05)<br>W 5-1,7/5/24
9,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756282,2024-06-29 19:35:00,BEL - AFA,554,AFA,false,false,true,Beloit,BEL,BEL,492,CR,CR,L 2-4,MIA,MIN,19.8,21,1,4.0,83,19,42.2%,96.0,97.1,19.9,5.91,36.8%,10.5%,60.2%,43.4%,15.7%,57.9%,47.4%,25.00%,62.50%,36.1%,41.2%,21.7%,23.4%,58.8%,57.1%,.503,.518,-3.02,-.036,Kernels,BEL vs. CR (2024-06-29)<br>L 2-4,6/29/24
10,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756350,2024-06-23 13:05:00 (1),BEL - AFA,554,AFA,true,true,true,Beloit,BEL,BEL,499,LAN,LAN,W 6-4 (7),MIA,ATH,19.8,21,1,4.2,82,20,13.4%,94.7,96.3,19.2,6.31,35.0%,10.0%,67.1%,50.0%,9.8%,65.0%,65.0%,23.53%,55.56%,31.7%,42.0%,33.3%,41.5%,58.0%,0.0%,.237,.289,2.34,.029,Lugnuts,BEL vs. LAN (2024-06-23)<br>W 6-4,6/23/24
11,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755831,2024-06-14 19:30:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,565,QC,QC,W 2-0,MIA,KC,19.8,21,1,5.0,74,20,27.0%,95.5,96.4,18.2,6.40,30.0%,10.0%,63.5%,45.9%,14.9%,60.0%,45.0%,20.00%,55.56%,31.1%,27.3%,9.5%,30.0%,72.7%,8.3%,.250,.201,1.09,.015,River Bandits,BEL vs. QC (2024-06-14)<br>W 2-0,6/14/24
12,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756358,2024-06-07 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,437,LC,LC,L 0-2,MIA,CLE,19.8,21,1,4.1,81,18,34.6%,96.2,97.1,18.3,6.42,44.4%,11.1%,65.4%,55.6%,13.6%,72.2%,61.1%,26.67%,45.45%,40.7%,47.4%,39.3%,27.8%,52.6%,0.0%,.173,.224,2.39,.030,Captains,BEL vs. LC (2024-06-07)<br>L 0-2,6/7/24
13,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756365,2024-05-31 19:35:00,BEL - AFA,554,AFA,true,true,true,Beloit,BEL,BEL,459,DAY,DAY,W 6-5,MIA,CIN,19.8,21,1,4.0,77,17,41.6%,95.8,96.9,17.6,6.41,35.3%,11.8%,58.4%,41.6%,13.0%,70.6%,52.9%,23.53%,55.56%,32.5%,45.9%,33.3%,28.9%,54.1%,11.1%,.251,.185,1.29,.017,Dragons,BEL vs. DAY (2024-05-31)<br>W 6-5,5/31/24
14,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760269,2024-05-24 18:30:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,587,TAM,TAM,L 0-1,MIA,NYY,19.8,21,1,5.0,78,21,47.4%,95.0,95.5,17.4,6.27,33.3%,14.3%,57.7%,48.7%,12.8%,61.9%,61.9%,33.33%,85.71%,37.2%,42.9%,33.3%,10.0%,57.1%,0.0%,.224,.224,1.13,.014,Tarpons,JUP vs. TAM (2024-05-24)<br>L 0-1,5/24/24
15,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760410,2024-05-17 18:30:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,424,DUN,DUN,L 6-8,MIA,TOR,19.8,21,1,4.1,86,20,57.0%,94.8,95.8,17.1,6.47,10.0%,10.0%,60.5%,43.0%,29.1%,35.0%,45.0%,0.00%,28.57%,20.9%,22.7%,14.3%,32.7%,77.3%,13.3%,.317,.281,0.65,.008,Blue Jays,JUP vs. DUN (2024-05-17)<br>L 6-8,5/17/24
16,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760277,2024-05-10 18:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,279,PMB,PMB,W 4-1,MIA,STL,19.8,21,1,5.0,70,19,62.9%,94.4,95.5,18.9,6.38,31.6%,5.3%,62.9%,47.1%,24.3%,57.9%,68.4%,12.50%,57.14%,30.0%,28.1%,22.7%,27.0%,71.9%,8.3%,.232,.176,0.63,.009,Cardinals,JUP vs. PMB (2024-05-10)<br>W 4-1,5/10/24
17,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760081,2024-05-03 18:10:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,507,SLU,SLU,W 6-3,MIA,NYM,19.8,21,1,4.0,80,22,55.0%,95.2,95.8,17.9,6.28,22.7%,9.1%,62.5%,38.8%,20.0%,63.6%,59.1%,30.00%,41.67%,27.5%,28.2%,22.7%,34.7%,71.8%,7.7%,.289,.401,0.43,.005,Mets,JUP vs. SLU (2024-05-03)<br>W 6-3,5/3/24
18,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760283,2024-04-26 18:30:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,424,DUN,DUN,W 4-3 (10),MIA,TOR,19.8,21,1,5.0,80,19,51.2%,95.6,96.4,17.7,6.38,47.4%,5.3%,68.8%,56.3%,20.0%,68.4%,78.9%,28.57%,58.33%,38.8%,38.5%,23.3%,25.7%,61.5%,12.5%,.220,.260,1.20,.015,Blue Jays,JUP vs. DUN (2024-04-26)<br>W 4-3,4/26/24
19,806258,T. White,Thomas White,White,Thomas,P,Jacksonville Jumbo Shrimp,JAX,564,Jacksonville,aaa,MIA,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760352,2024-04-19 19:05:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,509,FTM,FTM,L 1-16,MIA,MIN,19.8,21,1,4.0,83,20,59.0%,95.9,96.9,19.3,6.28,25.0%,0.0%,72.3%,56.6%,18.1%,60.0%,78.9%,7.14%,33.33%,24.1%,21.6%,13.2%,36.1%,78.4%,13.3%,.207,.407,1.93,.023,Mighty Mussels,JUP vs. FTM (2024-04-19)<br>L 1-16,4/19/24
