Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825574,2025-11-12 15:30:00,MSS - AFL,555,AFL,true,true,true,Mesa,MSS,MSS,527,SRR,SRR,W 3-0,OOC,OOC,22.5,23,1,4.0,45,15,37.8%,94.6,95.3,17.1,6.81,6.7%,0.0%,64.4%,48.9%,15.6%,60.0%,66.7%,16.67%,100.00%,20.0%,4.8%,0.0%,26.1%,95.2%,30.8%,.233,.235,0.53,.012,Rafters,MSS vs. SRR (2025-11-12)<br>W 3-0,11/12/25
2,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825593,2025-11-06 20:30:00,MSS - AFL,555,AFL,true,false,true,Mesa,MSS,MSS,544,SCO,SCO,L 3-7 (7),OOC,OOC,22.5,23,1,2.0,46,13,50.0%,94.2,95.0,17.6,6.82,7.7%,7.7%,67.4%,41.3%,21.7%,53.8%,69.2%,10.00%,25.00%,17.4%,20.7%,11.1%,40.7%,79.3%,20.0%,.314,.559,0.29,.006,Scorpions,MSS vs. SCO (2025-11-06)<br>L 3-7,11/6/25
3,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825656,2025-10-29 16:30:00,MSS - AFL,555,AFL,false,false,true,Mesa,MSS,MSS,454,GDD,GDD,L 4-6 (7),OOC,OOC,22.5,23,1,3.0,46,12,41.0%,92.5,92.8,14.6,6.78,8.3%,25.0%,52.2%,46.2%,20.5%,58.3%,53.8%,0.00%,25.00%,17.4%,15.8%,15.4%,23.8%,84.2%,14.3%,.364,.350,0.36,.008,Desert Dogs,MSS vs. GDD (2025-10-29)<br>L 4-6,10/29/25
4,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825631,2025-10-22 16:30:00,MSS - AFL,555,AFL,false,false,true,Mesa,MSS,MSS,527,SRR,SRR,L 1-14,OOC,OOC,22.5,23,1,2.1,62,14,35.5%,94.6,94.9,16.0,6.89,28.6%,7.1%,62.9%,45.2%,17.7%,42.9%,38.5%,33.33%,40.00%,21.0%,21.2%,13.6%,32.4%,78.8%,33.3%,.439,.501,-1.42,-.023,Rafters,MSS vs. SRR (2025-10-22)<br>L 1-14,10/22/25
5,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825589,2025-10-15 21:30:00,MSS - AFL,555,AFL,false,false,true,Mesa,MSS,MSS,542,SUR,SUR,L 2-6,OOC,OOC,22.5,23,1,3.2,58,17,43.1%,93.8,94.2,17.7,6.96,5.9%,11.8%,53.4%,44.8%,12.1%,35.3%,35.3%,0.00%,25.00%,20.7%,5.0%,0.0%,21.9%,95.0%,7.1%,.361,.280,-0.69,-.012,Saguaros,MSS vs. SUR (2025-10-15)<br>L 2-6,10/15/25
6,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Mesa Solar Sox,MSS,555,Mesa,AFL,OOC,2025,825607,2025-10-07 21:30:00,MSS - AFL,555,AFL,true,false,true,Mesa,MSS,MSS,542,SUR,SUR,L 6-9,OOC,OOC,22.5,23,1,2.0,52,13,33.3%,93.1,93.6,16.2,6.86,7.7%,15.4%,57.7%,37.5%,25.0%,53.8%,38.5%,0.00%,20.00%,25.0%,22.7%,0.0%,13.3%,77.3%,0.0%,.541,.621,-1.66,-.032,Saguaros,MSS vs. SUR (2025-10-07)<br>L 6-9,10/7/25
7,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784099,2025-09-03 18:05:00,HV - AFA,537,AFA,true,false,true,Hudson Valley,HV,HV,477,GBO,GBO,L 1-7,NYY,PIT,22.5,23,1,2.0,49,10,49.0%,94.3,95.3,17.5,6.97,20.0%,30.0%,57.1%,42.9%,24.5%,70.0%,60.0%,12.50%,0.00%,22.4%,26.1%,18.8%,25.0%,73.9%,20.0%,.347,.332,0.47,.010,Grasshoppers,HV vs. GBO (2025-09-03)<br>L 1-7,9/3/25
8,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784364,2025-08-27 18:40:00,HV - AFA,537,AFA,false,false,true,Hudson Valley,HV,HV,453,BRK,BRK,L 7-8,NYY,NYM,22.5,23,1,1.2,43,12,44.2%,93.8,95.0,18.2,6.73,16.7%,8.3%,60.5%,51.2%,14.0%,58.3%,63.6%,14.29%,66.67%,20.9%,22.7%,20.0%,33.3%,77.3%,0.0%,.362,.627,-0.30,-.007,Cyclones,HV vs. BRK (2025-08-27)<br>L 7-8,8/27/25
9,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784039,2025-08-21 12:05:00 (1),HV - AFA,537,AFA,false,true,true,Hudson Valley,HV,HV,427,JS,JS,W 4-1 (7),NYY,PHI,22.5,23,1,2.2,37,9,43.2%,93.8,94.4,17.8,6.75,44.4%,11.1%,64.9%,48.6%,13.5%,66.7%,63.6%,40.00%,100.00%,37.8%,41.2%,20.0%,36.8%,58.8%,25.0%,.219,.216,0.55,.015,BlueClaws,HV vs. JS (2025-08-21)<br>W 4-1,8/21/25
10,701480,B. Cunningham,Bryce Cunningham,Cunningham,Bryce,P,,,,,,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784106,2025-08-13 18:35:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,488,ABD,ABD,W 1-0 (10),NYY,BAL,22.5,23,1,1.1,30,6,43.3%,93.4,93.9,18.0,6.73,0.0%,50.0%,50.0%,46.7%,26.7%,66.7%,50.0%,0.00%,0.00%,20.0%,10.0%,0.0%,18.8%,90.0%,33.3%,.399,.344,0.32,.011,IronBirds,HV vs. ABD (2025-08-13)<br>W 1-0,8/13/25
