Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786221,2025-08-15 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,548,DEL,DEL,W 2-1,CLE,BAL,20,1,4.0,52,17,40.4%,92.7,93.4,18.3,6.10,29.4%,0.0%,69.2%,53.8%,15.4%,64.7%,58.8%,28.57%,71.43%,38.5%,36.0%,33.3%,29.2%,64.0%,20.0%,.293,.314,0.12,.002,Shorebirds,HC vs. DEL (2025-08-15)<br>W 2-1,8/15/25
2,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786747,2025-08-09 12:05:00 (1),HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,249,WIL,WIL,L 2-3 (7),CLE,MIL,20,1,4.0,62,15,38.7%,94.1,94.8,17.6,6.61,46.7%,0.0%,75.8%,59.7%,14.5%,60.0%,80.0%,27.27%,50.00%,38.7%,36.1%,34.6%,40.0%,63.9%,12.5%,.254,.220,0.78,.013,Mudcats,HC vs. WIL (2025-08-09)<br>L 2-3,8/9/25
3,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786226,2025-08-01 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,414,SAL,SAL,L 0-1,CLE,BOS,20,1,5.2,61,21,29.5%,92.1,92.6,16.9,6.37,33.3%,0.0%,82.0%,59.0%,8.2%,66.7%,77.3%,66.67%,70.00%,39.3%,27.8%,18.2%,56.0%,72.2%,7.1%,.179,.252,2.01,.033,Red Sox,HC vs. SAL (2025-08-01)<br>L 0-1,8/1/25
4,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786566,2025-07-26 19:05:00,HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,548,DEL,DEL,L 0-6,CLE,BAL,20,1,4.0,61,14,39.3%,92.2,93.6,17.3,6.34,42.9%,0.0%,62.3%,52.5%,13.1%,78.6%,57.1%,18.75%,60.00%,36.1%,33.3%,16.7%,20.7%,66.7%,0.0%,.117,.051,1.43,.023,Shorebirds,HC vs. DEL (2025-07-26)<br>L 0-6,7/26/25
5,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786434,2025-07-20 12:05:00 (1),HC - AFX,481,AFX,false,false,true,Hill City,HC,HC,436,FBG,FBG,L 2-8 (7),CLE,WSH,20,1,4.0,50,18,46.0%,91.7,92.2,18.3,6.39,22.2%,0.0%,72.0%,54.0%,4.0%,72.2%,61.1%,28.57%,80.00%,32.0%,33.3%,21.1%,47.8%,66.7%,7.7%,.269,.305,0.87,.017,Nationals,HC vs. FBG (2025-07-20)<br>L 2-8,7/20/25
6,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786230,2025-07-10 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,448,HIC,HIC,L 2-3,CLE,TEX,20,1,5.0,67,22,47.8%,91.8,92.7,17.3,6.24,4.5%,9.1%,68.7%,62.7%,9.0%,72.7%,63.6%,10.00%,25.00%,16.4%,2.8%,3.3%,24.0%,97.2%,10.5%,.308,.373,0.88,.013,Crawdads,HC vs. HIC (2025-07-10)<br>L 2-3,7/10/25
7,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786239,2025-07-02 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,414,SAL,SAL,L 2-5 (10),CLE,BOS,20,1,5.0,65,19,33.8%,91.2,91.8,18.4,6.28,36.8%,0.0%,75.4%,44.6%,12.3%,78.9%,68.4%,22.22%,63.64%,40.0%,34.3%,15.8%,44.4%,65.7%,0.0%,.152,.177,2.15,.033,Red Sox,HC vs. SAL (2025-07-02)<br>L 2-5,7/2/25
8,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786702,2025-06-26 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,233,CHS,CHS,W 3-2,CLE,TB,20,1,4.2,80,19,43.8%,92.8,93.5,18.3,6.38,42.1%,10.5%,67.5%,57.5%,12.5%,68.4%,68.4%,25.00%,77.78%,35.0%,29.7%,17.9%,26.5%,70.3%,11.1%,.220,.278,1.55,.019,RiverDogs,HC vs. CHS (2025-06-26)<br>W 3-2,6/26/25
9,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786844,2025-06-20 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,478,AUG,AUG,W 4-1,CLE,ATL,20,1,3.2,67,17,44.8%,92.5,93.3,17.4,6.38,11.8%,11.8%,68.7%,52.2%,14.9%,70.6%,81.3%,6.67%,22.22%,25.4%,19.4%,12.0%,34.4%,80.6%,0.0%,.300,.353,1.24,.019,GreenJackets,HC vs. AUG (2025-06-20)<br>W 4-1,6/20/25
10,815785,B. Doughty,Braylon Doughty,Doughty,Braylon,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2025,786241,2025-06-14 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,249,WIL,WIL,W 7-5,CLE,MIL,20,1,1.2,44,10,56.8%,93.6,94.4,18.3,6.32,20.0%,20.0%,68.2%,59.1%,13.6%,60.0%,70.0%,8.33%,25.00%,25.0%,24.0%,11.1%,38.9%,76.0%,16.7%,.316,.402,0.76,.017,Mudcats,HC vs. WIL (2025-06-14)<br>W 7-5,6/14/25
