Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,814157,2025-09-16 18:35:00,SOM - AAX,1956,AAX,true,false,true,Somerset,SOM,SOM,505,BNG,BNG,L 1-3,NYY,NYM,22.8,23,1,5.0,88,21,33.0%,93.6,94.8,20.2,6.69,19.0%,9.5%,62.5%,50.0%,14.8%,71.4%,57.1%,14.29%,44.44%,25.0%,23.3%,15.6%,25.0%,76.7%,6.7%,.265,.251,1.14,.013,Rumble Ponies,SOM vs. BNG (2025-09-16)<br>L 1-3,9/16/25
2,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783147,2025-09-10 18:45:00,SOM - AAX,1956,AAX,false,false,true,Somerset,SOM,SOM,522,REA,REA,L 3-5 (10),NYY,PHI,22.8,23,1,6.0,81,22,11.1%,93.1,94.1,18.9,6.79,27.3%,9.1%,59.3%,44.4%,23.5%,72.7%,54.5%,40.00%,57.14%,32.1%,31.3%,10.5%,28.9%,68.8%,27.3%,.263,.200,0.57,.007,Fightin Phils,SOM vs. REA (2025-09-10)<br>L 3-5,9/10/25
3,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783006,2025-09-04 18:35:00,SOM - AAX,1956,AAX,true,true,true,Somerset,SOM,SOM,463,NH,NH,W 4-1 (5),NYY,TOR,22.8,23,1,5.0,70,20,25.7%,92.4,93.6,19.6,6.71,35.0%,5.0%,70.0%,60.0%,12.9%,70.0%,85.0%,23.08%,63.64%,37.1%,36.1%,31.0%,25.0%,63.9%,41.7%,.289,.248,0.05,.001,Fisher Cats,SOM vs. NH (2025-09-04)<br>W 4-1,9/4/25
4,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783635,2025-08-29 19:05:00,SOM - AAX,1956,AAX,false,true,true,Somerset,SOM,SOM,505,BNG,BNG,W 6-5,NYY,NYM,22.8,23,1,5.2,95,22,32.6%,93.6,94.4,20.0,6.78,36.4%,9.1%,67.4%,51.6%,11.6%,72.7%,77.3%,20.00%,57.14%,30.5%,27.1%,17.6%,30.4%,72.9%,0.0%,.290,.217,0.49,.005,Rumble Ponies,SOM vs. BNG (2025-08-29)<br>W 6-5,8/29/25
5,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783010,2025-08-23 18:35:00,SOM - AAX,1956,AAX,true,true,true,Somerset,SOM,SOM,538,HFD,HFD,W 5-3,NYY,COL,22.8,23,1,5.0,82,20,17.1%,94.1,95.1,19.5,6.89,45.0%,10.0%,63.4%,45.1%,22.0%,80.0%,71.4%,17.65%,75.00%,41.5%,45.5%,29.4%,35.6%,54.5%,12.5%,.249,.193,1.06,.013,Yard Goats,SOM vs. HFD (2025-08-23)<br>W 5-3,8/23/25
6,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783222,2025-08-17 13:00:00,SOM - AAX,1956,AAX,false,true,true,Somerset,SOM,SOM,546,POR,POR,W 4-3 (10),NYY,BOS,22.8,23,1,6.0,72,21,30.6%,92.9,94.2,20.8,6.71,23.8%,14.3%,65.3%,56.9%,18.1%,66.7%,66.7%,12.50%,83.33%,33.3%,34.3%,31.0%,19.4%,65.7%,23.1%,.226,.182,2.30,.032,Sea Dogs,SOM vs. POR (2025-08-17)<br>W 4-3,8/17/25
7,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783224,2025-08-12 18:00:00,SOM - AAX,1956,AAX,false,false,true,Somerset,SOM,SOM,546,POR,POR,L 3-6,NYY,BOS,22.8,23,1,4.2,84,21,10.7%,93.7,95.3,20.7,6.89,28.6%,9.5%,65.5%,54.8%,11.9%,47.6%,81.0%,28.57%,55.56%,38.1%,37.8%,25.9%,26.3%,62.2%,23.1%,.282,.251,0.89,.011,Sea Dogs,SOM vs. POR (2025-08-12)<br>L 3-6,8/12/25
8,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Somerset Patriots,SOM,1956,Somerset,AAX,NYY,2025,783020,2025-08-06 18:35:00,SOM - AAX,1956,AAX,true,false,true,Somerset,SOM,SOM,505,BNG,BNG,L 1-6,NYY,NYM,22.8,23,1,4.1,81,18,30.9%,93.4,94.4,20.2,6.77,22.2%,5.6%,58.0%,45.7%,21.0%,55.6%,38.9%,18.18%,37.50%,24.7%,18.2%,10.5%,31.8%,81.8%,15.4%,.356,.320,-1.03,-.013,Rumble Ponies,SOM vs. BNG (2025-08-06)<br>L 1-6,8/6/25
9,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,783911,2025-08-01 12:05:00 (1),HV - AFA,537,AFA,false,false,true,Hudson Valley,HV,HV,426,WIL,WIL,L 0-1 (7),NYY,WSH,22.8,23,1,5.0,75,19,42.7%,94.4,95.5,20.9,6.92,26.3%,5.3%,65.3%,53.3%,14.7%,63.2%,68.4%,60.00%,40.00%,30.7%,27.8%,17.9%,22.9%,72.2%,16.7%,.272,.176,0.63,.008,Blue Rocks,HV vs. WIL (2025-08-01)<br>L 0-1,8/1/25
10,696292,B. Hess,Ben Hess,Hess,Ben,P,Somerset Patriots,SOM,1956,Somerset,aax,,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784115,2025-07-26 17:05:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,432,ROM,ROM,W 5-1,NYY,ATL,22.8,23,1,4.2,71,16,25.4%,93.9,95.4,20.4,6.84,37.5%,0.0%,66.2%,49.3%,15.5%,68.8%,58.8%,23.08%,66.67%,33.8%,25.8%,31.6%,33.3%,74.2%,0.0%,.217,.154,0.64,.009,Emperors,HV vs. ROM (2025-07-26)<br>W 5-1,7/26/25
