Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786412,2025-09-03 11:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 3-4 (10),MIL,WSH,20,1,1.0,14,3,64.3%,95.2,95.5,20.9,6.66,100.0%,0.0%,71.4%,57.1%,7.1%,100.0%,100.0%,40.00%,100.00%,57.1%,66.7%,75.0%,33.3%,33.3%,-,.000,.000,0.57,.040,Nationals,WIL vs. FBG (2025-09-03)<br>L 3-4,9/3/25
2,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786823,2025-08-01 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,478,AUG,AUG,L 4-12,MIL,ATL,20,1,2.0,37,10,56.8%,94.5,95.4,17.2,6.58,0.0%,10.0%,64.9%,51.4%,10.8%,70.0%,70.0%,0.00%,0.00%,16.2%,5.3%,6.7%,22.2%,94.7%,12.5%,.428,.405,-0.77,-.021,GreenJackets,WIL vs. AUG (2025-08-01)<br>L 4-12,8/1/25
3,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786746,2025-07-26 17:00:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,487,KAN,KAN,L 4-5 (10),MIL,CWS,20,1,6.0,77,23,48.1%,93.6,94.6,16.0,6.69,21.7%,0.0%,70.1%,58.4%,16.9%,60.9%,66.7%,16.67%,66.67%,26.0%,22.7%,18.9%,21.9%,77.3%,5.6%,.283,.352,0.16,.002,Cannon Ballers,WIL vs. KAN (2025-07-26)<br>L 4-5,7/26/25
4,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786563,2025-07-20 17:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 5-2,MIL,BAL,20,1,5.0,64,16,48.4%,94.6,96.1,18.4,6.58,37.5%,0.0%,64.1%,45.3%,21.9%,68.8%,43.8%,30.00%,57.14%,31.3%,30.0%,21.1%,31.4%,70.0%,11.1%,.211,.200,0.46,.007,Shorebirds,WIL vs. DEL (2025-07-20)<br>W 5-2,7/20/25
5,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786758,2025-07-12 17:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 5-3,MIL,WSH,20,1,6.0,81,25,48.1%,93.8,94.5,17.3,6.73,24.0%,4.0%,70.4%,56.8%,16.0%,72.0%,73.1%,16.67%,50.00%,34.6%,31.0%,22.6%,31.4%,69.0%,35.3%,.390,.380,-1.45,-.018,Nationals,WIL vs. FBG (2025-07-12)<br>W 5-3,7/12/25
6,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786506,2025-07-05 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 2-10,MIL,HOU,20,1,4.1,82,20,45.1%,93.1,94.4,17.7,6.78,30.0%,10.0%,65.9%,53.7%,8.5%,60.0%,60.0%,18.18%,54.55%,34.1%,25.7%,16.7%,28.9%,74.3%,41.7%,.376,.366,-0.78,-.009,Woodpeckers,WIL vs. FAY (2025-07-05)<br>L 2-10,7/5/25
7,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786571,2025-06-29 14:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 4-2,MIL,BAL,20,1,3.0,44,10,50.0%,94.7,95.7,18.8,6.76,20.0%,10.0%,54.5%,52.3%,18.2%,50.0%,20.0%,25.00%,100.00%,22.7%,22.2%,6.7%,14.3%,77.8%,0.0%,.274,.194,0.37,.008,Shorebirds,WIL vs. DEL (2025-06-29)<br>W 4-2,6/29/25
8,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786578,2025-06-24 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 6-13,MIL,BAL,20,1,4.0,69,21,53.6%,93.0,93.8,18.1,6.55,9.5%,4.8%,60.9%,47.8%,13.0%,52.4%,57.1%,25.00%,16.67%,18.8%,12.1%,4.2%,25.0%,87.9%,27.8%,.399,.582,-1.54,-.022,Shorebirds,WIL vs. DEL (2025-06-24)<br>L 6-13,6/24/25
9,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786762,2025-06-18 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,3705,COL,COL,L 4-7,MIL,KC,20,1,6.0,74,24,43.2%,93.2,93.7,17.9,6.80,16.7%,8.3%,66.2%,54.1%,20.3%,70.8%,54.2%,25.00%,37.50%,27.0%,17.1%,14.8%,23.5%,82.9%,11.1%,.271,.262,0.55,.007,Fireflies,WIL vs. COL (2025-06-18)<br>L 4-7,6/18/25
10,815501,B. Meccage,Bryce Meccage,Meccage,Bryce,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786243,2025-06-12 18:30:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,481,HC,HC,L 1-13,MIL,CLE,20,1,3.2,71,18,45.1%,92.7,93.4,16.9,6.54,16.7%,11.1%,54.9%,50.7%,21.1%,55.6%,50.0%,22.22%,60.00%,19.7%,19.4%,8.3%,20.0%,80.6%,23.1%,.340,.384,-0.41,-.006,Hillcats,WIL vs. HC (2025-06-12)<br>L 1-13,6/12/25
