Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756394,2024-09-05 21:30:00,RC - AFX,526,AFX,true,true,true,Rancho Cuca.,RC,RC,516,VIS,VIS,W 8-6,LAD,AZ,19.7,21,1,5.0,67,16,37.3%,93.6,94.6,16.2,6.31,25.0%,12.5%,64.2%,41.8%,17.9%,68.8%,68.8%,10.00%,44.44%,38.8%,39.3%,40.0%,33.3%,60.7%,0.0%,.202,.214,1.91,.029,Rawhide,RC vs. VIS (2024-09-05)<br>W 8-6,9/5/24
2,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756653,2024-08-30 22:00:00,RC - AFX,526,AFX,false,true,true,Rancho Cuca.,RC,RC,476,SJ,SJ,W 6-4,LAD,SF,19.7,21,1,5.0,64,18,3.2%,92.1,93.3,18.1,6.31,38.9%,0.0%,70.3%,47.6%,14.3%,83.3%,66.7%,35.71%,60.00%,35.9%,33.3%,29.4%,45.5%,66.7%,10.0%,.212,.147,0.97,.015,Giants,RC vs. SJ (2024-08-30)<br>W 6-4,8/30/24
3,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756397,2024-08-24 21:30:00,RC - AFX,526,AFX,true,false,true,Rancho Cuca.,RC,RC,103,LE,LE,L 5-8,LAD,SD,19.7,21,1,5.0,66,19,25.8%,92.6,93.0,17.5,6.37,31.6%,0.0%,71.2%,57.6%,13.6%,84.2%,78.9%,40.00%,55.56%,37.9%,42.1%,39.3%,35.7%,57.9%,7.7%,.183,.139,2.11,.032,Storm,RC vs. LE (2024-08-24)<br>L 5-8,8/24/24
4,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756530,2024-08-18 15:05:00,RC - AFX,526,AFX,false,false,true,Rancho Cuca.,RC,RC,516,VIS,VIS,L 1-8,LAD,AZ,19.7,21,1,1.2,53,11,35.8%,93.5,94.0,16.2,5.88,18.2%,18.2%,62.3%,48.1%,17.3%,54.5%,63.6%,11.76%,33.33%,22.6%,16.0%,12.5%,29.6%,84.0%,0.0%,.337,.446,0.39,.007,Rawhide,RC vs. VIS (2024-08-18)<br>L 1-8,8/18/24
5,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756398,2024-08-11 20:00:00,RC - AFX,526,AFX,true,false,true,Rancho Cuca.,RC,RC,259,FRE,FRE,L 2-9,LAD,COL,19.7,21,1,4.0,67,18,23.9%,92.5,92.8,16.0,6.18,38.9%,5.6%,64.2%,41.8%,20.9%,66.7%,61.1%,40.00%,71.43%,34.3%,41.2%,45.0%,35.9%,58.8%,0.0%,.229,.344,0.79,.012,Grizzlies,RC vs. FRE (2024-08-11)<br>L 2-9,8/11/24
6,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756413,2024-08-04 20:00:00,RC - AFX,526,AFX,true,true,true,Rancho Cuca.,RC,RC,476,SJ,SJ,W 6-2,LAD,SF,19.7,21,1,5.0,64,16,39.1%,93.0,93.8,15.8,6.31,50.0%,0.0%,64.1%,54.7%,18.8%,75.0%,68.8%,55.56%,70.00%,35.9%,43.8%,42.9%,13.8%,56.3%,0.0%,.182,.128,0.89,.014,Giants,RC vs. SJ (2024-08-04)<br>W 6-2,8/4/24
7,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756409,2024-07-30 21:30:00,RC - AFX,526,AFX,true,false,true,Rancho Cuca.,RC,RC,476,SJ,SJ,L 2-3,LAD,SF,19.7,21,1,4.0,71,18,23.9%,92.3,93.0,16.0,6.44,22.2%,16.7%,53.5%,50.7%,15.5%,44.4%,44.4%,22.22%,66.67%,29.6%,26.1%,16.7%,14.3%,73.9%,11.1%,.338,.282,-0.10,-.001,Giants,RC vs. SJ (2024-07-30)<br>L 2-3,7/30/24
8,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756742,2024-07-24 21:35:00,RC - AFX,526,AFX,false,true,true,Rancho Cuca.,RC,RC,401,IE,IE,W 4-3,LAD,LAA,19.7,21,1,4.0,66,17,28.8%,92.2,93.6,18.0,5.85,23.5%,17.6%,54.5%,42.4%,24.2%,64.7%,47.1%,20.00%,75.00%,30.3%,46.7%,38.1%,23.7%,53.3%,0.0%,.322,.294,0.64,.010,66ers,RC vs. IE (2024-07-24)<br>W 4-3,7/24/24
9,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756480,2024-07-10 22:05:00,RC - AFX,526,AFX,false,true,true,Rancho Cuca.,RC,RC,524,STK,STK,W 11-9,LAD,ATH,19.7,21,1,3.0,63,18,23.8%,92.5,93.0,17.1,5.66,0.0%,11.1%,58.7%,54.0%,17.5%,38.9%,64.7%,0.00%,0.00%,20.6%,14.3%,7.7%,6.9%,85.7%,30.8%,.413,.606,-0.74,-.012,Ports,RC vs. STK (2024-07-10)<br>W 11-9,7/10/24
10,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756418,2024-07-02 21:30:00,RC - AFX,526,AFX,true,false,true,Rancho Cuca.,RC,RC,516,VIS,VIS,L 4-13,LAD,AZ,19.7,21,1,3.1,76,21,21.1%,93.1,93.5,15.5,6.29,19.0%,14.3%,61.8%,42.1%,15.8%,52.4%,57.1%,27.27%,40.00%,31.6%,37.8%,25.0%,29.5%,62.2%,36.4%,.418,.542,-1.15,-.015,Rawhide,RC vs. VIS (2024-07-02)<br>L 4-13,7/2/24
11,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756882,2024-06-26 21:05:00,RC - AFX,526,AFX,false,false,true,Rancho Cuca.,RC,RC,103,LE,LE,L 5-7,LAD,SD,19.7,21,1,3.0,62,14,1.6%,89.6,93.1,15.9,6.60,21.4%,14.3%,59.7%,54.8%,11.3%,50.0%,42.9%,10.00%,33.33%,24.2%,15.4%,10.0%,21.4%,84.6%,11.1%,.432,.454,-0.86,-.014,Storm,RC vs. LE (2024-06-26)<br>L 5-7,6/26/24
12,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756419,2024-06-20 21:30:00,RC - AFX,526,AFX,true,false,true,Rancho Cuca.,RC,RC,401,IE,IE,L 6-8,LAD,LAA,19.7,21,1,1.2,51,12,23.5%,91.2,92.6,16.0,6.28,25.0%,8.3%,58.8%,49.0%,21.6%,33.3%,45.5%,50.00%,40.00%,25.5%,32.0%,20.0%,19.2%,68.0%,12.5%,.434,.557,-1.31,-.026,66ers,RC vs. IE (2024-06-20)<br>L 6-8,6/20/24
13,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756824,2024-06-14 22:05:00,RC - AFX,526,AFX,false,true,true,Rancho Cuca.,RC,RC,259,FRE,FRE,W 2-0,LAD,COL,19.7,21,1,3.2,70,15,38.6%,92.1,93.4,17.4,5.74,46.7%,6.7%,67.1%,45.7%,21.4%,60.0%,80.0%,37.50%,75.00%,34.3%,36.1%,33.3%,39.5%,63.9%,16.7%,.281,.247,0.39,.006,Grizzlies,RC vs. FRE (2024-06-14)<br>W 2-0,6/14/24
14,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,Rancho Cucamonga Quakes,RC,526,Rancho Cuca.,AFX,LAD,2024,756429,2024-06-07 21:30:00,RC - AFX,526,AFX,true,true,true,Rancho Cuca.,RC,RC,516,VIS,VIS,W 8-4,LAD,AZ,19.7,21,1,4.0,59,19,27.1%,92.9,93.6,16.7,6.29,21.1%,0.0%,71.2%,50.8%,15.3%,52.6%,68.4%,40.00%,50.00%,32.2%,23.3%,14.3%,31.0%,76.7%,7.7%,.312,.327,-0.18,-.003,Rawhide,RC vs. VIS (2024-06-07)<br>W 8-4,6/7/24
15,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,ACL Dodgers,A-DOD,5427,ACL Dodgers,ROK,LAD,2024,772506,2024-05-30 21:00:00,A-DOD - ROK,5427,ROK,true,true,true,ACL Dodgers,A-DOD,A-DOD,412,A-ROY,A-ROY,W 10-3,LAD,KC,19.7,21,1,2.2,35,10,0.0%,-,93.0,18.1,6.33,30.0%,0.0%,68.6%,58.8%,17.6%,90.0%,80.0%,33.33%,60.00%,34.3%,25.0%,21.4%,7.1%,75.0%,0.0%,.306,.293,-0.30,-.009,ACL Royals,A-DOD vs. A-ROY (2024-05-30)<br>W 10-3,5/30/24
16,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,ACL Dodgers,A-DOD,5427,ACL Dodgers,ROK,LAD,2024,772234,2024-05-22 21:00:00,A-DOD - ROK,5427,ROK,false,true,true,ACL Dodgers,A-DOD,A-DOD,1997,A-WSX,A-WSX,W 10-6 (7),LAD,CWS,19.7,21,1,4.0,65,16,33.8%,91.9,93.0,16.2,5.84,25.0%,6.3%,69.2%,32.3%,27.7%,68.8%,56.3%,0.00%,36.36%,44.6%,27.3%,22.2%,29.5%,72.7%,10.0%,.269,.232,-0.15,-.002,ACL White Sox,A-DOD vs. A-WSX (2024-05-22)<br>W 10-6,5/22/24
17,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,ACL Dodgers,A-DOD,5427,ACL Dodgers,ROK,LAD,2024,772329,2024-05-16 21:00:00,A-DOD - ROK,5427,ROK,false,false,true,ACL Dodgers,A-DOD,A-DOD,3430,A-RED,A-RED,L 3-4 (10),LAD,CIN,19.7,21,1,4.0,60,15,40.0%,93.1,93.7,16.8,6.35,40.0%,13.3%,70.0%,55.0%,13.3%,80.0%,53.3%,10.00%,71.43%,36.7%,33.3%,30.0%,37.0%,66.7%,14.3%,.303,.257,0.67,.011,ACL Reds,A-DOD vs. A-RED (2024-05-16)<br>L 3-4,5/16/24
18,800537,C. Zazueta,Christian Zazueta,Zazueta,Christian,P,Great Lakes Loons,GL,456,Great Lakes,afa,LAD,ACL Dodgers,A-DOD,5427,ACL Dodgers,ROK,LAD,2024,772511,2024-05-10 21:00:00,A-DOD - ROK,5427,ROK,true,false,true,ACL Dodgers,A-DOD,A-DOD,1997,A-WSX,A-WSX,L 3-5 (7),LAD,CWS,19.7,21,1,4.0,58,15,-,-,-,-,-,46.7%,0.0%,67.2%,-,-,60.0%,62.5%,83.33%,75.00%,46.6%,52.0%,-,-,48.0%,-,.268,.313,0.47,.008,ACL White Sox,A-DOD vs. A-WSX (2024-05-10)<br>L 3-5,5/10/24
