Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,2024,753019,2024-09-20 19:05:00,GWN - AAA,431,AAA,false,false,true,Gwinnett,GWN,GWN,564,JAX,JAX,L 2-3,ATL,MIA,22.3,24,1,5.2,91,22,31.9%,94.0,94.4,14.0,5.64,18.2%,18.2%,53.8%,37.4%,19.8%,59.1%,36.4%,18.75%,42.86%,22.0%,31.0%,18.5%,26.3%,69.0%,0.0%,.246,.205,1.82,.020,Jumbo Shrimp,GWN vs. JAX (2024-09-20)<br>L 2-3,9/20/24
2,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,2024,753247,2024-09-12 19:05:00,GWN - AAA,431,AAA,true,false,true,Gwinnett,GWN,GWN,422,BUF,BUF,L 2-3,ATL,TOR,22.3,24,1,6.0,95,25,42.6%,93.2,94.0,12.1,5.66,28.0%,4.0%,60.0%,45.7%,22.3%,48.0%,60.0%,66.67%,66.67%,29.5%,27.5%,6.9%,21.6%,72.5%,5.9%,.238,.204,0.67,.007,Bisons,GWN vs. BUF (2024-09-12)<br>L 2-3,9/12/24
3,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,2024,752726,2024-09-05 19:35:00,GWN - AAA,431,AAA,false,true,true,Gwinnett,GWN,GWN,556,NAS,NAS,W 9-2,ATL,MIL,22.3,24,1,6.0,97,24,29.9%,94.8,95.1,12.1,5.65,25.0%,20.8%,53.6%,40.2%,16.5%,54.2%,62.5%,25.00%,60.00%,22.7%,28.6%,16.7%,20.7%,71.4%,15.4%,.283,.254,0.88,.009,Sounds,GWN vs. NAS (2024-09-05)<br>W 9-2,9/5/24
4,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,2024,753254,2024-08-30 19:05:00,GWN - AAA,431,AAA,true,true,true,Gwinnett,GWN,GWN,445,COL,COL,W 2-1,ATL,CLE,22.3,24,1,6.0,84,24,27.4%,94.1,94.7,11.7,5.67,4.2%,20.8%,53.6%,46.4%,25.0%,58.3%,58.3%,0.00%,25.00%,15.5%,3.0%,0.0%,13.3%,97.0%,11.1%,.356,.291,-0.32,-.004,Clippers,GWN vs. COL (2024-08-30)<br>W 2-1,8/30/24
5,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750269,2024-08-22 19:35:00,MIS - AAX,430,AAX,true,true,true,Mississippi,MIS,MIS,498,CHA,CHA,W 3-0,ATL,CIN,22.3,24,1,5.0,86,21,15.1%,95.2,95.5,13.4,5.70,33.3%,14.3%,60.5%,48.8%,16.3%,52.4%,66.7%,25.00%,71.43%,29.1%,28.9%,15.4%,27.3%,71.1%,0.0%,.251,.284,1.14,.013,Lookouts,MIS vs. CHA (2024-08-22)<br>W 3-0,8/22/24
6,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750484,2024-08-16 19:35:00,MIS - AAX,430,AAX,false,true,true,Mississippi,MIS,MIS,5015,BLX,BLX,W 2-0,ATL,MIL,22.3,24,1,6.0,92,23,12.0%,94.4,95.7,13.6,5.45,26.1%,4.3%,63.0%,53.3%,18.5%,69.6%,78.3%,15.00%,40.00%,28.3%,22.0%,17.6%,16.3%,78.0%,7.1%,.193,.208,1.66,.018,Shuckers,MIS vs. BLX (2024-08-16)<br>W 2-0,8/16/24
7,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750277,2024-08-09 19:35:00,MIS - AAX,430,AAX,true,false,true,Mississippi,MIS,MIS,4124,PNS,PNS,L 1-2,ATL,MIA,22.3,24,1,6.0,89,22,22.5%,94.2,94.5,11.6,5.70,27.3%,9.1%,62.9%,46.1%,18.0%,59.1%,59.1%,27.27%,57.14%,28.1%,18.4%,15.4%,25.0%,81.6%,7.1%,.201,.143,1.53,.017,Blue Wahoos,MIS vs. PNS (2024-08-09)<br>L 1-2,8/9/24
8,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750285,2024-08-02 19:35:00,MIS - AAX,430,AAX,true,true,true,Mississippi,MIS,MIS,553,KNX,KNX,W 7-6,ATL,CHC,22.3,24,1,3.0,83,18,10.8%,94.4,95.1,11.3,5.65,33.3%,5.6%,61.4%,47.0%,12.0%,77.8%,47.1%,15.79%,55.56%,39.8%,41.9%,30.0%,25.0%,58.1%,18.2%,.339,.511,-1.18,-.014,Smokies,MIS vs. KNX (2024-08-02)<br>W 7-6,8/2/24
9,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750214,2024-07-28 14:30:00 (1),MIS - AAX,430,AAX,false,false,true,Mississippi,MIS,MIS,421,MTG,MTG,L 3-4 (7),ATL,TB,22.3,24,1,5.0,64,18,9.4%,93.6,95.0,13.9,5.67,33.3%,5.6%,64.1%,48.4%,17.2%,66.7%,66.7%,37.50%,83.33%,34.4%,40.6%,27.3%,30.3%,59.4%,18.2%,.246,.206,0.94,.015,Biscuits,MIS vs. MTG (2024-07-28)<br>L 3-4,7/28/24
10,802357,D. Hackenberg,Drue Hackenberg,Hackenberg,Drue,P,,,,,,,Mississippi Braves,MIS,430,Mississippi,AAX,ATL,2024,750147,2024-07-21 17:05:00,MIS - AAX,430,AAX,false,true,true,Mississippi,MIS,MIS,4124,PNS,PNS,W 5-1 (11),ATL,MIA,22.3,24,1,7.0,90,25,16.7%,94.6,95.0,13.6,5.76,64.0%,0.0%,74.4%,53.3%,12.2%,64.0%,76.0%,66.67%,93.33%,45.6%,50.0%,35.3%,42.9%,50.0%,0.0%,.070,.106,3.97,.044,Blue Wahoos,MIS vs. PNS (2024-07-21)<br>W 5-1,7/21/24
