Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,775415,2024-09-10 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 4-5,TB,CWS,19.8,21,1,3.1,71,19,7.0%,93.2,95.4,14.8,6.21,26.3%,15.8%,60.6%,46.5%,9.9%,52.6%,63.2%,26.67%,66.67%,31.0%,40.0%,25.0%,28.9%,60.0%,20.0%,.314,.449,0.55,.008,Cannon Ballers,CHS vs. KAN (2024-09-10)<br>L 4-5,9/10/24
2,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754152,2024-09-04 19:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,3705,COL,COL,L 0-7,TB,KC,19.8,21,1,4.0,64,23,10.9%,92.4,93.8,14.8,6.05,4.3%,13.0%,65.6%,51.6%,12.5%,60.9%,56.5%,0.00%,12.50%,18.8%,11.8%,4.2%,32.3%,88.2%,10.5%,.418,.498,-0.95,-.015,Fireflies,CHS vs. COL (2024-09-04)<br>L 0-7,9/4/24
3,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754216,2024-08-29 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 6-3,TB,HOU,19.8,21,1,4.2,69,18,4.3%,91.4,93.2,14.0,6.20,11.1%,16.7%,63.8%,50.7%,20.3%,66.7%,72.2%,13.33%,33.33%,26.1%,10.3%,9.5%,23.5%,89.7%,23.1%,.266,.331,1.24,.018,Woodpeckers,CHS vs. FAY (2024-08-29)<br>W 6-3,8/29/24
4,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754222,2024-08-22 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,521,MB,MB,L 2-6,TB,CHC,19.8,21,1,5.0,85,23,7.1%,92.1,94.1,14.9,6.18,21.7%,0.0%,63.5%,54.1%,16.5%,47.8%,52.2%,21.43%,62.50%,30.6%,26.3%,18.5%,28.2%,73.7%,11.1%,.215,.335,1.55,.018,Pelicans,CHS vs. MB (2024-08-22)<br>L 2-6,8/22/24
5,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753826,2024-08-15 18:30:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,487,KAN,KAN,L 2-6,TB,CWS,19.8,21,1,5.0,81,21,28.4%,93.9,95.0,14.5,5.69,33.3%,4.8%,72.8%,50.6%,16.0%,66.7%,76.2%,27.27%,63.64%,23.5%,20.0%,8.8%,40.0%,80.0%,9.1%,.211,.320,1.54,.019,Cannon Ballers,CHS vs. KAN (2024-08-15)<br>L 2-6,8/15/24
6,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754228,2024-08-09 12:05:00 (1),CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 1-2,TB,ATL,19.8,21,1,6.0,83,19,1.2%,94.0,94.1,13.6,6.29,10.5%,10.5%,60.2%,47.0%,9.6%,57.9%,45.0%,10.00%,12.50%,26.5%,24.3%,28.6%,20.5%,75.7%,14.3%,.202,.119,2.39,.029,GreenJackets,CHS vs. AUG (2024-08-09)<br>L 1-2,8/9/24
7,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754299,2024-07-30 18:30:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 6-1,TB,MIL,19.8,21,1,7.0,81,26,3.7%,90.7,94.3,14.4,6.08,26.9%,0.0%,71.6%,58.0%,11.1%,65.4%,69.2%,27.27%,58.33%,28.4%,25.5%,14.3%,35.3%,74.5%,15.8%,.289,.232,0.18,.002,Mudcats,CHS vs. WIL (2024-07-30)<br>W 6-1,7/30/24
8,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754234,2024-07-23 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 1-0,TB,CWS,19.8,21,1,6.0,83,20,14.1%,94.6,94.7,13.1,5.51,35.0%,0.0%,71.1%,56.3%,7.0%,75.0%,55.0%,16.67%,55.56%,30.1%,27.7%,23.1%,41.9%,72.3%,0.0%,.187,.124,2.37,.029,Cannon Ballers,CHS vs. KAN (2024-07-23)<br>W 1-0,7/23/24
9,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754240,2024-07-11 19:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,3705,COL,COL,L 6-11,TB,KC,19.8,21,1,2.1,65,18,1.5%,94.1,94.8,14.2,6.26,11.1%,16.7%,61.5%,47.7%,12.3%,33.3%,72.2%,12.50%,16.67%,26.2%,23.3%,19.0%,26.5%,76.7%,7.7%,.524,.770,-2.08,-.032,Fireflies,CHS vs. COL (2024-07-11)<br>L 6-11,7/11/24
10,804541,G. Gill Hill,Gary Gill Hill,Gill Hill,Gary,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753705,2024-07-03 19:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,521,MB,MB,W 4-1,TB,CHC,19.8,21,1,3.0,39,11,15.4%,93.8,95.2,14.5,6.11,27.3%,0.0%,61.5%,56.4%,17.9%,63.6%,45.5%,0.00%,100.00%,35.9%,37.5%,46.2%,17.6%,62.5%,12.5%,.165,.194,1.20,.031,Pelicans,CHS vs. MB (2024-07-03)<br>W 4-1,7/3/24
