Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,783838,2025-09-02 18:30:00,WS - AFA,580,AFA,true,true,true,Winston-Salem,WS,WS,428,GVL,GVL,W 1-0,CWS,BOS,22,1,5.0,61,17,26.2%,92.0,92.3,14.7,6.31,23.5%,11.8%,67.2%,54.1%,16.4%,82.4%,64.7%,50.00%,44.44%,29.5%,25.8%,21.7%,28.6%,74.2%,18.2%,.239,.133,1.41,.023,Drive,WS vs. GVL (2025-09-02)<br>W 1-0,9/2/25
2,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,783967,2025-08-27 19:00:00,WS - AFA,580,AFA,false,true,true,Winston-Salem,WS,WS,432,ROM,ROM,W 3-0,CWS,ATL,22,1,5.1,81,21,9.9%,91.2,91.6,14.0,6.60,28.6%,0.0%,77.8%,63.0%,14.8%,81.0%,76.2%,18.75%,40.00%,33.3%,21.7%,11.8%,40.0%,78.3%,6.7%,.272,.228,1.04,.013,Emperors,WS vs. ROM (2025-08-27)<br>W 3-0,8/27/25
3,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,783841,2025-08-21 18:30:00,WS - AFA,580,AFA,true,true,true,Winston-Salem,WS,WS,426,WIL,WIL,W 5-3,CWS,WSH,22,1,5.0,84,21,3.6%,90.9,90.8,11.9,6.09,4.8%,4.8%,66.7%,48.8%,20.2%,71.4%,63.6%,5.56%,10.00%,21.4%,20.8%,12.1%,34.9%,79.2%,15.8%,.277,.261,1.04,.012,Blue Rocks,WS vs. WIL (2025-08-21)<br>W 5-3,8/21/25
4,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,783846,2025-08-15 18:30:00,WS - AFA,580,AFA,true,true,true,Winston-Salem,WS,WS,573,ASH,ASH,W 11-6,CWS,HOU,22,1,4.0,79,21,1.3%,90.1,89.5,8.4,6.05,9.5%,4.8%,64.6%,49.4%,10.1%,47.6%,52.4%,0.00%,14.29%,27.8%,12.1%,8.3%,22.5%,87.9%,11.1%,.318,.369,-0.02,-.000,Tourists,WS vs. ASH (2025-08-15)<br>W 11-6,8/15/25
5,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,784438,2025-08-09 19:35:00,WS - AFA,580,AFA,false,false,true,Winston-Salem,WS,WS,2498,BG,BG,L 1-7,CWS,TB,22,1,1.0,36,10,2.8%,94.0,91.0,9.6,6.68,30.0%,0.0%,66.7%,52.8%,22.2%,30.0%,60.0%,25.00%,50.00%,41.7%,47.1%,30.0%,41.2%,52.9%,0.0%,.420,.601,-0.57,-.016,Hot Rods,WS vs. BG (2025-08-09)<br>L 1-7,8/9/25
6,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Winston-Salem Dash,WS,580,Winston-Salem,AFA,CWS,2025,783852,2025-08-02 20:28:00 (2),WS - AFA,580,AFA,true,false,true,Winston-Salem,WS,WS,428,GVL,GVL,L 2-3 (7),CWS,BOS,22,1,4.1,65,18,0.0%,-,89.8,7.9,6.15,22.2%,5.6%,66.2%,61.5%,15.4%,55.6%,72.2%,12.50%,50.00%,27.7%,13.8%,8.0%,16.0%,86.2%,16.7%,.278,.247,0.28,.004,Drive,WS vs. GVL (2025-08-02)<br>L 2-3,8/2/25
7,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Hudson Valley Renegades,HV,537,Hudson Valley,AFA,NYY,2025,784115,2025-07-26 17:05:00,HV - AFA,537,AFA,true,true,true,Hudson Valley,HV,HV,432,ROM,ROM,W 5-1,NYY,ATL,22,1,4.0,44,14,0.0%,-,89.3,7.4,6.72,21.4%,0.0%,77.3%,70.5%,13.6%,71.4%,80.0%,40.00%,42.86%,34.1%,29.6%,25.0%,23.1%,70.4%,0.0%,.204,.189,1.29,.029,Emperors,HV vs. ROM (2025-07-26)<br>W 5-1,7/26/25
8,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785439,2025-07-13 12:00:00,TAM - AFX,587,AFX,true,false,true,Tampa,TAM,TAM,570,LAK,LAK,L 2-3,NYY,DET,22,1,6.0,87,26,-,-,-,-,-,23.1%,11.5%,59.8%,-,-,46.2%,61.5%,27.27%,83.33%,26.4%,23.7%,-,-,76.3%,11.8%,.297,.297,1.30,.015,Flying Tigers,TAM vs. LAK (2025-07-13)<br>L 2-3,7/13/25
9,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785440,2025-07-08 18:30:00,TAM - AFX,587,AFX,true,false,true,Tampa,TAM,TAM,570,LAK,LAK,L 5-10,NYY,DET,22,1,5.0,89,27,-,-,-,-,-,14.8%,3.7%,61.8%,-,-,48.1%,53.6%,0.00%,50.00%,22.5%,18.6%,-,-,81.4%,23.8%,.533,.533,-3.85,-.043,Flying Tigers,TAM vs. LAK (2025-07-08)<br>L 5-10,7/8/25
10,695721,G. Ziehl,Gage Ziehl,Ziehl,Gage,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Tampa Tarpons,TAM,587,Tampa,AFX,NYY,2025,785976,2025-07-01 18:30:00,TAM - AFX,587,AFX,false,true,true,Tampa,TAM,TAM,566,CLR,CLR,W 8-3,NYY,PHI,22,1,6.0,81,24,0.0%,-,90.8,8.7,6.42,33.3%,0.0%,70.4%,58.0%,13.6%,62.5%,75.0%,54.55%,54.55%,32.1%,26.2%,21.2%,26.5%,73.8%,6.3%,.200,.221,1.51,.019,Threshers,TAM vs. CLR (2025-07-01)<br>W 8-3,7/1/25
