Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781830,2025-09-14 19:00:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,260,TUL,TUL,W 7-1,SEA,LAD,22.1,22,1,4.0,63,18,57.1%,97.2,98.2,17.7,6.16,16.7%,11.1%,65.1%,50.8%,14.3%,61.1%,61.1%,18.18%,50.00%,20.6%,15.2%,8.0%,25.8%,84.8%,15.4%,.272,.224,0.69,.011,Drillers,ARK vs. TUL (2025-09-14)<br>W 7-1,9/14/25
2,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781835,2025-09-09 20:00:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,260,TUL,TUL,L 3-4 (13),SEA,LAD,22.1,22,1,6.0,83,24,61.4%,96.8,98.1,19.3,6.12,29.2%,8.3%,63.9%,51.8%,12.0%,75.0%,58.3%,50.00%,63.64%,34.9%,25.0%,22.2%,12.5%,75.0%,0.0%,.190,.213,1.70,.020,Drillers,ARK vs. TUL (2025-09-09)<br>L 3-4,9/9/25
3,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782318,2025-09-03 19:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,5368,AMA,AMA,W 4-1,SEA,AZ,22.1,22,1,6.0,99,26,50.5%,96.1,96.9,17.8,6.21,26.9%,15.4%,64.6%,61.6%,10.1%,69.2%,53.8%,28.57%,70.00%,30.3%,24.4%,22.2%,23.7%,75.6%,0.0%,.225,.290,2.82,.028,Sod Poodles,ARK vs. AMA (2025-09-03)<br>W 4-1,9/3/25
4,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781772,2025-08-28 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,3898,WCH,WCH,L 4-7,SEA,MIN,22.1,22,1,5.0,78,21,57.7%,97.1,98.2,18.7,6.23,14.3%,9.5%,64.1%,55.1%,14.1%,61.9%,65.0%,8.33%,22.22%,30.8%,25.7%,21.4%,20.0%,74.3%,36.4%,.369,.316,-0.04,-.000,Wind Surge,ARK vs. WCH (2025-08-28)<br>L 4-7,8/28/25
5,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782320,2025-08-22 20:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,440,SPR,SPR,W 5-3,SEA,STL,22.1,22,1,4.2,79,18,58.2%,95.3,96.4,17.6,6.36,50.0%,0.0%,74.7%,53.2%,20.3%,61.1%,77.8%,27.78%,81.82%,39.2%,33.3%,25.0%,37.8%,66.7%,22.2%,.180,.315,1.50,.019,Cardinals,ARK vs. SPR (2025-08-22)<br>W 5-3,8/22/25
6,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782049,2025-08-16 19:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 14-9,SEA,KC,22.1,22,1,3.0,78,17,44.9%,95.2,96.7,17.0,6.39,23.5%,23.5%,52.6%,51.3%,15.4%,35.3%,58.8%,16.67%,50.00%,23.1%,20.7%,25.0%,13.2%,79.3%,12.5%,.322,.330,-0.02,-.000,Naturals,ARK vs. NWA (2025-08-16)<br>W 14-9,8/16/25
7,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782325,2025-08-09 19:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,540,FRI,FRI,W 6-5 (11),SEA,TEX,22.1,22,1,5.0,81,21,39.5%,96.0,97.5,17.4,6.32,19.0%,9.5%,64.2%,53.1%,16.0%,57.1%,71.4%,33.33%,44.44%,22.2%,17.1%,15.2%,21.1%,82.9%,13.3%,.298,.293,0.41,.005,RoughRiders,ARK vs. FRI (2025-08-09)<br>W 6-5,8/9/25
8,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Everett AquaSox,EVE,403,Everett,AFA,SEA,2025,789122,2025-08-02 20:05:00,EVE - AFA,403,AFA,false,false,true,Everett,EVE,EVE,461,EUG,EUG,L 2-4,SEA,SF,22.1,22,1,5.2,87,23,52.9%,96.6,97.9,18.1,6.33,43.5%,4.3%,69.0%,57.5%,6.9%,65.2%,69.6%,22.22%,76.92%,35.6%,37.0%,32.4%,24.3%,63.0%,10.0%,.265,.265,0.74,.009,Emeralds,EVE vs. EUG (2025-08-02)<br>L 2-4,8/2/25
9,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Everett AquaSox,EVE,403,Everett,AFA,SEA,2025,789057,2025-07-26 22:05:00,EVE - AFA,403,AFA,true,true,true,Everett,EVE,EVE,486,SPO,SPO,W 3-2,SEA,COL,22.1,22,1,7.0,71,24,50.7%,95.6,96.6,20.7,5.80,12.5%,0.0%,64.8%,59.2%,14.1%,62.5%,70.8%,25.00%,33.33%,15.5%,14.6%,12.5%,31.0%,85.4%,14.3%,.246,.297,1.09,.015,Indians,EVE vs. SPO (2025-07-26)<br>W 3-2,7/26/25
10,701388,J. Cijntje,Jurrangelo Cijntje,Cijntje,Jurrangelo,P,Springfield Cardinals,SPR,440,Springfield,aax,STL,Everett AquaSox,EVE,403,Everett,AFA,SEA,2025,789062,2025-07-19 22:05:00,EVE - AFA,403,AFA,true,false,true,Everett,EVE,EVE,419,HIL,HIL,L 0-3,SEA,AZ,22.1,22,1,5.2,82,21,53.7%,96.0,97.1,21.8,6.03,33.3%,0.0%,69.5%,54.9%,12.2%,76.2%,85.7%,25.00%,58.33%,23.2%,22.4%,19.4%,35.1%,77.6%,7.7%,.155,.216,2.35,.029,Hops,EVE vs. HIL (2025-07-19)<br>L 0-3,7/19/25
