Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2022,671569,2022-09-10 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,456,GL,GL,W 5-4 (10),DET,LAD,19.9,23,1,1,5.0,73,20,62.0%,95.5,96.4,19.3,6.50,20.0%,5.0%,58.9%,40.8%,15.5%,65.0%,45.0%,40.00%,33.33%,26.0%,35.1%,18.2%,31.0%,64.9%,25.0%,.272,.218,0.83,.011,Loons,WM vs. GL (2022-09-10)<br>W 5-4,9/10/22
2,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2022,672485,2022-09-03 18:35:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,584,FW,FW,W 10-3,DET,SD,19.9,23,1,1,5.2,79,24,60.3%,96.0,96.8,19.4,6.60,12.5%,12.5%,65.8%,56.4%,14.1%,75.0%,70.8%,25.00%,37.50%,30.4%,20.0%,11.1%,20.6%,80.0%,11.1%,.263,.233,1.86,.024,TinCaps,WM vs. FW (2022-09-03)<br>W 10-3,9/3/22
3,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2022,671625,2022-08-27 18:35:00,WM - AFA,582,AFA,true,true,true,West Michigan,WM,WM,550,SB,SB,W 3-1,DET,CHC,19.9,23,1,1,5.0,67,19,59.7%,95.5,96.5,18.5,6.43,15.8%,5.3%,67.2%,50.7%,11.9%,63.2%,57.9%,14.29%,33.33%,23.9%,29.3%,26.7%,33.3%,70.7%,21.4%,.355,.305,0.11,.002,Cubs,WM vs. SB (2022-08-27)<br>W 3-1,8/27/22
4,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670198,2022-08-17 18:30:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,507,SLU,SLU,W 4-3,DET,NYM,19.9,23,1,1,1.2,48,10,64.6%,95.3,95.8,17.5,6.53,30.0%,30.0%,52.1%,37.5%,18.8%,70.0%,50.0%,20.00%,50.00%,39.6%,62.5%,80.0%,20.0%,37.5%,0.0%,.247,.295,1.90,.040,Mets,LAK vs. SLU (2022-08-17)<br>W 4-3,8/17/22
5,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670449,2022-08-10 19:05:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,450,DBT,DBT,L 1-7,DET,CIN,19.9,23,1,1,6.0,77,22,55.8%,95.2,96.2,18.5,6.01,27.3%,4.5%,72.7%,61.0%,14.3%,68.2%,68.2%,36.36%,45.45%,32.5%,27.9%,16.1%,40.0%,72.1%,26.7%,.361,.357,-0.23,-.003,Tortugas,LAK vs. DBT (2022-08-10)<br>L 1-7,8/10/22
6,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670204,2022-08-03 13:05:00 (1),LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,424,DUN,DUN,L 1-3 (7),DET,TOR,19.9,23,1,1,5.0,68,18,57.4%,95.7,96.7,18.2,6.41,33.3%,0.0%,70.6%,57.4%,8.8%,66.7%,50.0%,36.36%,50.00%,17.6%,14.3%,12.1%,31.0%,85.7%,16.7%,.333,.213,-0.10,-.001,Blue Jays,LAK vs. DUN (2022-08-03)<br>L 1-3,8/3/22
7,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670830,2022-07-27 12:00:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 5-13,DET,PIT,19.9,23,1,1,3.1,69,17,50.7%,94.4,95.4,18.9,6.40,41.2%,11.8%,65.2%,44.9%,21.7%,47.1%,70.6%,28.57%,85.71%,34.8%,30.0%,25.0%,36.8%,70.0%,37.5%,.233,.411,1.50,.022,Marauders,LAK vs. BRD (2022-07-27)<br>L 5-13,7/27/22
8,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,669212,2022-07-17 10:00:00 (1),LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,279,PMB,PMB,W 8-7 (7),DET,STL,19.9,23,1,1,5.0,75,21,58.7%,94.4,95.2,20.2,6.23,28.6%,4.8%,65.3%,48.0%,20.0%,52.4%,57.1%,25.00%,55.56%,33.3%,31.4%,13.6%,33.3%,68.6%,14.3%,.297,.342,0.09,.001,Cardinals,LAK vs. PMB (2022-07-17)<br>W 8-7,7/17/22
9,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670217,2022-07-09 18:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 6-7 (10),DET,PIT,19.9,23,1,1,4.1,77,22,50.6%,93.8,95.8,19.2,6.05,18.2%,9.1%,55.8%,42.9%,27.3%,54.5%,45.5%,36.36%,75.00%,22.1%,18.8%,8.7%,20.5%,81.3%,43.8%,.434,.559,-3.06,-.040,Marauders,LAK vs. BRD (2022-07-09)<br>L 6-7,7/9/22
10,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2022,670538,2022-07-02 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 7-6,DET,PHI,19.9,23,1,1,5.0,74,18,52.7%,93.7,94.3,20.2,6.27,16.7%,0.0%,70.3%,48.6%,18.9%,72.2%,61.1%,7.69%,28.57%,24.3%,15.0%,14.8%,34.2%,85.0%,13.3%,.238,.213,0.82,.011,Threshers,LAK vs. CLR (2022-07-02)<br>W 7-6,7/2/22
