Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Bowling Green Hot Rods,BG,2498,Bowling Green,AFA,TB,2025,784425,2025-09-07 14:05:00,BG - AFA,2498,AFA,true,true,true,Bowling Green,BG,BG,573,ASH,ASH,W 6-2,TB,HOU,19.7,20,1,1,4.0,55,16,36.4%,95.5,96.3,17.1,6.52,31.3%,0.0%,61.8%,50.9%,20.0%,43.8%,50.0%,50.00%,62.50%,30.9%,34.6%,25.0%,22.2%,65.4%,36.4%,.218,.390,0.46,.008,Tourists,BG vs. ASH (2025-09-07)<br>W 6-2,9/7/25
2,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786674,2025-08-30 18:05:00,CHS - AFX,233,AFX,true,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 8-9,TB,ATL,19.7,20,1,1,2.1,51,12,49.0%,96.8,98.0,18.3,6.35,50.0%,8.3%,64.7%,49.0%,13.7%,58.3%,66.7%,75.00%,66.67%,41.2%,47.8%,43.8%,26.9%,52.2%,50.0%,.448,.466,-1.38,-.027,GreenJackets,CHS vs. AUG (2025-08-30)<br>L 8-9,8/30/25
3,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786173,2025-08-23 19:10:00 (2),CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,521,MB,MB,L 1-8 (7),TB,CHC,19.7,20,1,1,2.0,39,8,38.5%,97.3,98.5,17.8,6.35,50.0%,12.5%,66.7%,59.0%,10.3%,75.0%,62.5%,40.00%,60.00%,30.8%,30.0%,20.0%,31.3%,70.0%,0.0%,.220,.196,0.77,.020,Pelicans,CHS vs. MB (2025-08-23)<br>L 1-8,8/23/25
4,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786815,2025-08-06 19:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 2-14,TB,ATL,19.7,20,1,1,4.1,77,23,32.5%,95.5,96.1,18.3,6.32,8.7%,4.3%,66.2%,53.2%,10.4%,47.8%,65.2%,0.00%,28.57%,22.1%,20.9%,14.7%,25.0%,79.1%,10.5%,.336,.365,0.11,.001,GreenJackets,CHS vs. AUG (2025-08-06)<br>L 2-14,8/6/25
5,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786682,2025-07-30 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,521,MB,MB,W 4-3,TB,CHC,19.7,20,1,1,6.0,77,23,42.9%,96.4,97.8,17.5,6.43,17.4%,4.3%,68.8%,64.9%,13.0%,69.6%,69.6%,13.33%,42.86%,18.2%,15.2%,10.5%,29.6%,84.8%,22.2%,.129,.238,3.75,.049,Pelicans,CHS vs. MB (2025-07-30)<br>W 4-3,7/30/25
6,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786107,2025-07-24 18:35:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,414,SAL,SAL,W 8-2,TB,BOS,19.7,20,1,1,4.2,90,22,34.4%,95.7,98.2,17.3,6.56,22.7%,18.2%,58.9%,45.6%,17.8%,68.2%,59.1%,10.53%,50.00%,24.4%,26.2%,25.8%,22.4%,73.8%,30.8%,.370,.415,-0.37,-.004,Red Sox,CHS vs. SAL (2025-07-24)<br>W 8-2,7/24/25
7,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786691,2025-07-13 14:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3705,COL,COL,W 3-0,TB,KC,19.7,20,1,1,7.0,78,24,38.5%,96.3,97.3,16.9,6.43,12.5%,4.2%,73.1%,67.9%,7.7%,83.3%,75.0%,8.33%,28.57%,25.6%,15.9%,13.2%,24.0%,84.1%,20.0%,.265,.154,1.69,.022,Fireflies,CHS vs. COL (2025-07-13)<br>W 3-0,7/13/25
8,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786172,2025-07-06 18:35:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,521,MB,MB,W 7-1,TB,CHC,19.7,20,1,1,6.0,95,21,6.3%,94.5,98.1,17.0,6.47,28.6%,4.8%,61.1%,52.6%,12.6%,61.9%,35.0%,25.00%,55.56%,26.3%,17.5%,3.1%,17.8%,82.5%,0.0%,.164,.117,1.84,.019,Pelicans,CHS vs. MB (2025-07-06)<br>W 7-1,7/6/25
9,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786701,2025-06-28 18:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,481,HC,HC,W 7-3,TB,CLE,19.7,20,1,1,6.0,83,23,33.7%,96.0,97.6,17.3,6.53,26.1%,4.3%,65.1%,50.6%,12.0%,73.9%,65.2%,33.33%,62.50%,28.9%,23.1%,11.1%,29.3%,76.9%,6.3%,.314,.222,-0.45,-.005,Hillcats,CHS vs. HC (2025-06-28)<br>W 7-3,6/28/25
10,808250,J. Urbina,Jose Urbina,Urbina,Jose,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2025,786308,2025-06-21 19:00:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 6-4 (10),TB,CWS,19.7,20,1,1,6.0,78,21,52.6%,97.5,98.7,17.1,5.62,33.3%,14.3%,62.8%,51.3%,17.9%,57.1%,52.4%,27.27%,100.00%,33.3%,37.8%,32.0%,31.6%,62.2%,18.2%,.335,.284,0.24,.003,Cannon Ballers,CHS vs. KAN (2025-06-21)<br>W 6-4,6/21/25
