Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750750,2024-09-12 18:00:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,546,POR,POR,W 9-0,NYM,BOS,22.9,24,1,6.0,80,22,7.5%,92.8,94.3,16.9,6.21,27.3%,9.1%,62.5%,42.5%,16.3%,68.2%,50.0%,45.45%,60.00%,25.0%,25.0%,11.1%,28.3%,75.0%,0.0%,.181,.143,2.14,.027,Sea Dogs,BNG vs. POR (2024-09-12)<br>W 9-0,9/12/24
2,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751163,2024-09-06 19:05:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,1956,SOM,SOM,L 3-9 (10),NYM,NYY,22.9,24,1,5.0,92,21,5.4%,94.3,95.1,15.7,6.10,23.8%,14.3%,58.7%,50.0%,16.3%,81.0%,61.9%,15.79%,50.00%,27.2%,27.5%,27.6%,23.9%,72.5%,0.0%,.241,.182,1.75,.019,Patriots,BNG vs. SOM (2024-09-06)<br>L 3-9,9/6/24
3,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750891,2024-08-31 18:10:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,538,HFD,HFD,L 6-7 (10),NYM,COL,22.9,24,1,3.2,77,21,28.0%,95.0,95.8,17.1,5.40,9.5%,19.0%,58.4%,49.4%,20.8%,66.7%,66.7%,15.38%,28.57%,20.8%,9.4%,4.0%,17.9%,90.6%,14.3%,.435,.453,-1.35,-.018,Yard Goats,BNG vs. HFD (2024-08-31)<br>L 6-7,8/31/24
4,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751167,2024-08-25 17:05:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,522,REA,REA,W 2-1 (10),NYM,PHI,22.9,24,1,4.2,63,15,6.3%,94.8,95.0,14.8,6.18,46.7%,6.7%,63.5%,54.0%,20.6%,53.3%,53.3%,44.44%,71.43%,28.6%,29.0%,25.0%,24.1%,71.0%,0.0%,.105,.105,1.90,.030,Fightin Phils,BNG vs. REA (2024-08-25)<br>W 2-1,8/25/24
5,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751172,2024-08-20 18:35:00,BNG - AAX,505,AAX,true,true,true,Binghamton,BNG,BNG,522,REA,REA,W 4-2,NYM,PHI,22.9,24,1,6.0,75,21,24.3%,93.9,94.7,16.1,6.13,23.8%,0.0%,70.7%,60.0%,12.0%,76.2%,76.2%,27.78%,66.67%,33.3%,20.0%,17.9%,23.3%,80.0%,13.3%,.176,.236,2.17,.029,Fightin Phils,BNG vs. REA (2024-08-20)<br>W 4-2,8/20/24
6,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751174,2024-08-14 18:35:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,546,POR,POR,L 4-6 (11),NYM,BOS,22.9,24,1,5.1,81,19,8.6%,94.4,95.4,15.6,6.11,15.8%,10.5%,65.4%,51.9%,13.6%,84.2%,78.9%,5.26%,37.50%,30.9%,22.2%,12.0%,28.2%,77.8%,0.0%,.213,.203,2.40,.030,Sea Dogs,BNG vs. POR (2024-08-14)<br>L 4-6,8/14/24
7,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750557,2024-08-07 19:05:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,1956,SOM,SOM,L 0-5,NYM,NYY,22.9,24,1,3.1,69,18,29.0%,94.1,94.6,16.1,6.10,22.2%,16.7%,63.8%,49.3%,8.7%,55.6%,55.6%,9.09%,37.50%,33.3%,32.3%,19.0%,28.6%,67.7%,30.0%,.471,.574,-1.06,-.015,Patriots,BNG vs. SOM (2024-08-07)<br>L 0-5,8/7/24
8,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750629,2024-07-26 18:35:00,BNG - AAX,505,AAX,false,false,true,Binghamton,BNG,BNG,3410,RIC,RIC,L 2-5,NYM,SF,22.9,24,1,5.0,71,21,4.2%,95.3,95.3,13.9,6.09,14.3%,4.8%,67.6%,62.0%,9.9%,66.7%,57.1%,18.18%,50.00%,29.6%,15.6%,17.2%,11.1%,84.4%,11.8%,.317,.316,-0.26,-.004,Flying Squirrels,BNG vs. RIC (2024-07-26)<br>L 2-5,7/26/24
9,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,751183,2024-07-20 18:07:00,BNG - AAX,505,AAX,true,false,true,Binghamton,BNG,BNG,106,ERI,ERI,L 0-3,NYM,DET,22.9,24,1,4.0,67,17,9.0%,93.2,93.7,13.7,6.21,17.6%,17.6%,55.2%,38.8%,16.4%,64.7%,47.1%,28.57%,37.50%,28.4%,28.0%,22.2%,17.1%,72.0%,10.0%,.265,.216,0.62,.009,SeaWolves,BNG vs. ERI (2024-07-20)<br>L 0-3,7/20/24
10,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Binghamton Rumble Ponies,BNG,505,Binghamton,AAX,NYM,2024,750840,2024-07-12 18:35:00,BNG - AAX,505,AAX,false,true,true,Binghamton,BNG,BNG,463,NH,NH,W 6-4,NYM,TOR,22.9,24,1,4.0,88,21,10.2%,94.2,95.3,15.6,6.17,14.3%,14.3%,63.6%,62.5%,10.2%,61.9%,52.4%,7.14%,22.22%,26.1%,15.4%,6.1%,18.2%,84.6%,7.1%,.366,.402,0.29,.003,Fisher Cats,BNG vs. NH (2024-07-12)<br>W 6-4,7/12/24
