Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755797,2024-09-04 19:30:00,BEL - AFA,554,AFA,false,false,true,Beloit,BEL,BEL,565,QC,QC,L 1-5,MIA,KC,19.5,21,1,4.1,82,19,1.2%,92.6,92.6,15.3,6.87,36.8%,15.8%,53.7%,46.3%,29.3%,52.6%,68.4%,35.71%,66.67%,35.4%,48.3%,33.3%,25.0%,51.7%,14.3%,.259,.231,1.07,.013,River Bandits,BEL vs. QC (2024-09-04)<br>L 1-5,9/4/24
2,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756328,2024-08-28 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,443,PEO,PEO,L 3-7,MIA,STL,19.5,21,1,4.0,82,20,3.7%,92.8,93.2,15.2,6.71,20.0%,20.0%,56.1%,46.3%,25.6%,45.0%,60.0%,25.00%,50.00%,30.5%,38.2%,33.3%,22.7%,61.8%,9.1%,.367,.387,0.30,.004,Chiefs,BEL vs. PEO (2024-08-28)<br>L 3-7,8/28/24
3,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755740,2024-08-21 19:05:00,BEL - AFA,554,AFA,false,true,true,Beloit,BEL,BEL,550,SB,SB,W 6-2,MIA,CHC,19.5,21,1,5.0,79,17,1.3%,91.9,93.5,14.4,6.87,41.2%,11.8%,60.8%,35.4%,22.8%,64.7%,52.9%,26.67%,62.50%,30.4%,35.1%,31.6%,35.3%,64.9%,12.5%,.252,.133,0.74,.009,Cubs,BEL vs. SB (2024-08-21)<br>W 6-2,8/21/24
4,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756335,2024-08-14 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,565,QC,QC,L 3-4,MIA,KC,19.5,21,1,3.2,81,18,2.5%,91.8,94.2,15.2,6.97,11.1%,16.7%,65.4%,50.6%,13.6%,61.1%,77.8%,13.33%,11.11%,25.9%,25.6%,21.9%,27.5%,74.4%,7.7%,.425,.381,0.03,.000,River Bandits,BEL vs. QC (2024-08-14)<br>L 3-4,8/14/24
5,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,755678,2024-08-07 18:35:00,BEL - AFA,554,AFA,false,false,true,Beloit,BEL,BEL,582,WM,WM,L 0-7,MIA,DET,19.5,21,1,0.2,35,7,0.0%,-,94.8,17.2,6.93,0.0%,42.9%,42.9%,40.0%,40.0%,28.6%,28.6%,0.00%,0.00%,17.1%,10.0%,0.0%,4.8%,90.0%,25.0%,.593,.588,-1.18,-.034,Whitecaps,BEL vs. WM (2024-08-07)<br>L 0-7,8/7/24
6,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756012,2024-07-30 19:00:00,BEL - AFA,554,AFA,false,false,true,Beloit,BEL,BEL,437,LC,LC,L 5-17,MIA,CLE,19.5,21,1,2.0,63,14,15.9%,91.0,93.4,15.6,6.96,7.1%,28.6%,47.6%,38.1%,27.0%,21.4%,57.1%,14.29%,0.00%,25.4%,26.3%,23.1%,15.4%,73.7%,0.0%,.413,.616,-0.42,-.007,Captains,BEL vs. LC (2024-07-30)<br>L 5-17,7/30/24
7,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756341,2024-07-24 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,572,WIS,WIS,L 3-7,MIA,MIL,19.5,21,1,4.0,74,18,6.8%,92.9,93.7,16.0,6.90,16.7%,27.8%,58.1%,43.2%,18.9%,61.1%,66.7%,10.00%,60.00%,28.4%,15.4%,11.8%,21.4%,84.6%,0.0%,.282,.240,1.01,.014,Timber Rattlers,BEL vs. WIS (2024-07-24)<br>L 3-7,7/24/24
8,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756347,2024-07-03 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,572,WIS,WIS,L 0-2,MIA,MIL,19.5,21,1,4.1,71,18,14.1%,93.2,94.7,16.8,6.83,33.3%,16.7%,63.4%,40.8%,18.3%,66.7%,44.4%,25.00%,85.71%,32.4%,33.3%,27.3%,26.2%,66.7%,11.1%,.268,.278,0.88,.012,Timber Rattlers,BEL vs. WIS (2024-07-03)<br>L 0-2,7/3/24
9,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756284,2024-06-27 19:35:00,BEL - AFA,554,AFA,false,false,true,Beloit,BEL,BEL,492,CR,CR,L 1-4,MIA,MIN,19.5,21,1,2.2,57,11,33.3%,92.2,92.9,16.3,6.53,27.3%,18.2%,45.6%,36.8%,21.1%,54.5%,50.0%,22.22%,66.67%,24.6%,25.0%,10.0%,16.7%,75.0%,0.0%,.436,.377,-1.50,-.026,Kernels,BEL vs. CR (2024-06-27)<br>L 1-4,6/27/24
10,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756359,2024-06-08 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,437,LC,LC,L 3-5,MIA,CLE,19.5,21,1,4.1,83,18,18.1%,93.0,94.8,18.0,6.86,16.7%,16.7%,57.8%,56.6%,19.3%,66.7%,47.4%,16.67%,40.00%,25.3%,18.2%,17.2%,11.1%,81.8%,25.0%,.370,.347,-0.19,-.002,Captains,BEL vs. LC (2024-06-08)<br>L 3-5,6/8/24
11,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Beloit Sky Carp,BEL,554,Beloit,AFA,MIA,2024,756363,2024-06-01 19:35:00,BEL - AFA,554,AFA,true,false,true,Beloit,BEL,BEL,459,DAY,DAY,L 2-4,MIA,CIN,19.5,21,1,5.0,80,19,12.5%,94.0,95.7,17.2,6.90,31.6%,0.0%,61.3%,48.8%,17.5%,73.7%,57.9%,20.00%,57.14%,28.7%,35.0%,25.9%,31.7%,65.0%,18.2%,.183,.169,1.76,.022,Dragons,BEL vs. DAY (2024-06-01)<br>L 2-4,6/1/24
12,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760271,2024-05-25 18:00:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,587,TAM,TAM,L 1-6,MIA,NYY,19.5,21,1,5.0,85,19,0.0%,-,96.3,16.6,6.59,57.9%,15.8%,61.2%,45.9%,11.8%,57.9%,42.1%,40.00%,90.00%,43.5%,53.1%,44.4%,30.4%,46.9%,20.0%,.245,.217,0.69,.008,Tarpons,JUP vs. TAM (2024-05-25)<br>L 1-6,5/25/24
13,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760403,2024-05-18 18:30:00,JUP - AFX,479,AFX,false,false,true,Jupiter,JUP,JUP,424,DUN,DUN,L 2-4,MIA,TOR,19.5,21,1,5.0,79,20,0.0%,-,95.3,16.4,6.70,40.0%,20.0%,55.7%,31.6%,20.3%,65.0%,40.0%,40.00%,77.78%,30.4%,47.4%,38.1%,31.5%,52.6%,0.0%,.230,.237,1.59,.020,Blue Jays,JUP vs. DUN (2024-05-18)<br>L 2-4,5/18/24
14,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760276,2024-05-11 18:00:00,JUP - AFX,479,AFX,true,false,true,Jupiter,JUP,JUP,279,PMB,PMB,L 0-2,MIA,STL,19.5,21,1,5.0,62,18,0.0%,-,95.7,15.4,6.80,27.8%,5.6%,67.7%,41.9%,16.1%,83.3%,61.1%,18.18%,50.00%,29.0%,29.4%,15.0%,38.9%,70.6%,0.0%,.204,.136,1.41,.023,Cardinals,JUP vs. PMB (2024-05-11)<br>L 0-2,5/11/24
15,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760082,2024-05-04 18:10:00,JUP - AFX,479,AFX,false,true,true,Jupiter,JUP,JUP,507,SLU,SLU,W 4-0,MIA,NYM,19.5,21,1,5.0,85,17,0.0%,-,94.8,16.6,6.69,52.9%,11.8%,64.7%,42.4%,27.1%,76.5%,58.8%,28.57%,70.00%,37.6%,41.0%,33.3%,36.7%,59.0%,0.0%,.131,.133,2.42,.029,Mets,JUP vs. SLU (2024-05-04)<br>W 4-0,5/4/24
16,800611,N. Meyer,Noble Meyer,Meyer,Noble,P,,,,,,,Jupiter Hammerheads,JUP,479,Jupiter,AFX,MIA,2024,760286,2024-04-27 18:00:00,JUP - AFX,479,AFX,true,true,true,Jupiter,JUP,JUP,424,DUN,DUN,W 5-1,MIA,TOR,19.5,21,1,5.0,83,19,0.0%,-,94.8,15.2,6.78,10.5%,21.1%,55.4%,43.4%,24.1%,63.2%,57.9%,10.53%,40.00%,26.5%,27.3%,8.7%,21.3%,72.7%,15.4%,.281,.299,1.30,.016,Blue Jays,JUP vs. DUN (2024-04-27)<br>W 5-1,4/27/24
