Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784762,2025-09-03 19:05:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,550,SB,SB,L 3-5,MIL,CHC,22,1,3.0,56,13,35.7%,91.7,92.8,22.8,6.52,30.8%,23.1%,57.1%,42.9%,25.0%,61.5%,58.3%,20.00%,80.00%,32.1%,36.4%,28.6%,25.0%,63.6%,16.7%,.311,.227,0.24,.004,Cubs,WIS vs. SB (2025-09-03)<br>L 3-5,9/3/25
2,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784627,2025-08-28 19:40:00,WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,565,QC,QC,W 3-2,MIL,KC,22,1,7.0,83,22,32.5%,91.8,92.2,21.2,6.47,36.4%,4.5%,59.0%,45.8%,24.1%,68.2%,54.5%,28.57%,55.56%,33.7%,40.0%,20.0%,22.2%,60.0%,0.0%,.093,.031,2.82,.034,River Bandits,WIS vs. QC (2025-08-28)<br>W 3-2,8/28/25
3,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785358,2025-08-22 19:05:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,554,BEL,BEL,L 2-4,MIL,MIA,22,1,5.0,89,24,39.3%,91.9,92.7,21.6,6.48,20.8%,12.5%,52.8%,48.3%,16.9%,45.8%,50.0%,33.33%,100.00%,27.0%,34.3%,33.3%,17.4%,65.7%,6.3%,.339,.307,-0.35,-.004,Sky Carp,WIS vs. BEL (2025-08-22)<br>L 2-4,8/22/25
4,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784631,2025-08-16 19:40:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,456,GL,GL,L 0-7,MIL,LAD,22,1,5.1,88,20,36.4%,91.6,92.4,22.0,6.59,25.0%,15.0%,56.8%,46.6%,11.4%,65.0%,30.0%,44.44%,33.33%,28.4%,32.4%,24.0%,25.5%,67.6%,0.0%,.241,.183,1.59,.018,Loons,WIS vs. GL (2025-08-16)<br>L 0-7,8/16/25
5,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784896,2025-08-09 20:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,443,PEO,PEO,W 4-3,MIL,STL,22,1,5.0,87,21,48.3%,91.6,92.6,22.8,6.25,14.3%,23.8%,55.2%,47.1%,17.2%,61.9%,60.0%,11.11%,33.33%,18.4%,20.0%,16.1%,19.6%,80.0%,0.0%,.278,.206,1.66,.019,Chiefs,WIS vs. PEO (2025-08-09)<br>W 4-3,8/9/25
6,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784638,2025-08-03 14:10:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,437,LC,LC,L 1-2 (10),MIL,CLE,22,1,2.0,57,11,36.8%,92.0,92.5,21.8,6.61,36.4%,27.3%,50.9%,42.1%,28.1%,27.3%,54.5%,25.00%,60.00%,33.3%,37.5%,20.0%,18.2%,62.5%,0.0%,.316,.348,-0.02,-.000,Captains,WIS vs. LC (2025-08-03)<br>L 1-2,8/3/25
7,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784641,2025-07-29 19:40:00,WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,437,LC,LC,W 4-3,MIL,CLE,22,1,5.2,91,22,37.4%,93.0,93.8,21.2,6.63,22.7%,13.6%,57.1%,47.3%,13.2%,59.1%,54.5%,9.09%,28.57%,27.5%,20.6%,12.0%,18.8%,79.4%,28.6%,.309,.244,-0.20,-.002,Captains,WIS vs. LC (2025-07-29)<br>W 4-3,7/29/25
8,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784845,2025-07-23 19:30:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,565,QC,QC,W 4-3 (10),MIL,KC,22,1,4.0,76,19,38.2%,91.8,92.2,20.8,6.66,31.6%,15.8%,56.6%,51.3%,15.8%,42.1%,42.1%,28.57%,66.67%,31.6%,36.7%,43.5%,18.9%,63.3%,33.3%,.251,.306,1.29,.017,River Bandits,WIS vs. QC (2025-07-23)<br>W 4-3,7/23/25
9,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785304,2025-07-18 19:35:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,492,CR,CR,L 4-5 (10),MIL,MIN,22,1,2.0,44,10,47.7%,91.6,92.4,23.0,6.52,40.0%,10.0%,59.1%,45.5%,15.9%,60.0%,60.0%,28.57%,60.00%,34.1%,45.0%,28.6%,25.0%,55.0%,0.0%,.314,.405,0.02,.001,Kernels,WIS vs. CR (2025-07-18)<br>L 4-5,7/18/25
10,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784645,2025-07-09 13:10:00,WIS - AFA,572,AFA,true,false,true,Wisconsin,WIS,WIS,550,SB,SB,L 1-3,MIL,CHC,22,1,4.1,84,19,36.9%,92.7,93.2,22.0,6.67,36.8%,26.3%,54.8%,46.4%,14.3%,63.2%,47.4%,16.67%,66.67%,39.3%,56.7%,52.4%,20.0%,43.3%,0.0%,.228,.228,2.44,.029,Cubs,WIS vs. SB (2025-07-09)<br>L 1-3,7/9/25
11,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785379,2025-07-03 19:35:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,554,BEL,BEL,L 5-12,MIL,MIA,22,1,1.2,49,9,28.6%,91.6,91.9,22.5,6.61,11.1%,33.3%,53.1%,40.8%,20.4%,55.6%,33.3%,0.00%,33.33%,28.6%,29.4%,20.0%,24.1%,70.6%,0.0%,.321,.328,0.84,.017,Sky Carp,WIS vs. BEL (2025-07-03)<br>L 5-12,7/3/25
12,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784654,2025-06-27 19:40:00,WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,565,QC,QC,W 7-1,MIL,KC,22,1,5.1,87,22,42.5%,92.3,93.0,21.5,6.79,22.7%,18.2%,62.1%,48.3%,17.2%,68.2%,72.7%,23.53%,50.00%,31.0%,27.0%,20.8%,28.9%,73.0%,15.4%,.361,.303,-0.06,-.001,River Bandits,WIS vs. QC (2025-06-27)<br>W 7-1,6/27/25
13,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784723,2025-06-21 19:05:00,WIS - AFA,572,AFA,false,false,true,Wisconsin,WIS,WIS,582,WM,WM,L 1-4,MIL,DET,22,1,4.0,84,21,28.6%,92.2,93.1,20.6,6.38,14.3%,14.3%,57.1%,50.6%,19.3%,47.6%,66.7%,20.00%,42.86%,29.8%,30.3%,20.0%,19.5%,69.7%,0.0%,.321,.343,0.89,.011,Whitecaps,WIS vs. WM (2025-06-21)<br>L 1-4,6/21/25
14,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785118,2025-06-15 13:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,456,GL,GL,W 10-4,MIL,LAD,22,1,3.0,61,14,23.0%,92.5,92.8,21.4,6.71,14.3%,21.4%,50.8%,45.9%,11.5%,35.7%,57.1%,14.29%,50.00%,29.5%,35.0%,35.3%,9.1%,65.0%,33.3%,.353,.453,0.05,.001,Loons,WIS vs. GL (2025-06-15)<br>W 10-4,6/15/25
15,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,785123,2025-06-10 19:05:00,WIS - AFA,572,AFA,false,true,true,Wisconsin,WIS,WIS,456,GL,GL,W 10-3,MIL,LAD,22,1,4.0,84,19,45.2%,92.4,93.4,24.2,6.68,31.6%,31.6%,48.8%,39.3%,21.4%,57.9%,42.1%,41.67%,80.00%,33.3%,43.5%,43.8%,13.7%,56.5%,0.0%,.313,.310,0.08,.001,Loons,WIS vs. GL (2025-06-10)<br>W 10-3,6/10/25
16,804670,R. Birchard,Ryan Birchard,Birchard,Ryan,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,2025,784661,2025-06-04 13:10:00 (1),WIS - AFA,572,AFA,true,true,true,Wisconsin,WIS,WIS,492,CR,CR,W 8-2 (7),MIL,MIN,22,1,5.2,92,23,43.5%,93.0,94.2,22.5,6.67,43.5%,8.7%,63.0%,50.0%,19.6%,56.5%,54.5%,28.57%,72.73%,38.0%,46.5%,35.7%,32.6%,53.5%,18.2%,.342,.353,-0.32,-.004,Kernels,WIS vs. CR (2025-06-04)<br>W 8-2,6/4/25
