Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,775414,2024-09-12 19:00:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 7-4,TB,CWS,22.0,23,1,0.1,14,5,64.3%,96.1,96.8,16.0,5.90,20.0%,20.0%,42.9%,50.0%,14.3%,20.0%,20.0%,-,100.00%,21.4%,25.0%,33.3%,14.3%,75.0%,66.7%,.467,.741,-0.52,-.037,Cannon Ballers,CHS vs. KAN (2024-09-12)<br>W 7-4,9/12/24
2,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754147,2024-09-07 18:05:00,CHS - AFX,233,AFX,false,true,true,Charleston,CHS,CHS,3705,COL,COL,W 1-0 (10),TB,KC,22.0,23,1,4.0,56,13,33.9%,95.3,95.9,17.8,6.25,38.5%,7.7%,73.2%,50.0%,17.9%,76.9%,61.5%,35.71%,71.43%,32.1%,30.3%,26.1%,35.7%,69.7%,0.0%,.114,.121,2.35,.042,Fireflies,CHS vs. COL (2024-09-07)<br>W 1-0,9/7/24
3,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754210,2024-09-01 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 6-2,TB,HOU,22.0,23,1,3.0,49,9,49.0%,93.9,94.7,18.1,6.26,55.6%,11.1%,63.3%,46.9%,14.3%,88.9%,70.0%,30.77%,50.00%,38.8%,40.0%,30.8%,26.9%,60.0%,0.0%,.094,.077,1.46,.030,Woodpeckers,CHS vs. FAY (2024-09-01)<br>W 6-2,9/1/24
4,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754213,2024-08-27 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,3712,FAY,FAY,W 7-1,TB,HOU,22.0,23,1,2.0,36,9,27.8%,95.9,96.6,17.7,6.34,0.0%,11.1%,63.9%,55.6%,11.1%,66.7%,66.7%,0.00%,0.00%,27.8%,13.3%,7.7%,12.5%,86.7%,25.0%,.427,.314,-0.49,-.014,Woodpeckers,CHS vs. FAY (2024-08-27)<br>W 7-1,8/27/24
5,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754225,2024-08-11 17:05:00 (2),CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,478,AUG,AUG,W 2-0 (7),TB,ATL,22.0,23,1,5.0,56,18,33.3%,95.0,95.5,17.2,5.36,11.1%,0.0%,73.2%,62.7%,15.7%,88.9%,72.2%,25.00%,25.00%,23.2%,9.7%,4.8%,26.3%,90.3%,15.4%,.257,.147,0.96,.017,GreenJackets,CHS vs. AUG (2024-08-11)<br>W 2-0,8/11/24
6,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754291,2024-08-04 13:00:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,249,WIL,WIL,L 3-4 (8),TB,MIL,22.0,23,1,4.0,64,16,28.1%,95.7,96.6,17.6,6.30,25.0%,0.0%,65.6%,48.4%,3.1%,62.5%,50.0%,42.86%,42.86%,28.1%,29.4%,18.2%,36.4%,70.6%,16.7%,.316,.293,0.11,.002,Mudcats,CHS vs. WIL (2024-08-04)<br>L 3-4,8/4/24
7,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754229,2024-07-28 17:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,487,KAN,KAN,W 11-10,TB,CWS,22.0,23,1,3.0,45,10,46.7%,96.4,97.1,16.4,6.40,40.0%,20.0%,57.8%,53.3%,17.8%,40.0%,30.0%,40.00%,100.00%,33.3%,35.3%,18.2%,28.6%,64.7%,0.0%,.252,.226,0.74,.016,Cannon Ballers,CHS vs. KAN (2024-07-28)<br>W 11-10,7/28/24
8,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,753972,2024-07-21 17:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,3712,FAY,FAY,L 2-3,TB,HOU,22.0,23,1,2.0,26,9,15.4%,97.4,98.4,17.5,6.25,11.1%,0.0%,76.9%,65.4%,7.7%,44.4%,77.8%,0.00%,25.00%,30.8%,29.4%,14.3%,33.3%,70.6%,0.0%,.441,.433,-0.54,-.021,Woodpeckers,CHS vs. FAY (2024-07-21)<br>L 2-3,7/21/24
9,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754372,2024-06-29 18:05:00,CHS - AFX,233,AFX,false,false,true,Charleston,CHS,CHS,478,AUG,AUG,L 3-7,TB,ATL,22.0,23,1,2.0,45,10,26.7%,96.0,96.8,17.5,6.26,40.0%,10.0%,64.4%,51.1%,15.6%,70.0%,70.0%,22.22%,57.14%,37.8%,42.9%,40.0%,27.3%,57.1%,0.0%,.185,.371,1.16,.026,GreenJackets,CHS vs. AUG (2024-06-29)<br>L 3-7,6/29/24
10,694375,T. Nichols,TJ Nichols,Nichols,TJ,P,,,,,,,Charleston RiverDogs,CHS,233,Charleston,AFX,TB,2024,754253,2024-06-04 19:05:00,CHS - AFX,233,AFX,true,true,true,Charleston,CHS,CHS,249,WIL,WIL,W 3-1,TB,MIL,22.0,23,1,6.0,79,23,22.8%,95.9,96.6,16.9,6.35,21.7%,4.3%,72.2%,65.8%,12.7%,73.9%,73.9%,12.50%,50.00%,30.4%,15.4%,12.1%,22.2%,84.6%,5.9%,.288,.292,0.67,.008,Mudcats,CHS vs. WIL (2024-06-04)<br>W 3-1,6/4/24
