Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,CurrentAge,G,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788376,2025-09-06 20:00:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 9-10,SEA,SF,21,1,7.1,83,29,12.0%,86.7,87.5,16.7,6.49,13.8%,3.4%,71.1%,59.0%,8.4%,79.3%,62.1%,0.00%,44.44%,27.7%,20.0%,18.2%,35.3%,80.0%,9.1%,.279,.290,1.30,.016,Giants,MOD vs. SJ (2025-09-06)<br>L 9-10,9/6/25
2,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788509,2025-08-31 15:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,524,STK,STK,L 4-5,SEA,ATH,21,1,5.0,73,23,23.3%,87.3,88.0,16.3,5.87,21.7%,8.7%,68.5%,53.4%,6.8%,73.9%,78.3%,20.00%,57.14%,28.8%,12.1%,7.7%,20.6%,87.9%,43.8%,.390,.409,-1.42,-.019,Ports,MOD vs. STK (2025-08-31)<br>L 4-5,8/31/25
3,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788450,2025-08-24 20:00:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,526,RC,RC,W 9-6,SEA,LAD,21,1,5.2,86,25,31.4%,88.9,89.6,16.3,5.68,28.0%,4.0%,69.8%,66.3%,8.1%,64.0%,72.0%,55.56%,63.64%,36.0%,31.0%,29.7%,17.2%,69.0%,29.4%,.373,.439,-0.68,-.008,Quakes,MOD vs. RC (2025-08-24)<br>W 9-6,8/24/25
4,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788512,2025-08-17 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,401,IE,IE,W 5-4 (11),SEA,LAA,21,1,4.2,84,22,40.5%,88.9,89.8,19.1,5.87,13.6%,9.1%,65.5%,59.5%,10.7%,54.5%,54.5%,14.29%,42.86%,20.2%,15.6%,13.2%,20.6%,84.4%,6.7%,.322,.310,0.16,.002,66ers,MOD vs. IE (2025-08-17)<br>W 5-4,8/17/25
5,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788520,2025-08-12 21:40:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,401,IE,IE,L 9-12,SEA,LAA,21,1,5.0,75,27,21.3%,88.9,88.9,17.3,5.65,7.4%,3.7%,76.0%,62.7%,12.0%,51.9%,74.1%,12.50%,14.29%,24.0%,7.1%,5.7%,25.0%,92.9%,31.8%,.529,.528,-4.04,-.054,66ers,MOD vs. IE (2025-08-12)<br>L 9-12,8/12/25
6,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788328,2025-08-05 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,524,STK,STK,W 12-5,SEA,ATH,21,1,6.2,89,28,33.7%,88.5,89.0,15.9,6.10,14.3%,10.7%,58.4%,56.2%,12.4%,67.9%,57.1%,21.43%,60.00%,23.6%,26.2%,22.2%,15.4%,73.8%,14.3%,.313,.305,0.60,.007,Ports,MOD vs. STK (2025-08-05)<br>W 12-5,8/5/25
7,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788264,2025-07-29 21:30:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,516,VIS,VIS,W 7-4,SEA,AZ,21,1,4.0,82,20,36.6%,88.7,89.1,16.0,5.92,15.0%,10.0%,62.2%,56.1%,12.2%,55.0%,65.0%,13.33%,33.33%,30.5%,21.2%,21.4%,13.9%,78.8%,15.4%,.373,.474,-0.46,-.006,Rawhide,MOD vs. VIS (2025-07-29)<br>W 7-4,7/29/25
8,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788525,2025-07-22 21:40:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,259,FRE,FRE,L 8-9,SEA,COL,21,1,5.2,88,27,43.2%,88.8,89.6,19.4,5.82,18.5%,3.7%,70.5%,48.9%,13.6%,59.3%,74.1%,44.44%,30.00%,29.5%,25.0%,22.6%,37.8%,75.0%,14.3%,.325,.312,-0.16,-.002,Grizzlies,MOD vs. FRE (2025-07-22)<br>L 8-9,7/22/25
9,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788529,2025-07-11 21:40:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,524,STK,STK,W 6-3,SEA,ATH,21,1,6.0,76,21,51.3%,88.3,89.1,16.9,5.83,23.8%,0.0%,67.1%,51.3%,11.8%,81.0%,57.1%,27.27%,36.36%,27.6%,28.6%,23.3%,32.4%,71.4%,13.3%,.269,.126,0.68,.009,Ports,MOD vs. STK (2025-07-11)<br>W 6-3,7/11/25
10,703609,W. Ford,Walter Ford,Ford,Walter,P,Everett AquaSox,EVE,403,Everett,afa,SEA,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2025,788729,2025-07-04 22:05:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,259,FRE,FRE,L 2-3,SEA,COL,21,1,7.0,76,26,46.1%,89.6,90.7,17.4,5.52,15.4%,0.0%,69.7%,52.6%,18.4%,65.4%,76.9%,12.50%,50.00%,23.7%,18.6%,6.7%,36.1%,81.4%,15.0%,.224,.274,1.13,.015,Grizzlies,MOD vs. FRE (2025-07-04)<br>L 2-3,7/4/25
