Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2026,816676,2026-03-27 19:05:00,MEM - AAA,235,AAA,false,true,true,Memphis,MEM,MEM,431,GWN,GWN,W 3-0,STL,ATL,26.3,AAA,26,1,0,1.1,19,5,57.9%,96.0,96.8,14.7,6.13,20.0%,20.0%,52.6%,31.6%,10.5%,60.0%,60.0%,50.00%,-,21.1%,33.3%,40.0%,30.8%,66.7%,0.0%,.211,.139,0.41,.022,Stripers,MEM vs. GWN (2026-03-27)<br>W 3-0,3/27/26
2,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780950,2025-08-23 19:35:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,431,GWN,GWN,L 2-4,STL,ATL,25.3,AAA,26,1,0,1.0,16,5,56.3%,96.5,97.9,17.9,6.22,0.0%,0.0%,68.8%,50.0%,12.5%,80.0%,60.0%,0.00%,0.00%,25.0%,30.0%,42.9%,37.5%,70.0%,0.0%,.270,.176,0.38,.024,Stripers,MEM vs. GWN (2025-08-23)<br>L 2-4,8/23/25
3,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780952,2025-08-21 19:45:00,MEM - AAA,235,AAA,true,true,true,Memphis,MEM,MEM,431,GWN,GWN,W 6-1,STL,ATL,25.3,AAA,26,1,0,1.0,13,4,61.5%,95.3,95.8,16.7,6.20,0.0%,0.0%,61.5%,61.5%,0.0%,50.0%,50.0%,-,0.00%,23.1%,16.7%,0.0%,20.0%,83.3%,0.0%,.243,.441,0.25,.019,Stripers,MEM vs. GWN (2025-08-21)<br>W 6-1,8/21/25
4,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780951,2025-08-20 19:45:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,431,GWN,GWN,L 4-8,STL,ATL,25.3,AAA,26,1,0,1.0,10,3,40.0%,96.8,96.9,16.6,6.18,0.0%,0.0%,70.0%,70.0%,30.0%,66.7%,66.7%,-,-,10.0%,0.0%,0.0%,0.0%,100.0%,66.7%,.161,.000,0.37,.037,Stripers,MEM vs. GWN (2025-08-20)<br>L 4-8,8/20/25
5,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,781629,2025-08-17 17:05:00,MEM - AAA,235,AAA,false,true,true,Memphis,MEM,MEM,494,CLT,CLT,W 6-3,STL,CWS,25.3,AAA,26,1,0,1.0,20,5,65.0%,96.3,96.9,16.6,6.37,20.0%,0.0%,75.0%,55.0%,5.0%,40.0%,40.0%,0.00%,100.00%,25.0%,16.7%,12.5%,44.4%,83.3%,0.0%,.536,.586,-0.70,-.035,Knights,MEM vs. CLT (2025-08-17)<br>W 6-3,8/17/25
6,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,781626,2025-08-14 19:04:00,MEM - AAA,235,AAA,false,true,true,Memphis,MEM,MEM,494,CLT,CLT,W 5-4,STL,CWS,25.3,AAA,26,1,0,2.0,41,10,63.4%,95.5,96.8,17.6,6.27,40.0%,10.0%,65.9%,39.0%,19.5%,30.0%,50.0%,100.00%,57.14%,34.1%,35.0%,18.2%,36.0%,65.0%,0.0%,.243,.334,0.43,.010,Knights,MEM vs. CLT (2025-08-14)<br>W 5-4,8/14/25
7,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780954,2025-07-27 14:05:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,431,GWN,GWN,L 1-10,STL,ATL,25.3,AAA,26,1,0,1.1,21,10,38.1%,93.3,93.4,15.9,6.16,10.0%,0.0%,66.7%,52.4%,9.5%,40.0%,70.0%,100.00%,100.00%,28.6%,27.3%,11.1%,20.0%,72.7%,12.5%,.487,.587,-1.48,-.071,Stripers,MEM vs. GWN (2025-07-27)<br>L 1-10,7/27/25
8,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780963,2025-07-24 20:05:00,MEM - AAA,235,AAA,true,true,true,Memphis,MEM,MEM,431,GWN,GWN,W 5-0,STL,ATL,25.3,AAA,26,1,0,1.0,13,5,69.2%,95.6,96.6,16.1,6.17,20.0%,0.0%,84.6%,84.6%,0.0%,60.0%,80.0%,-,33.33%,23.1%,11.1%,11.1%,0.0%,88.9%,0.0%,.224,.353,0.40,.031,Stripers,MEM vs. GWN (2025-07-24)<br>W 5-0,7/24/25
9,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780969,2025-07-10 20:05:00,MEM - AAA,235,AAA,true,true,true,Memphis,MEM,MEM,494,CLT,CLT,W 8-1,STL,CWS,25.3,AAA,26,1,0,1.0,12,3,33.3%,95.9,96.3,16.1,6.12,0.0%,0.0%,66.7%,41.7%,25.0%,66.7%,66.7%,0.00%,0.00%,25.0%,16.7%,33.3%,42.9%,83.3%,0.0%,.065,.000,0.66,.055,Knights,MEM vs. CLT (2025-07-10)<br>W 8-1,7/10/25
10,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780966,2025-07-06 14:05:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,556,NAS,NAS,L 11-15,STL,MIL,25.3,AAA,26,1,0,1.1,22,6,45.5%,95.3,95.7,17.2,6.12,33.3%,0.0%,63.6%,50.0%,13.6%,66.7%,83.3%,50.00%,50.00%,31.8%,22.2%,16.7%,27.3%,77.8%,0.0%,.049,.356,0.83,.038,Sounds,MEM vs. NAS (2025-07-06)<br>L 11-15,7/6/25
