Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,2024,752195,2024-09-20 19:05:00,TOL - AAA,512,AAA,true,true,true,Toledo,TOL,TOL,445,COL,COL,W 10-4,DET,CLE,21.9,AAA,23,1,1,5.0,86,22,44.2%,96.5,97.6,17.9,6.06,18.2%,13.6%,66.3%,57.0%,11.6%,72.7%,68.2%,17.65%,33.33%,26.7%,19.0%,12.1%,24.3%,81.0%,26.7%,.238,.324,2.24,.026,Clippers,TOL vs. COL (2024-09-20)<br>W 10-4,9/20/24
2,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Toledo Mud Hens,TOL,512,Toledo,AAA,DET,2024,752570,2024-09-14 19:05:00,TOL - AAA,512,AAA,false,false,true,Toledo,TOL,TOL,541,OMA,OMA,L 5-6,DET,KC,21.9,AAA,23,1,1,4.0,83,21,36.1%,96.4,97.3,17.5,6.04,14.3%,9.5%,66.3%,48.2%,15.7%,52.4%,71.4%,13.33%,50.00%,26.5%,21.4%,15.4%,37.2%,78.6%,18.8%,.306,.510,1.05,.013,Storm Chasers,TOL vs. OMA (2024-09-14)<br>L 5-6,9/14/24
3,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,750680,2024-09-05 18:45:00,ERI - AAX,106,AAX,false,true,true,Erie,ERI,ERI,522,REA,REA,W 5-1,DET,PHI,21.9,AA,23,1,1,7.0,90,26,35.6%,95.9,97.2,20.2,6.04,30.8%,7.7%,75.6%,50.0%,13.3%,76.9%,88.5%,35.71%,53.33%,37.8%,32.0%,22.2%,51.1%,68.0%,18.8%,.179,.169,3.88,.043,Fightin Phils,ERI vs. REA (2024-09-05)<br>W 5-1,9/5/24
4,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751031,2024-08-30 18:05:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,3410,RIC,RIC,W 5-4,DET,SF,21.9,AA,23,1,1,1.2,47,9,31.9%,96.9,97.6,19.7,6.26,33.3%,11.1%,70.2%,44.7%,14.9%,77.8%,77.8%,15.00%,40.00%,29.8%,29.6%,20.0%,46.2%,70.4%,20.0%,.326,.412,0.45,.010,Flying Squirrels,ERI vs. RIC (2024-08-30)<br>W 5-4,8/30/24
5,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751100,2024-08-24 18:35:00,ERI - AAX,106,AAX,false,false,true,Erie,ERI,ERI,418,CHE,CHE,L 1-2,DET,BAL,21.9,AA,23,1,1,6.0,100,24,45.0%,96.1,97.0,20.9,6.02,20.8%,12.5%,63.0%,60.0%,7.0%,54.2%,70.8%,9.09%,41.67%,30.0%,25.0%,26.3%,15.0%,75.0%,6.7%,.232,.242,2.58,.026,Baysox,ERI vs. CHE (2024-08-24)<br>L 1-2,8/24/24
6,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751036,2024-08-18 13:35:00,ERI - AAX,106,AAX,true,false,true,Erie,ERI,ERI,402,AKR,AKR,L 5-6,DET,CLE,21.9,AA,23,1,1,5.1,100,23,38.0%,96.0,97.1,19.9,6.09,30.4%,17.4%,59.0%,50.0%,14.0%,69.6%,52.2%,20.00%,57.14%,30.0%,31.0%,21.2%,18.0%,69.0%,8.3%,.243,.286,1.58,.016,RubberDucks,ERI vs. AKR (2024-08-18)<br>L 5-6,8/18/24
7,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751040,2024-08-13 18:05:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,402,AKR,AKR,W 6-1,DET,CLE,21.9,AA,23,1,1,6.0,75,21,41.3%,95.8,96.6,19.7,6.10,9.5%,0.0%,69.3%,56.0%,17.3%,81.0%,66.7%,5.56%,25.00%,24.0%,15.0%,9.4%,24.2%,85.0%,36.8%,.294,.126,0.58,.008,RubberDucks,ERI vs. AKR (2024-08-13)<br>W 6-1,8/13/24
8,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,750834,2024-08-07 12:05:00,ERI - AAX,106,AAX,false,false,true,Erie,ERI,ERI,463,NH,NH,L 4-5,DET,TOR,21.9,AA,23,1,1,5.1,90,23,40.0%,96.0,96.5,20.3,5.92,13.0%,13.0%,58.9%,44.4%,15.6%,69.6%,56.5%,5.88%,42.86%,27.8%,22.2%,17.4%,26.0%,77.8%,0.0%,.253,.311,1.57,.017,Fisher Cats,ERI vs. NH (2024-08-07)<br>L 4-5,8/7/24
9,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,750768,2024-08-01 12:05:00,ERI - AAX,106,AAX,false,false,true,Erie,ERI,ERI,546,POR,POR,L 5-6 (10),DET,BOS,21.9,AA,23,1,1,4.0,91,21,30.8%,94.6,95.8,19.1,5.85,14.3%,19.0%,60.4%,48.4%,13.2%,66.7%,76.2%,7.14%,66.67%,26.4%,20.5%,24.1%,21.3%,79.5%,7.1%,.360,.377,0.18,.002,Sea Dogs,ERI vs. POR (2024-08-01)<br>L 5-6,8/1/24
10,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751046,2024-07-26 18:35:00,ERI - AAX,106,AAX,true,false,true,Erie,ERI,ERI,452,ALT,ALT,L 1-3,DET,PIT,21.9,AA,23,1,1,5.2,102,27,35.3%,97.1,98.2,18.8,6.08,18.5%,18.5%,63.7%,52.0%,17.6%,77.8%,63.0%,12.00%,50.00%,26.5%,24.0%,12.1%,34.7%,76.0%,11.8%,.328,.334,1.25,.012,Curve,ERI vs. ALT (2024-07-26)<br>L 1-3,7/26/24
11,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751183,2024-07-20 18:07:00,ERI - AAX,106,AAX,false,true,true,Erie,ERI,ERI,505,BNG,BNG,W 3-0,DET,NYM,21.9,AA,23,1,1,6.0,70,19,42.9%,96.6,97.5,18.3,5.97,26.3%,10.5%,70.0%,57.1%,14.3%,89.5%,84.2%,21.43%,50.00%,32.9%,27.8%,25.9%,30.0%,72.2%,16.7%,.191,.073,2.48,.035,Rumble Ponies,ERI vs. BNG (2024-07-20)<br>W 3-0,7/20/24
12,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751051,2024-07-11 18:05:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,1956,SOM,SOM,W 6-0,DET,NYY,21.9,AA,23,1,1,5.0,82,18,42.7%,97.4,98.1,19.2,6.06,44.4%,16.7%,64.6%,52.4%,8.5%,72.2%,68.4%,29.41%,72.73%,41.5%,40.6%,36.4%,25.6%,59.4%,33.3%,.272,.274,1.11,.014,Patriots,ERI vs. SOM (2024-07-11)<br>W 6-0,7/11/24
13,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,Erie SeaWolves,ERI,106,Erie,AAX,DET,2024,751053,2024-07-05 18:35:00,ERI - AAX,106,AAX,true,true,true,Erie,ERI,ERI,402,AKR,AKR,W 6-1,DET,CLE,21.9,AA,23,1,1,5.0,79,20,40.5%,96.8,97.4,18.9,6.11,40.0%,5.0%,65.8%,58.2%,13.9%,70.0%,65.0%,46.67%,75.00%,35.4%,27.3%,24.0%,24.2%,72.7%,9.1%,.162,.167,1.60,.020,RubberDucks,ERI vs. AKR (2024-07-05)<br>W 6-1,7/5/24
14,695549,J. Jobe,Jackson Jobe,Jobe,Jackson,P,Detroit Tigers,DET,116,Detroit,mlb,DET,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2024,755951,2024-06-29 19:05:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,499,LAN,LAN,W 10-3,DET,ATH,21.9,A+,23,1,1,4.0,60,15,41.7%,97.3,98.1,18.6,5.29,20.0%,6.7%,68.3%,53.3%,13.3%,73.3%,60.0%,16.67%,33.33%,26.7%,26.5%,12.5%,35.7%,73.5%,40.0%,.333,.211,0.44,.007,Lugnuts,WM vs. LAN (2024-06-29)<br>W 10-3,6/29/24
