Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2026,817596,2026-04-21 12:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,482,CC,CC,W 3-2,SEA,HOU,23.9,AA,23,1,1,3.1,67,16,19.4%,89.6,88.8,16.0,6.44,31.3%,25.0%,55.2%,53.7%,19.4%,56.3%,56.3%,100.00%,83.33%,28.4%,33.3%,26.1%,12.9%,66.7%,28.6%,.373,.301,-0.40,-.006,Hooks,ARK vs. CC (2026-04-21)<br>W 3-2,4/21/26
2,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2026,817108,2026-04-14 13:00:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,260,TUL,TUL,L 3-4,SEA,LAD,23.9,AA,23,1,1,4.0,63,17,30.2%,90.8,91.3,16.6,6.02,23.5%,23.5%,54.0%,47.6%,14.3%,52.9%,47.1%,40.00%,66.67%,27.0%,34.6%,21.1%,21.2%,65.4%,11.1%,.330,.320,0.58,.009,Drillers,ARK vs. TUL (2026-04-14)<br>L 3-4,4/14/26
3,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2026,817594,2026-04-07 19:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,3898,WCH,WCH,W 4-2,SEA,MIN,23.9,AA,23,1,1,4.0,59,18,23.7%,91.4,91.4,15.3,6.52,11.1%,0.0%,71.2%,55.9%,18.6%,77.8%,77.8%,14.29%,22.22%,28.8%,30.6%,29.6%,34.6%,69.4%,6.3%,.209,.330,2.03,.034,Wind Surge,ARK vs. WCH (2026-04-07)<br>W 4-2,4/7/26
4,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2026,817389,2026-04-02 20:00:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,237,MID,MID,L 1-5,SEA,ATH,23.9,AA,23,1,1,2.0,39,11,38.5%,91.7,92.4,16.2,5.91,0.0%,27.3%,53.8%,51.3%,20.5%,63.6%,45.5%,0.00%,0.00%,17.9%,12.5%,8.3%,21.1%,87.5%,12.5%,.388,.385,0.21,.005,RockHounds,ARK vs. MID (2026-04-02)<br>L 1-5,4/2/26
5,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781833,2025-09-10 13:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,260,TUL,TUL,W 7-4,SEA,LAD,22.9,AA,23,1,1,5.0,87,23,33.3%,90.9,91.5,17.4,6.13,4.3%,13.0%,52.9%,43.7%,24.1%,60.9%,34.8%,10.00%,0.00%,19.5%,12.1%,4.2%,18.4%,87.9%,21.1%,.306,.282,0.16,.002,Drillers,ARK vs. TUL (2025-09-10)<br>W 7-4,9/10/25
6,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782316,2025-09-04 19:35:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,5368,AMA,AMA,W 11-1,SEA,AZ,22.9,AA,23,1,1,5.0,89,23,39.3%,91.0,91.5,17.0,6.62,21.7%,8.7%,60.7%,41.6%,23.6%,56.5%,43.5%,13.33%,55.56%,25.8%,22.5%,15.4%,26.9%,77.5%,13.3%,.313,.390,-0.35,-.004,Sod Poodles,ARK vs. AMA (2025-09-04)<br>W 11-1,9/4/25
7,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,781769,2025-08-29 20:05:00,ARK - AAX,574,AAX,false,false,true,Arkansas,ARK,ARK,3898,WCH,WCH,L 0-3,SEA,MIN,22.9,AA,23,1,1,6.0,86,23,20.9%,91.1,91.4,15.9,6.23,21.7%,8.7%,65.1%,51.8%,14.1%,60.9%,65.2%,11.11%,57.14%,31.4%,31.0%,19.4%,26.8%,69.0%,20.0%,.260,.312,1.36,.016,Wind Surge,ARK vs. WCH (2025-08-29)<br>L 0-3,8/29/25
8,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782321,2025-08-23 19:05:00,ARK - AAX,574,AAX,true,true,true,Arkansas,ARK,ARK,440,SPR,SPR,W 5-3,SEA,STL,22.9,AA,23,1,1,5.2,82,24,28.0%,90.7,91.2,16.7,6.49,33.3%,8.3%,65.9%,52.4%,18.3%,58.3%,66.7%,33.33%,77.78%,31.7%,33.3%,25.8%,28.2%,66.7%,14.3%,.247,.330,1.05,.013,Cardinals,ARK vs. SPR (2025-08-23)<br>W 5-3,8/23/25
9,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782051,2025-08-17 15:05:00,ARK - AAX,574,AAX,false,true,true,Arkansas,ARK,ARK,1350,NWA,NWA,W 9-8 (10),SEA,KC,22.9,AA,23,1,1,4.1,79,20,17.7%,90.8,90.5,15.0,6.61,15.0%,0.0%,62.0%,54.4%,12.7%,50.0%,60.0%,22.22%,37.50%,26.6%,12.5%,8.0%,19.4%,87.5%,18.8%,.347,.440,-1.10,-.014,Naturals,ARK vs. NWA (2025-08-17)<br>W 9-8,8/17/25
10,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,2025,782324,2025-08-10 14:35:00,ARK - AAX,574,AAX,true,false,true,Arkansas,ARK,ARK,540,FRI,FRI,L 0-2,SEA,TEX,22.9,AA,23,1,1,7.0,79,25,30.4%,90.7,91.7,16.5,6.43,16.0%,4.0%,60.8%,50.6%,15.2%,68.0%,56.0%,50.00%,50.00%,22.8%,16.7%,0.0%,25.6%,83.3%,21.1%,.322,.197,-0.67,-.008,RoughRiders,ARK vs. FRI (2025-08-10)<br>L 0-2,8/10/25
