Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780427,2025-08-10 13:05:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,494,CLT,CLT,L 1-5,NYM,CWS,23.9,AAA,24,1,1,4.0,74,17,27.0%,94.7,94.9,13.3,6.33,41.2%,17.6%,63.5%,48.6%,18.9%,70.6%,76.5%,42.86%,66.67%,32.4%,36.1%,28.0%,28.9%,63.9%,28.6%,.213,.294,1.81,.024,Knights,SYR vs. CLT (2025-08-10)<br>L 1-5,8/10/25
2,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780423,2025-08-05 18:35:00,SYR - AAA,552,AAA,true,true,true,Syracuse,SYR,SYR,494,CLT,CLT,W 11-0,NYM,CWS,23.9,AAA,24,1,1,5.2,96,22,20.8%,95.1,95.6,13.5,6.45,31.8%,13.6%,60.4%,47.9%,17.7%,68.2%,54.5%,14.29%,55.56%,30.2%,34.1%,28.1%,24.0%,65.9%,9.1%,.195,.167,2.48,.026,Knights,SYR vs. CLT (2025-08-05)<br>W 11-0,8/5/25
3,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,781714,2025-07-30 13:05:00,SYR - AAA,552,AAA,false,true,true,Syracuse,SYR,SYR,422,BUF,BUF,W 8-3,NYM,TOR,23.9,AAA,24,1,1,6.0,91,24,13.2%,94.5,94.8,10.3,6.58,25.0%,12.5%,63.7%,50.5%,23.1%,79.2%,58.3%,18.75%,44.44%,29.7%,20.5%,7.4%,26.7%,79.5%,13.3%,.318,.261,0.23,.003,Bisons,SYR vs. BUF (2025-07-30)<br>W 8-3,7/30/25
4,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780439,2025-07-24 18:35:00,SYR - AAA,552,AAA,true,true,true,Syracuse,SYR,SYR,541,OMA,OMA,W 6-2,NYM,KC,23.9,AAA,24,1,1,7.1,85,27,8.2%,95.9,95.5,5.5,6.44,22.2%,0.0%,64.7%,45.9%,15.3%,70.4%,63.0%,50.00%,60.00%,32.9%,28.9%,21.7%,32.6%,71.1%,15.0%,.228,.185,1.37,.016,Storm Chasers,SYR vs. OMA (2025-07-24)<br>W 6-2,7/24/25
5,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780814,2025-07-18 18:35:00,SYR - AAA,552,AAA,false,true,true,Syracuse,SYR,SYR,568,NOR,NOR,W 16-7,NYM,BAL,23.9,AAA,24,1,0,3.2,84,20,29.8%,95.3,95.9,12.7,6.36,30.0%,15.0%,54.8%,41.7%,15.5%,35.0%,45.0%,33.33%,57.14%,28.6%,29.0%,21.1%,24.5%,71.0%,33.3%,.360,.394,-0.77,-.009,Tides,SYR vs. NOR (2025-07-18)<br>W 16-7,7/18/25
6,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780434,2025-07-09 18:35:00,SYR - AAA,552,AAA,true,true,true,Syracuse,SYR,SYR,1410,LHV,LHV,W 2-1,NYM,PHI,23.9,AAA,24,1,1,6.0,97,23,26.8%,95.3,95.9,13.7,6.52,43.5%,13.0%,63.9%,43.3%,16.5%,56.5%,59.1%,29.41%,72.73%,40.2%,43.9%,26.1%,32.7%,56.1%,10.0%,.177,.205,2.75,.028,IronPigs,SYR vs. LHV (2025-07-09)<br>W 2-1,7/9/25
7,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780296,2025-07-03 17:00:00,SYR - AAA,552,AAA,false,true,true,Syracuse,SYR,SYR,533,WOR,WOR,W 7-4,NYM,BOS,23.9,AAA,24,1,1,5.0,89,23,21.3%,95.2,95.4,13.1,6.42,43.5%,4.3%,65.2%,50.6%,11.2%,52.2%,52.2%,80.00%,81.82%,36.0%,29.7%,21.7%,31.8%,70.3%,18.2%,.286,.362,-0.03,-.000,Red Sox,SYR vs. WOR (2025-07-03)<br>W 7-4,7/3/25
8,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780672,2025-06-27 18:45:00,SYR - AAA,552,AAA,false,false,true,Syracuse,SYR,SYR,534,ROC,ROC,L 1-6,NYM,WSH,23.9,AAA,24,1,1,6.0,85,24,23.5%,95.2,95.7,13.3,6.37,16.7%,12.5%,62.4%,43.5%,17.6%,62.5%,62.5%,20.00%,42.86%,29.4%,28.2%,18.5%,25.0%,71.8%,6.3%,.279,.279,0.81,.009,Red Wings,SYR vs. ROC (2025-06-27)<br>L 1-6,6/27/25
9,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780441,2025-06-21 18:35:00,SYR - AAA,552,AAA,true,false,true,Syracuse,SYR,SYR,564,JAX,JAX,L 2-4,NYM,MIA,23.9,AAA,24,1,1,5.0,90,21,13.3%,94.8,95.0,11.1,6.40,28.6%,9.5%,61.1%,41.1%,17.8%,57.1%,52.4%,15.38%,45.45%,25.6%,25.6%,12.0%,34.0%,74.4%,7.7%,.204,.303,1.86,.021,Jumbo Shrimp,SYR vs. JAX (2025-06-21)<br>L 2-4,6/21/25
10,690997,N. McLean,Nolan McLean,McLean,Nolan,P,New York Mets,NYM,121,NY Mets,mlb,NYM,Syracuse Mets,SYR,552,Syracuse,AAA,NYM,2025,780597,2025-06-14 18:05:00,SYR - AAA,552,AAA,false,false,true,Syracuse,SYR,SYR,531,SWB,SWB,L 1-5,NYM,NYY,23.9,AAA,24,1,1,6.0,90,25,25.6%,94.7,95.1,12.9,6.56,12.0%,12.0%,61.1%,41.1%,27.8%,76.0%,64.0%,21.43%,37.50%,21.1%,20.0%,11.5%,35.8%,80.0%,5.3%,.327,.239,0.19,.002,RailRiders,SYR vs. SWB (2025-06-14)<br>L 1-5,6/14/25
