Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2026,816215,2026-04-18 14:05:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,431,GWN,GWN,L 1-2 (11),STL,ATL,25.9,AAA,25,1,1,4.0,58,15,32.8%,90.3,90.5,14.0,6.92,20.0%,0.0%,63.8%,37.9%,17.2%,66.7%,60.0%,25.00%,28.57%,22.4%,17.2%,11.8%,33.3%,82.8%,8.3%,.200,.236,0.70,.012,Stripers,MEM vs. GWN (2026-04-18)<br>L 1-2,4/18/26
2,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Palm Beach Cardinals,PMB,279,Palm Beach,AFX,STL,2026,820887,2026-04-12 12:00:00,PMB - AFX,279,AFX,false,true,true,Palm Beach,PMB,PMB,3390,BRD,BRD,W 6-0,STL,PIT,25.9,A,25,1,1,4.0,51,14,33.3%,90.6,91.0,11.4,7.00,28.6%,0.0%,80.4%,60.8%,5.9%,85.7%,78.6%,23.08%,50.00%,35.3%,25.8%,13.6%,45.0%,74.2%,10.0%,.125,.190,2.35,.046,Marauders,PMB vs. BRD (2026-04-12)<br>W 6-0,4/12/26
3,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Palm Beach Cardinals,PMB,279,Palm Beach,AFX,STL,2026,820900,2026-04-07 17:30:00,PMB - AFX,279,AFX,false,true,true,Palm Beach,PMB,PMB,3390,BRD,BRD,W 8-7,STL,PIT,25.9,A,25,1,1,2.2,42,10,54.8%,90.6,91.4,13.1,7.06,30.0%,30.0%,50.0%,42.9%,31.0%,70.0%,60.0%,22.22%,75.00%,23.8%,21.4%,11.1%,20.8%,78.6%,0.0%,.300,.209,-0.29,-.007,Marauders,PMB vs. BRD (2026-04-07)<br>W 8-7,4/7/26
4,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781904,2025-09-10 19:35:00,SPR - AAX,440,AAX,true,false,true,Springfield,SPR,SPR,510,SA,SA,L 3-5,STL,SD,24.9,AA,25,1,1,6.0,89,28,38.2%,91.0,91.5,16.5,6.15,17.9%,7.1%,64.0%,49.4%,15.7%,57.1%,64.3%,27.27%,44.44%,20.2%,18.8%,6.3%,35.6%,81.3%,4.8%,.222,.341,1.88,.021,Missions,SPR vs. SA (2025-09-10)<br>L 3-5,9/10/25
5,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,782040,2025-09-04 20:05:00,SPR - AAX,440,AAX,false,true,true,Springfield,SPR,SPR,1350,NWA,NWA,W 14-6,STL,KC,24.9,AA,25,1,1,7.0,89,29,40.4%,90.8,91.3,16.4,7.05,17.2%,0.0%,76.4%,65.2%,13.5%,65.5%,72.4%,37.50%,45.45%,29.2%,20.8%,9.5%,35.5%,79.2%,20.8%,.274,.335,1.30,.015,Naturals,SPR vs. NWA (2025-09-04)<br>W 14-6,9/4/25
6,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781907,2025-08-29 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,237,MID,MID,W 5-4 (11),STL,ATH,24.9,AA,25,1,1,7.0,88,28,21.6%,91.8,91.9,15.8,6.20,32.1%,3.6%,71.6%,58.0%,5.7%,75.0%,59.3%,33.33%,61.54%,39.8%,36.4%,30.3%,29.7%,63.6%,6.3%,.264,.221,0.73,.008,RockHounds,SPR vs. MID (2025-08-29)<br>W 5-4,8/29/25
7,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,782320,2025-08-22 20:05:00,SPR - AAX,440,AAX,false,false,true,Springfield,SPR,SPR,574,ARK,ARK,L 3-5,STL,SEA,24.9,AA,25,1,1,4.1,89,23,46.1%,90.5,90.8,16.9,6.95,13.0%,13.0%,68.5%,53.9%,10.1%,65.2%,65.2%,11.11%,21.43%,29.2%,27.1%,21.1%,24.4%,72.9%,23.5%,.413,.332,-0.59,-.007,Travelers,SPR vs. ARK (2025-08-22)<br>L 3-5,8/22/25
8,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781912,2025-08-16 19:35:00,SPR - AAX,440,AAX,true,false,true,Springfield,SPR,SPR,3898,WCH,WCH,L 0-6,STL,MIN,24.9,AA,25,1,1,5.1,85,23,41.2%,92.0,92.4,15.5,6.23,26.1%,4.3%,67.1%,55.3%,8.2%,69.6%,68.2%,25.00%,44.44%,30.6%,22.5%,24.1%,28.9%,77.5%,13.3%,.250,.327,1.15,.013,Wind Surge,SPR vs. WCH (2025-08-16)<br>L 0-6,8/16/25
9,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781981,2025-08-10 19:05:00,SPR - AAX,440,AAX,false,true,true,Springfield,SPR,SPR,510,SA,SA,W 5-3 (10),STL,SD,24.9,AA,25,1,1,5.0,76,21,47.4%,91.8,92.3,16.6,6.99,38.1%,4.8%,73.7%,60.5%,14.5%,71.4%,61.9%,27.27%,72.73%,38.2%,28.9%,21.4%,33.3%,71.1%,8.3%,.232,.243,1.35,.018,Missions,SPR vs. SA (2025-08-10)<br>W 5-3,8/10/25
10,677337,P. Hansen,Pete Hansen,Hansen,Pete,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781984,2025-08-05 20:05:00,SPR - AAX,440,AAX,false,false,true,Springfield,SPR,SPR,510,SA,SA,L 4-5,STL,SD,24.9,AA,25,1,1,6.1,80,21,52.5%,91.6,92.2,17.3,7.11,19.0%,4.8%,72.5%,60.0%,7.5%,76.2%,60.0%,15.38%,25.00%,26.3%,22.9%,15.8%,31.3%,77.1%,12.5%,.149,.117,3.63,.045,Missions,SPR vs. SA (2025-08-05)<br>L 4-5,8/5/25
