Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780350,2025-08-14 18:35:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,512,TOL,TOL,L 1-5,CLE,DET,24.7,AAA,25,1,1,6.0,87,27,34.5%,92.6,93.2,16.7,6.27,18.5%,7.4%,66.7%,44.8%,12.6%,51.9%,63.0%,33.33%,55.56%,25.3%,23.4%,13.8%,37.5%,76.6%,16.7%,.311,.359,0.36,.004,Mud Hens,COL vs. TOL (2025-08-14)<br>L 1-5,8/14/25
2,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781556,2025-08-08 19:05:00,COL - AAA,445,AAA,true,false,true,Columbus,COL,COL,431,GWN,GWN,L 2-3,CLE,ATL,24.7,AAA,25,1,1,6.2,87,24,35.6%,92.1,92.4,16.2,6.34,37.5%,0.0%,72.4%,50.6%,12.6%,75.0%,75.0%,37.50%,72.73%,33.3%,27.7%,15.6%,34.9%,72.3%,20.0%,.244,.211,0.58,.007,Stripers,COL vs. GWN (2025-08-08)<br>L 2-3,8/8/25
3,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781182,2025-08-02 18:35:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,564,JAX,JAX,W 8-0,CLE,MIA,24.7,AAA,25,1,1,5.2,82,18,45.1%,92.6,93.6,18.1,6.35,33.3%,11.1%,59.8%,37.8%,30.5%,72.2%,61.1%,26.32%,71.43%,23.2%,23.1%,13.6%,33.3%,76.9%,0.0%,.145,.126,1.89,.023,Jumbo Shrimp,COL vs. JAX (2025-08-02)<br>W 8-0,8/2/25
4,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781268,2025-07-20 14:08:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,451,IOW,IOW,L 1-5,CLE,CHC,24.7,AAA,25,1,1,5.1,83,20,41.0%,93.1,93.8,16.5,6.45,35.0%,5.0%,59.0%,47.0%,25.3%,50.0%,55.0%,36.36%,50.00%,28.9%,35.9%,24.1%,22.7%,64.1%,8.3%,.161,.248,1.75,.021,Cubs,COL vs. IOW (2025-07-20)<br>L 1-5,7/20/25
5,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781571,2025-07-05 19:05:00,COL - AAA,445,AAA,true,false,true,Columbus,COL,COL,512,TOL,TOL,L 1-2,CLE,DET,24.7,AAA,25,1,1,7.0,88,25,52.3%,93.5,94.1,17.0,6.24,36.0%,4.0%,70.5%,56.8%,18.2%,80.0%,76.0%,33.33%,72.73%,36.4%,34.8%,17.1%,28.9%,65.2%,13.3%,.169,.133,2.95,.034,Mud Hens,COL vs. TOL (2025-07-05)<br>L 1-2,7/5/25
6,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781272,2025-06-29 14:08:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,451,IOW,IOW,L 3-9,CLE,CHC,24.7,AAA,25,1,1,1.2,52,14,53.8%,91.7,92.6,17.9,6.21,14.3%,21.4%,53.8%,40.4%,21.2%,28.6%,64.3%,40.00%,100.00%,21.2%,5.6%,0.0%,22.6%,94.4%,22.2%,.579,.699,-2.70,-.052,Cubs,COL vs. IOW (2025-06-29)<br>L 3-9,6/29/25
7,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781278,2025-06-24 19:38:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,451,IOW,IOW,W 12-0,CLE,CHC,24.7,AAA,25,1,1,6.0,84,20,63.1%,92.1,92.9,17.7,6.24,10.0%,5.0%,63.1%,57.1%,11.9%,70.0%,75.0%,0.00%,14.29%,23.8%,15.4%,5.9%,13.9%,84.6%,5.9%,.209,.185,1.95,.023,Cubs,COL vs. IOW (2025-06-24)<br>W 12-0,6/24/25
8,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781581,2025-06-18 19:05:00,COL - AAA,445,AAA,true,true,true,Columbus,COL,COL,484,IND,IND,W 8-7,CLE,PIT,24.7,AAA,25,1,1,3.0,59,15,61.0%,93.0,93.9,18.1,6.28,26.7%,13.3%,62.7%,54.2%,10.2%,40.0%,66.7%,16.67%,50.00%,25.4%,29.0%,26.1%,29.6%,71.0%,11.1%,.329,.352,0.13,.002,Indians,COL vs. IND (2025-06-18)<br>W 8-7,6/18/25
9,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781734,2025-06-12 18:35:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,422,BUF,BUF,W 7-1,CLE,TOR,24.7,AAA,25,1,1,4.2,96,21,46.9%,92.0,92.9,19.9,6.33,28.6%,19.0%,59.4%,47.9%,13.5%,47.6%,42.9%,15.38%,40.00%,32.3%,27.8%,16.0%,22.0%,72.2%,27.3%,.277,.275,1.16,.012,Bisons,COL vs. BUF (2025-06-12)<br>W 7-1,6/12/25
10,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781585,2025-06-06 19:05:00,COL - AAA,445,AAA,true,false,true,Columbus,COL,COL,512,TOL,TOL,L 3-8,CLE,DET,24.7,AAA,25,1,1,5.0,78,22,53.8%,93.5,94.4,16.9,6.25,31.8%,9.1%,60.3%,46.2%,21.8%,50.0%,50.0%,28.57%,71.43%,29.5%,38.5%,28.6%,26.2%,61.5%,33.3%,.381,.419,-1.31,-.017,Mud Hens,COL vs. TOL (2025-06-06)<br>L 3-8,6/6/25
11,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780676,2025-05-31 18:45:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,534,ROC,ROC,L 6-7,CLE,WSH,24.7,AAA,25,1,1,5.0,81,23,48.1%,92.8,93.6,18.5,6.30,26.1%,8.7%,60.5%,42.0%,24.7%,69.6%,73.9%,30.77%,66.67%,28.4%,35.0%,20.0%,31.9%,65.0%,13.3%,.267,.284,0.89,.011,Red Wings,COL vs. ROC (2025-05-31)<br>L 6-7,5/31/25
12,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781593,2025-05-21 12:05:00,COL - AAA,445,AAA,true,true,true,Columbus,COL,COL,451,IOW,IOW,W 14-5,CLE,CHC,24.7,AAA,25,1,1,5.0,81,21,50.6%,91.6,92.5,17.1,6.30,14.3%,19.0%,50.6%,45.7%,18.5%,57.1%,38.1%,25.00%,50.00%,21.0%,14.3%,0.0%,11.4%,85.7%,14.3%,.306,.326,0.18,.002,Cubs,COL vs. IOW (2025-05-21)<br>W 14-5,5/21/25
13,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,780768,2025-05-16 20:05:00,COL - AAA,445,AAA,false,false,true,Columbus,COL,COL,541,OMA,OMA,L 7-9,CLE,KC,24.7,AAA,25,1,1,5.0,85,21,35.3%,91.6,92.0,17.6,6.33,23.8%,14.3%,55.3%,41.2%,15.3%,52.4%,42.9%,28.57%,57.14%,25.9%,26.5%,18.2%,24.0%,73.5%,30.8%,.320,.320,-0.46,-.005,Storm Chasers,COL vs. OMA (2025-05-16)<br>L 7-9,5/16/25
14,800048,P. Messick,Parker Messick,Messick,Parker,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,2025,781367,2025-05-10 18:35:00,COL - AAA,445,AAA,false,true,true,Columbus,COL,COL,484,IND,IND,W 1-0,CLE,PIT,24.7,AAA,25,1,1,5.0,91,20,54.9%,93.1,94.3,18.0,6.34,45.0%,10.0%,62.6%,50.5%,18.7%,75.0%,50.0%,28.57%,70.00%,36.3%,42.9%,27.6%,28.9%,57.1%,0.0%,.219,.245,1.44,.016,Indians,COL vs. IND (2025-05-10)<br>W 1-0,5/10/25
