Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,SeasonLevel,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780969,2025-07-10 20:05:00,MEM - AAA,235,AAA,true,true,true,Memphis,MEM,MEM,494,CLT,CLT,W 8-1,STL,CWS,23.8,AAA,24,1,1,5.2,87,22,33.3%,94.6,95.2,16.7,6.45,27.3%,4.5%,69.0%,48.3%,16.1%,59.1%,71.4%,28.57%,71.43%,29.9%,26.1%,10.7%,40.0%,73.9%,13.3%,.294,.272,0.42,.005,Knights,MEM vs. CLT (2025-07-10)<br>W 8-1,7/10/25
2,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780981,2025-07-04 20:04:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,556,NAS,NAS,L 1-6,STL,MIL,23.8,AAA,24,1,1,4.1,88,20,35.2%,96.0,96.6,17.8,6.50,30.0%,5.0%,64.8%,46.6%,22.7%,55.0%,60.0%,29.41%,40.00%,30.7%,26.8%,20.0%,34.0%,73.2%,25.0%,.266,.327,0.55,.006,Sounds,MEM vs. NAS (2025-07-04)<br>L 1-6,7/4/25
3,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,781493,2025-06-28 18:35:00,MEM - AAA,235,AAA,false,true,true,Memphis,MEM,MEM,234,DUR,DUR,W 11-3,STL,TB,23.8,AAA,24,1,1,5.0,73,20,23.3%,95.7,95.9,16.1,6.59,20.0%,10.0%,64.4%,45.2%,17.8%,70.0%,65.0%,0.00%,50.00%,27.4%,28.9%,13.0%,37.5%,71.1%,14.3%,.308,.301,0.63,.009,Bulls,MEM vs. DUR (2025-06-28)<br>W 11-3,6/28/25
4,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780974,2025-06-22 14:05:00,MEM - AAA,235,AAA,true,true,true,Memphis,MEM,MEM,568,NOR,NOR,W 9-0,STL,BAL,23.8,AAA,24,1,1,6.0,69,22,37.7%,95.5,96.1,16.8,6.51,22.7%,4.5%,68.1%,46.4%,26.1%,86.4%,72.7%,40.00%,50.00%,29.0%,34.1%,16.7%,45.9%,65.9%,12.5%,.192,.185,2.74,.040,Tides,MEM vs. NOR (2025-06-22)<br>W 9-0,6/22/25
5,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,780979,2025-06-17 20:05:00,MEM - AAA,235,AAA,true,false,true,Memphis,MEM,MEM,568,NOR,NOR,L 5-7,STL,BAL,23.8,AAA,24,1,1,5.2,86,24,31.4%,95.5,95.8,16.9,6.53,16.7%,8.3%,67.4%,40.7%,19.8%,66.7%,58.3%,6.67%,44.44%,26.7%,27.1%,11.5%,43.1%,72.9%,22.2%,.425,.403,-1.38,-.016,Tides,MEM vs. NOR (2025-06-17)<br>L 5-7,6/17/25
6,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,2025,781429,2025-06-11 12:05:00,MEM - AAA,235,AAA,false,false,true,Memphis,MEM,MEM,431,GWN,GWN,L 6-11,STL,ATL,23.8,AAA,24,1,1,4.2,85,25,37.6%,94.6,95.2,16.6,6.42,20.0%,4.0%,63.5%,45.9%,17.6%,40.0%,48.0%,25.00%,57.14%,28.2%,23.1%,3.8%,28.3%,76.9%,21.1%,.395,.485,-2.04,-.024,Stripers,MEM vs. GWN (2025-06-11)<br>L 6-11,6/11/25
7,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,782215,2025-06-04 20:05:00,SPR - AAX,440,AAX,false,true,true,Springfield,SPR,SPR,540,FRI,FRI,W 3-1,STL,TEX,23.8,AA,24,1,1,6.2,85,25,42.9%,95.6,96.6,17.6,6.23,32.0%,4.0%,74.1%,56.0%,10.7%,72.0%,76.0%,15.38%,54.55%,34.1%,30.6%,20.0%,35.1%,69.4%,33.3%,.283,.230,0.71,.008,RoughRiders,SPR vs. FRI (2025-06-04)<br>W 3-1,6/4/25
8,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781944,2025-05-29 20:05:00,SPR - AAX,440,AAX,true,true,true,Springfield,SPR,SPR,1350,NWA,NWA,W 6-0,STL,KC,23.8,AA,24,1,1,5.1,79,21,48.1%,96.2,97.0,18.8,5.88,38.1%,4.8%,67.1%,49.4%,13.9%,61.9%,71.4%,38.46%,70.00%,36.7%,38.5%,25.0%,27.5%,61.5%,33.3%,.299,.201,-0.06,-.001,Naturals,SPR vs. NWA (2025-05-29)<br>W 6-0,5/29/25
9,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781874,2025-05-22 20:00:00,SPR - AAX,440,AAX,false,true,true,Springfield,SPR,SPR,260,TUL,TUL,W 9-3,STL,LAD,23.8,AA,24,1,1,6.0,76,21,35.5%,96.0,96.7,17.2,6.37,28.6%,0.0%,71.1%,50.0%,10.5%,76.2%,81.0%,44.44%,45.45%,36.8%,35.0%,17.4%,44.7%,65.0%,13.3%,.205,.241,1.91,.025,Drillers,SPR vs. TUL (2025-05-22)<br>W 9-3,5/22/25
10,694358,T. Roby,Tekoah Roby,Roby,Tekoah,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,2025,781951,2025-05-16 19:35:00,SPR - AAX,440,AAX,true,false,true,Springfield,SPR,SPR,5368,AMA,AMA,L 2-3,STL,AZ,23.8,AA,24,1,1,5.2,67,20,43.3%,95.8,96.5,17.5,5.82,55.0%,0.0%,71.6%,50.7%,9.0%,55.0%,55.0%,57.14%,90.91%,43.3%,53.7%,48.1%,42.4%,46.3%,12.5%,.159,.176,1.96,.029,Sod Poodles,SPR vs. AMA (2025-05-16)<br>L 2-3,5/16/25
