Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786411,2025-09-05 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 1-5,MIL,WSH,19.3,20,1,0,3.2,60,18,20.0%,93.4,93.7,18.8,6.84,16.7%,5.6%,65.0%,51.7%,15.0%,38.9%,50.0%,25.00%,50.00%,23.3%,24.2%,28.0%,27.6%,75.8%,15.4%,.412,.502,-1.07,-.018,Nationals,WIL vs. FBG (2025-09-05)<br>L 1-5,9/5/25
2,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786740,2025-08-30 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 2-3,MIL,BAL,19.3,20,1,1,5.0,66,18,7.6%,91.9,93.1,17.0,6.87,27.8%,0.0%,63.6%,48.5%,16.7%,66.7%,66.7%,30.00%,50.00%,25.8%,19.4%,23.8%,29.4%,80.6%,15.4%,.185,.104,1.01,.015,Shorebirds,WIL vs. DEL (2025-08-30)<br>L 2-3,8/30/25
3,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786086,2025-08-23 19:47:00 (2),WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,414,SAL,SAL,W 11-6 (7),MIL,BOS,19.3,20,1,1,4.0,56,16,7.1%,91.0,92.1,16.8,6.93,12.5%,0.0%,69.6%,51.8%,10.7%,68.8%,62.5%,11.11%,12.50%,32.1%,27.6%,27.8%,40.7%,72.4%,7.7%,.257,.388,1.19,.021,Red Sox,WIL vs. SAL (2025-08-23)<br>W 11-6,8/23/25
4,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786478,2025-08-16 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 2-3,MIL,HOU,19.3,20,1,0,4.0,66,16,0.0%,-,93.0,17.6,6.74,25.0%,0.0%,63.6%,54.5%,19.7%,68.8%,56.3%,25.00%,20.00%,33.3%,31.0%,28.0%,13.3%,69.0%,25.0%,.210,.221,0.82,.012,Woodpeckers,WIL vs. FAY (2025-08-16)<br>L 2-3,8/16/25
5,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786745,2025-08-10 13:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,481,HC,HC,W 8-3,MIL,CLE,19.3,20,1,0,4.1,65,17,12.3%,91.0,92.2,17.5,6.72,17.6%,23.5%,58.5%,47.7%,21.5%,70.6%,70.6%,12.50%,50.00%,24.6%,15.4%,13.6%,11.8%,84.6%,11.1%,.321,.256,0.30,.005,Hillcats,WIL vs. HC (2025-08-10)<br>W 8-3,8/10/25
6,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786822,2025-08-02 18:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,478,AUG,AUG,L 3-5,MIL,ATL,19.3,20,1,0,3.0,35,10,2.9%,92.9,93.4,16.7,6.75,30.0%,0.0%,65.7%,60.0%,5.7%,80.0%,77.8%,40.00%,50.00%,40.0%,43.8%,53.8%,21.4%,56.3%,0.0%,.146,.205,1.13,.032,GreenJackets,WIL vs. AUG (2025-08-02)<br>L 3-5,8/2/25
7,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786752,2025-07-27 13:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,487,KAN,KAN,W 4-0,MIL,CWS,19.3,20,1,1,1.0,14,5,0.0%,-,92.2,13.8,6.97,0.0%,20.0%,57.1%,57.1%,14.3%,60.0%,80.0%,-,0.00%,14.3%,0.0%,0.0%,16.7%,100.0%,0.0%,.411,.486,-0.09,-.007,Cannon Ballers,WIL vs. KAN (2025-07-27)<br>W 4-0,7/27/25
8,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786761,2025-07-22 18:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,487,KAN,KAN,W 8-2,MIL,CWS,19.3,20,1,0,4.0,53,19,3.8%,93.2,94.0,16.0,6.87,21.1%,0.0%,79.2%,64.2%,9.4%,63.2%,84.2%,0.00%,50.00%,32.1%,30.6%,27.6%,36.8%,69.4%,20.0%,.340,.325,-0.04,-.001,Cannon Ballers,WIL vs. KAN (2025-07-22)<br>W 8-2,7/22/25
9,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786755,2025-07-11 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 3-5,MIL,WSH,19.3,20,1,1,6.0,86,26,17.4%,90.7,91.0,18.5,6.89,19.2%,0.0%,69.8%,52.3%,11.6%,50.0%,73.1%,14.29%,33.33%,27.9%,26.5%,22.9%,34.1%,73.5%,9.5%,.269,.314,1.01,.012,Nationals,WIL vs. FBG (2025-07-11)<br>L 3-5,7/11/25
10,803848,J. Dubanewicz,Jayden Dubanewicz,Dubanewicz,Jayden,P,ACL Brewers,A-BRW,406,ACL Brewers,rok,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786504,2025-07-04 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,3712,FAY,FAY,W 5-2,MIL,HOU,19.3,20,1,0,4.2,82,19,8.5%,91.6,91.8,17.7,6.54,26.3%,15.8%,61.0%,50.0%,12.2%,57.9%,63.2%,20.00%,50.00%,35.4%,32.3%,11.8%,34.1%,67.7%,27.3%,.222,.202,1.80,.022,Woodpeckers,WIL vs. FAY (2025-07-04)<br>W 5-2,7/4/25
