Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749298,2024-09-12 20:05:00,TUL - AAX,260,AAX,false,true,true,Tulsa,TUL,TUL,3898,WCH,WCH,W 5-0,LAD,MIN,20.5,22,1,1,5.0,67,17,55.2%,95.1,95.8,16.7,6.48,29.4%,5.9%,61.2%,62.7%,7.5%,76.5%,47.1%,22.22%,80.00%,28.4%,24.1%,16.7%,20.0%,75.9%,18.2%,.213,.092,1.38,.021,Wind Surge,TUL vs. WCH (2024-09-12)<br>W 5-0,9/12/24
2,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749370,2024-09-06 20:00:00,TUL - AAX,260,AAX,true,false,true,Tulsa,TUL,TUL,510,SA,SA,L 3-9,LAD,SD,20.5,22,1,1,5.0,72,21,52.8%,93.4,94.3,17.3,6.33,23.8%,4.8%,65.3%,55.6%,9.7%,47.6%,71.4%,30.77%,100.00%,26.4%,15.2%,4.0%,25.0%,84.8%,28.6%,.335,.392,-0.60,-.008,Missions,TUL vs. SA (2024-09-06)<br>L 3-9,9/6/24
3,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749786,2024-08-31 20:05:00,TUL - AAX,260,AAX,false,false,true,Tulsa,TUL,TUL,482,CC,CC,L 2-6,LAD,HOU,20.5,22,1,1,0.2,35,8,20.0%,93.8,94.5,17.8,6.91,0.0%,50.0%,40.0%,28.6%,34.3%,37.5%,50.0%,0.00%,0.00%,22.9%,33.3%,20.0%,16.0%,66.7%,0.0%,.544,.545,-0.92,-.026,Hooks,TUL vs. CC (2024-08-31)<br>L 2-6,8/31/24
4,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749444,2024-08-25 14:05:00,TUL - AAX,260,AAX,false,true,true,Tulsa,TUL,TUL,440,SPR,SPR,W 5-3,LAD,STL,20.5,22,1,1,4.0,73,18,58.9%,94.7,95.4,16.9,5.73,11.1%,5.6%,67.1%,64.4%,4.1%,66.7%,55.6%,0.00%,20.00%,28.8%,22.2%,23.3%,23.1%,77.8%,14.3%,.327,.369,0.88,.012,Cardinals,TUL vs. SPR (2024-08-25)<br>W 5-3,8/25/24
5,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749446,2024-08-20 19:35:00,TUL - AAX,260,AAX,false,false,true,Tulsa,TUL,TUL,440,SPR,SPR,L 6-9,LAD,STL,20.5,22,1,1,3.0,72,14,50.0%,94.4,95.0,17.1,6.03,35.7%,21.4%,58.3%,50.0%,15.3%,42.9%,35.7%,16.67%,62.50%,31.9%,29.6%,10.0%,19.4%,70.4%,0.0%,.296,.300,0.65,.009,Cardinals,TUL vs. SPR (2024-08-20)<br>L 6-9,8/20/24
6,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749374,2024-08-14 20:00:00,TUL - AAX,260,AAX,true,true,true,Tulsa,TUL,TUL,237,MID,MID,W 2-1,LAD,ATH,20.5,22,1,1,5.0,87,20,46.0%,94.7,95.4,16.1,6.15,25.0%,5.0%,63.2%,55.2%,17.2%,80.0%,55.0%,10.53%,44.44%,27.6%,22.5%,17.6%,15.4%,77.5%,9.1%,.218,.257,1.43,.016,RockHounds,TUL vs. MID (2024-08-14)<br>W 2-1,8/14/24
7,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Tulsa Drillers,TUL,260,Tulsa,AAX,LAD,2024,749863,2024-08-08 19:35:00,TUL - AAX,260,AAX,false,false,true,Tulsa,TUL,TUL,574,ARK,ARK,L 0-2,LAD,SEA,20.5,22,1,1,5.2,88,24,11.4%,93.6,94.6,16.1,6.91,16.7%,12.5%,63.6%,53.4%,5.7%,66.7%,45.8%,15.38%,57.14%,25.0%,17.1%,3.1%,22.0%,82.9%,0.0%,.221,.249,2.45,.028,Travelers,TUL vs. ARK (2024-08-08)<br>L 0-2,8/8/24
8,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756275,2024-08-01 19:35:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,492,CR,CR,W 6-1,LAD,MIN,20.5,22,1,1,8.0,98,28,46.9%,94.5,95.2,17.8,6.18,21.4%,14.3%,62.2%,51.5%,18.6%,78.6%,60.7%,7.14%,50.00%,33.7%,30.0%,23.3%,21.3%,70.0%,12.5%,.343,.124,0.13,.001,Kernels,GL vs. CR (2024-08-01)<br>W 6-1,8/1/24
9,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,756080,2024-07-26 19:05:00,GL - AFA,456,AFA,true,false,true,Great Lakes,GL,GL,437,LC,LC,L 0-1,LAD,CLE,20.5,22,1,1,7.0,88,27,38.6%,93.4,95.0,17.6,6.93,25.9%,7.4%,61.4%,56.8%,9.1%,55.6%,55.6%,62.50%,71.43%,27.3%,16.7%,16.7%,15.8%,83.3%,16.7%,.247,.228,0.75,.008,Captains,GL vs. LC (2024-07-26)<br>L 0-1,7/26/24
10,701328,J. Ferris,Jackson Ferris,Ferris,Jackson,P,Oklahoma City Comets,OKC,238,Okla. City,aaa,LAD,Great Lakes Loons,GL,456,Great Lakes,AFA,LAD,2024,755949,2024-07-20 19:05:00,GL - AFA,456,AFA,false,true,true,Great Lakes,GL,GL,499,LAN,LAN,W 6-2 (12),LAD,ATH,20.5,22,1,1,6.0,93,23,46.7%,94.9,95.6,17.4,5.93,21.7%,13.0%,60.2%,53.8%,13.2%,60.9%,56.5%,25.00%,62.50%,24.7%,28.3%,22.2%,21.4%,71.7%,0.0%,.249,.167,1.99,.021,Lugnuts,GL vs. LAN (2024-07-20)<br>W 6-2,7/20/24
