Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753883,2024-09-07 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,436,FBG,FBG,W 5-1,CLE,WSH,19.9,21,1,1,5.0,70,18,48.6%,90.6,91.7,21.2,6.40,50.0%,5.6%,62.9%,48.6%,17.1%,61.1%,72.2%,71.43%,75.00%,44.3%,60.6%,52.0%,22.2%,39.4%,0.0%,.167,.185,1.78,.025,Nationals,HC vs. FBG (2024-09-07)<br>W 5-1,9/7/24
2,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753748,2024-09-01 14:00:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,249,WIL,WIL,W 6-2,CLE,MIL,19.9,21,1,1,4.0,66,15,37.9%,89.3,90.1,19.3,6.24,33.3%,6.7%,65.2%,48.5%,12.1%,60.0%,46.7%,23.08%,66.67%,31.8%,33.3%,33.3%,26.5%,66.7%,11.1%,.179,.188,1.62,.025,Mudcats,HC vs. WIL (2024-09-01)<br>W 6-2,9/1/24
3,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753754,2024-08-27 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,249,WIL,WIL,L 2-3,CLE,MIL,19.9,21,1,1,3.2,70,19,45.7%,89.1,90.2,18.2,6.17,31.6%,15.8%,62.9%,55.7%,17.1%,63.2%,52.6%,28.57%,66.67%,32.9%,30.0%,20.8%,19.4%,70.0%,20.0%,.291,.360,0.53,.008,Mudcats,HC vs. WIL (2024-08-27)<br>L 2-3,8/27/24
4,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753630,2024-08-21 19:05:00,HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,414,SAL,SAL,W 3-2,CLE,BOS,19.9,21,1,1,6.0,64,19,50.0%,90.6,91.7,21.4,6.50,31.6%,5.3%,67.2%,40.6%,10.9%,73.7%,78.9%,25.00%,71.43%,32.8%,37.1%,28.6%,36.8%,62.9%,16.7%,.288,.144,0.18,.003,Red Sox,HC vs. SAL (2024-08-21)<br>W 3-2,8/21/24
5,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753758,2024-08-15 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,485,DE,DE,W 10-9 (10),CLE,TEX,19.9,21,1,1,4.0,60,20,41.7%,89.5,90.2,19.5,6.37,15.0%,5.0%,71.7%,43.3%,20.0%,60.0%,81.0%,8.33%,50.00%,28.3%,23.5%,15.0%,41.2%,76.5%,31.3%,.445,.541,-1.89,-.031,Wood Ducks,HC vs. DE (2024-08-15)<br>W 10-9,8/15/24
6,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753962,2024-08-09 12:05:00 (1),HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,3712,FAY,FAY,W 7-5 (7),CLE,HOU,19.9,21,1,1,3.0,63,16,46.0%,88.4,89.6,19.9,6.37,37.5%,6.3%,68.3%,50.8%,11.1%,62.5%,75.0%,42.86%,75.00%,28.6%,21.9%,13.6%,32.3%,78.1%,22.2%,.328,.525,-0.46,-.007,Woodpeckers,HC vs. FAY (2024-08-09)<br>W 7-5,8/9/24
7,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753766,2024-07-31 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,436,FBG,FBG,W 7-3,CLE,WSH,19.9,21,1,1,4.0,63,15,30.2%,90.2,90.7,17.2,6.02,60.0%,0.0%,76.2%,46.0%,14.3%,86.7%,66.7%,38.46%,75.00%,41.3%,33.3%,14.3%,35.3%,66.7%,50.0%,.267,.338,-0.45,-.007,Nationals,HC vs. FBG (2024-07-31)<br>W 7-3,7/31/24
8,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,754168,2024-07-25 12:05:00 (1),HC - AFX,481,AFX,false,true,true,Hill City,HC,HC,3705,COL,COL,W 4-1 (7),CLE,KC,19.9,21,1,1,5.0,52,17,30.8%,89.2,89.7,18.5,6.11,17.6%,5.9%,67.3%,55.8%,21.2%,76.5%,76.5%,25.00%,50.00%,26.9%,22.2%,15.0%,30.4%,77.8%,0.0%,.182,.166,1.90,.037,Fireflies,HC vs. COL (2024-07-25)<br>W 4-1,7/25/24
9,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753774,2024-07-09 18:30:00,HC - AFX,481,AFX,true,false,true,Hill City,HC,HC,548,DEL,DEL,L 1-5,CLE,BAL,19.9,21,1,1,2.2,51,12,31.4%,88.5,89.2,17.6,6.15,8.3%,16.7%,56.9%,41.2%,19.6%,58.3%,53.8%,0.00%,33.33%,21.6%,18.2%,13.3%,23.3%,81.8%,12.5%,.590,.524,-2.28,-.045,Shorebirds,HC vs. DEL (2024-07-09)<br>L 1-5,7/9/24
10,703469,J. Humphries,Jackson Humphries,Humphries,Jackson,P,Lake County Captains,LC,437,Lake County,afa,CLE,Hill City Howlers,HC,481,Hill City,AFX,CLE,2024,753779,2024-07-02 18:30:00,HC - AFX,481,AFX,true,true,true,Hill City,HC,HC,414,SAL,SAL,W 5-0,CLE,BOS,19.9,21,1,1,4.1,64,18,34.4%,90.0,90.8,18.0,6.07,38.9%,11.1%,62.5%,50.0%,15.6%,66.7%,61.1%,20.00%,85.71%,35.9%,43.3%,30.4%,21.9%,56.7%,0.0%,.183,.244,1.76,.028,Red Sox,HC vs. SAL (2024-07-02)<br>W 5-0,7/2/24
