Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,728351,2023-09-03 18:05:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,478,AUG,AUG,W 5-2,BOS,ATL,19.5,22,1,0,4.0,62,14,0.0%,-,91.0,10.1,6.65,42.9%,0.0%,74.2%,38.7%,11.3%,92.9%,64.3%,22.22%,66.67%,37.1%,37.8%,18.8%,55.3%,62.2%,0.0%,.085,.126,2.81,.045,GreenJackets,SAL vs. AUG (2023-09-03)<br>W 5-2,9/3/23
2,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727633,2023-08-27 15:05:00,SAL - AFX,414,AFX,true,false,true,Salem,SAL,SAL,436,FBG,FBG,L 7-8 (13),BOS,WSH,19.5,22,1,0,5.0,77,21,9.2%,90.9,91.0,13.3,5.80,14.3%,0.0%,61.0%,39.5%,14.5%,47.6%,50.0%,27.27%,75.00%,22.1%,26.8%,16.0%,34.8%,73.2%,17.6%,.380,.382,-1.11,-.014,Nationals,SAL vs. FBG (2023-08-27)<br>L 7-8,8/27/23
3,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,728091,2023-08-20 17:05:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,548,DEL,DEL,W 8-6,BOS,BAL,19.5,22,1,1,6.0,80,23,0.0%,-,90.4,12.9,6.69,21.7%,8.7%,67.5%,52.5%,13.8%,69.6%,65.2%,30.77%,44.44%,28.7%,22.5%,10.7%,31.6%,77.5%,20.0%,.288,.230,0.93,.012,Shorebirds,SAL vs. DEL (2023-08-20)<br>W 8-6,8/20/23
4,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727641,2023-08-13 15:05:00,SAL - AFX,414,AFX,true,false,true,Salem,SAL,SAL,478,AUG,AUG,L 3-5,BOS,ATL,19.5,22,1,1,5.0,83,25,1.2%,89.8,89.8,8.2,5.73,32.0%,4.0%,69.9%,45.1%,13.4%,44.0%,72.0%,42.86%,70.00%,25.3%,24.5%,12.9%,40.0%,75.5%,21.4%,.330,.425,-0.94,-.011,GreenJackets,SAL vs. AUG (2023-08-13)<br>L 3-5,8/13/23
5,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727902,2023-08-05 18:05:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,436,FBG,FBG,W 11-7 (10),BOS,WSH,19.5,22,1,1,6.0,73,19,0.0%,-,90.7,11.6,6.87,5.3%,5.3%,65.8%,50.7%,6.8%,84.2%,63.2%,5.00%,16.67%,21.9%,27.3%,16.7%,38.9%,72.7%,17.6%,.282,.130,1.66,.023,Nationals,SAL vs. FBG (2023-08-05)<br>W 11-7,8/5/23
6,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727646,2023-07-29 18:05:00,SAL - AFX,414,AFX,true,true,true,Salem,SAL,SAL,481,HC,HC,W 7-2,BOS,CLE,19.5,22,1,1,6.0,66,20,3.1%,91.8,91.1,10.8,5.61,25.0%,0.0%,62.1%,33.8%,20.0%,80.0%,60.0%,20.00%,75.00%,25.8%,25.0%,6.7%,39.5%,75.0%,7.7%,.162,.099,1.50,.023,Hillcats,SAL vs. HC (2023-07-29)<br>W 7-2,7/29/23
7,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,728042,2023-07-22 17:00:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,485,DE,DE,W 5-1,BOS,TEX,19.5,22,1,1,5.0,78,21,1.3%,90.8,91.0,11.2,5.80,33.3%,0.0%,71.8%,47.4%,11.8%,61.9%,66.7%,30.77%,70.00%,29.5%,26.7%,12.0%,47.5%,73.3%,8.3%,.235,.178,1.10,.014,Wood Ducks,SAL vs. DE (2023-07-22)<br>W 5-1,7/22/23
8,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727653,2023-07-15 18:05:00,SAL - AFX,414,AFX,true,false,true,Salem,SAL,SAL,548,DEL,DEL,L 4-6,BOS,BAL,19.5,22,1,1,4.0,59,16,1.7%,90.6,91.1,9.2,5.55,43.8%,0.0%,76.3%,44.1%,15.3%,75.0%,62.5%,16.67%,50.00%,45.8%,43.8%,22.2%,42.4%,56.3%,25.0%,.286,.188,-0.05,-.001,Shorebirds,SAL vs. DEL (2023-07-15)<br>L 4-6,7/15/23
9,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727785,2023-07-04 18:30:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,481,HC,HC,W 4-2,BOS,CLE,19.5,22,1,1,5.0,57,16,0.0%,-,91.7,9.6,6.75,6.3%,0.0%,63.2%,56.1%,8.8%,75.0%,37.5%,11.11%,20.00%,15.8%,12.9%,7.7%,20.0%,87.1%,6.7%,.243,.166,1.07,.019,Hillcats,SAL vs. HC (2023-07-04)<br>W 4-2,7/4/23
10,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727923,2023-06-28 19:05:00,SAL - AFX,414,AFX,false,true,true,Salem,SAL,SAL,436,FBG,FBG,W 7-4,BOS,WSH,19.5,22,1,1,5.0,64,19,0.0%,-,91.1,10.4,6.67,10.5%,5.3%,64.1%,51.6%,4.7%,52.6%,63.2%,0.00%,28.57%,26.6%,17.2%,18.2%,22.6%,82.8%,0.0%,.219,.223,1.30,.020,Nationals,SAL vs. FBG (2023-06-28)<br>W 7-4,6/28/23
11,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727658,2023-06-18 15:05:00,SAL - AFX,414,AFX,true,true,true,Salem,SAL,SAL,548,DEL,DEL,W 10-4,BOS,BAL,19.5,22,1,1,4.2,83,20,6.0%,91.2,91.3,13.2,5.48,15.0%,5.0%,65.1%,36.6%,22.0%,70.0%,55.0%,17.65%,30.00%,21.7%,28.0%,11.5%,44.2%,72.0%,26.7%,.442,.476,-1.90,-.023,Shorebirds,SAL vs. DEL (2023-06-18)<br>W 10-4,6/18/23
12,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,728195,2023-06-11 17:05:00,SAL - AFX,414,AFX,false,false,true,Salem,SAL,SAL,3705,COL,COL,L 2-4,BOS,KC,19.5,22,1,1,5.0,62,22,0.0%,-,91.6,10.3,6.03,13.6%,4.5%,72.6%,45.2%,9.7%,54.5%,63.6%,0.00%,50.00%,30.6%,29.7%,14.3%,47.1%,70.3%,18.8%,.248,.305,1.63,.026,Fireflies,SAL vs. COL (2023-06-11)<br>L 2-4,6/11/23
13,699151,J. Paez,Jedixson Paez,Paez,Jedixson,P,Portland Sea Dogs,POR,546,Portland,aax,BOS,Salem RidgeYaks,SAL,414,Salem,AFX,BOS,2023,727732,2023-06-04 18:05:00,SAL - AFX,414,AFX,false,false,true,Salem,SAL,SAL,521,MB,MB,L 3-6,BOS,CHC,19.5,22,1,1,5.0,66,20,0.0%,-,90.1,12.0,6.44,20.0%,0.0%,69.7%,54.5%,10.6%,80.0%,45.0%,37.50%,57.14%,25.8%,21.6%,17.2%,26.7%,78.4%,6.3%,.199,.221,1.64,.025,Pelicans,SAL vs. MB (2023-06-04)<br>L 3-6,6/4/23
