Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,West Michigan Whitecaps,WM,582,West Michigan,AFA,DET,2025,784899,2025-07-27 15:05:00,WM - AFA,582,AFA,false,true,true,West Michigan,WM,WM,443,PEO,PEO,W 7-6,DET,STL,22.7,23,1,1,5.0,69,20,15.9%,94.1,95.2,14.8,5.63,30.0%,0.0%,72.5%,53.6%,10.1%,70.0%,60.0%,41.67%,55.56%,27.5%,22.5%,14.3%,37.5%,77.5%,0.0%,.161,.239,2.04,.030,Chiefs,WM vs. PEO (2025-07-27)<br>W 7-6,7/27/25
2,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785639,2025-07-19 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 9-4,DET,PHI,22.7,23,1,1,4.2,87,25,23.0%,93.8,94.9,14.0,6.44,8.0%,8.0%,70.1%,59.8%,11.5%,64.0%,76.0%,5.56%,16.67%,26.4%,15.6%,11.4%,28.6%,84.4%,15.0%,.358,.409,0.20,.002,Threshers,LAK vs. CLR (2025-07-19)<br>W 9-4,7/19/25
3,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785445,2025-07-12 18:30:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,587,TAM,TAM,W 6-3,DET,NYY,22.7,23,1,1,6.0,68,25,-,-,-,-,-,16.0%,0.0%,79.4%,-,-,64.0%,76.0%,-,36.36%,29.4%,15.0%,-,-,85.0%,14.3%,.312,.312,0.32,.005,Tarpons,LAK vs. TAM (2025-07-12)<br>W 6-3,7/12/25
4,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785635,2025-07-06 12:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,424,DUN,DUN,W 8-1,DET,TOR,22.7,23,1,1,2.2,29,9,17.2%,94.9,95.7,13.1,6.40,33.3%,0.0%,69.0%,55.2%,24.1%,66.7%,55.6%,100.00%,66.67%,41.4%,33.3%,12.5%,30.8%,66.7%,16.7%,.208,.228,0.51,.018,Blue Jays,LAK vs. DUN (2025-07-06)<br>W 8-1,7/6/25
5,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785651,2025-06-28 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,566,CLR,CLR,W 5-3,DET,PHI,22.7,23,1,1,6.0,76,28,28.9%,94.1,94.6,14.2,6.40,14.3%,7.1%,72.4%,59.2%,13.2%,67.9%,71.4%,0.00%,50.00%,26.3%,16.7%,8.6%,22.6%,83.3%,9.1%,.296,.311,0.11,.001,Threshers,LAK vs. CLR (2025-06-28)<br>W 5-3,6/28/25
6,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785770,2025-06-21 18:05:00,LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 2-5,DET,MIN,22.7,23,1,1,5.0,85,25,34.1%,93.4,94.3,14.0,6.25,24.0%,8.0%,68.2%,58.8%,20.0%,64.0%,72.0%,23.08%,62.50%,24.7%,19.6%,8.6%,31.4%,80.4%,5.9%,.265,.267,1.02,.012,Mighty Mussels,LAK vs. FTM (2025-06-21)<br>L 2-5,6/21/25
7,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785582,2025-06-14 18:00:00,LAK - AFX,570,AFX,false,true,true,Lakeland,LAK,LAK,279,PMB,PMB,W 7-4,DET,STL,22.7,23,1,1,6.0,78,22,44.9%,93.9,94.6,14.8,6.42,13.6%,0.0%,74.4%,65.4%,15.4%,77.3%,68.2%,6.25%,30.00%,26.9%,17.8%,13.5%,29.6%,82.2%,10.5%,.223,.160,1.76,.023,Cardinals,LAK vs. PMB (2025-06-14)<br>W 7-4,6/14/25
8,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785646,2025-06-07 18:00:00,LAK - AFX,570,AFX,true,true,true,Lakeland,LAK,LAK,450,DBT,DBT,W 6-0,DET,CIN,22.7,23,1,1,5.1,84,22,35.7%,94.7,95.7,14.7,6.47,31.8%,9.1%,63.1%,52.4%,13.1%,36.4%,63.6%,30.00%,83.33%,31.0%,37.2%,33.3%,25.0%,62.8%,0.0%,.274,.303,1.07,.013,Tortugas,LAK vs. DBT (2025-06-07)<br>W 6-0,6/7/25
9,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,786057,2025-05-31 13:05:00 (1),LAK - AFX,570,AFX,false,false,true,Lakeland,LAK,LAK,3390,BRD,BRD,L 1-8 (7),DET,PIT,22.7,23,1,1,5.2,83,25,43.4%,93.8,94.8,15.5,6.44,12.0%,4.0%,65.1%,48.2%,19.3%,48.0%,52.0%,0.00%,22.22%,24.1%,22.7%,10.0%,32.6%,77.3%,19.0%,.320,.403,0.08,.001,Marauders,LAK vs. BRD (2025-05-31)<br>L 1-8,5/31/25
10,695620,J. Randall,Josh Randall,Randall,Josh,P,Wilmington Blue Rocks,WIL,426,Wilmington,afa,WSH,Lakeland Flying Tigers,LAK,570,Lakeland,AFX,DET,2025,785657,2025-05-24 18:00:00,LAK - AFX,570,AFX,true,false,true,Lakeland,LAK,LAK,509,FTM,FTM,L 4-5 (10),DET,MIN,22.7,23,1,1,4.1,73,18,46.6%,94.8,95.4,15.3,6.44,11.1%,0.0%,65.8%,58.9%,17.8%,88.9%,66.7%,0.00%,28.57%,27.4%,24.3%,13.3%,23.3%,75.7%,12.5%,.210,.261,1.76,.024,Mighty Mussels,LAK vs. FTM (2025-05-24)<br>L 4-5,5/24/25
