Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756595,2024-08-23 22:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 7-15,SEA,SF,20.9,22,1,1,4.0,69,19,42.0%,90.9,91.6,21.6,6.08,31.6%,10.5%,63.8%,47.8%,14.5%,68.4%,57.9%,10.00%,83.33%,30.4%,25.8%,31.8%,25.0%,74.2%,18.2%,.299,.339,0.10,.001,Giants,MOD vs. SJ (2024-08-23)<br>L 7-15,8/23/24
2,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756798,2024-08-17 21:50:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 5-1,SEA,COL,20.9,22,1,1,5.0,70,18,41.4%,91.4,92.2,19.7,5.95,11.1%,11.1%,60.0%,55.7%,11.4%,77.8%,55.6%,9.09%,40.00%,27.1%,11.5%,9.1%,12.9%,88.5%,7.1%,.200,.133,2.00,.029,Grizzlies,MOD vs. FRE (2024-08-17)<br>W 5-1,8/17/24
3,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756599,2024-08-11 21:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,516,VIS,VIS,W 7-3,SEA,AZ,20.9,22,1,1,4.0,55,13,41.8%,89.3,90.7,22.3,6.02,15.4%,15.4%,60.0%,58.2%,12.7%,84.6%,64.3%,11.11%,50.00%,30.9%,20.0%,23.5%,13.0%,80.0%,11.1%,.306,.174,0.60,.011,Rawhide,MOD vs. VIS (2024-08-11)<br>W 7-3,8/11/24
4,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756605,2024-08-06 22:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,516,VIS,VIS,L 11-13,SEA,AZ,20.9,22,1,1,2.1,52,12,35.3%,89.7,90.2,20.5,5.90,25.0%,25.0%,55.8%,47.1%,19.6%,41.7%,58.3%,12.50%,50.00%,30.8%,23.5%,10.0%,22.2%,76.5%,20.0%,.301,.381,0.75,.014,Rawhide,MOD vs. VIS (2024-08-06)<br>L 11-13,8/6/24
5,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756611,2024-07-31 22:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,401,IE,IE,L 9-17,SEA,LAA,20.9,22,1,1,2.0,55,14,36.4%,91.6,92.0,20.2,5.84,21.4%,14.3%,63.6%,40.0%,25.5%,50.0%,78.6%,14.29%,42.86%,25.5%,25.0%,25.0%,36.4%,75.0%,37.5%,.528,.664,-2.03,-.037,66ers,MOD vs. IE (2024-07-31)<br>L 9-17,7/31/24
6,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756669,2024-07-25 21:30:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 3-4,SEA,SF,20.9,22,1,1,1.1,42,10,45.2%,92.1,93.0,20.4,6.62,10.0%,40.0%,54.8%,50.0%,14.3%,40.0%,60.0%,0.00%,33.33%,31.0%,33.3%,40.0%,23.8%,66.7%,20.0%,.519,.489,-0.49,-.012,Giants,MOD vs. SJ (2024-07-25)<br>L 3-4,7/25/24
7,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756748,2024-07-10 21:35:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,401,IE,IE,L 8-10,SEA,LAA,20.9,22,1,1,3.0,59,14,49.2%,91.8,93.0,19.7,5.79,7.1%,21.4%,57.6%,40.7%,15.3%,64.3%,57.1%,0.00%,33.33%,23.7%,25.9%,18.8%,31.4%,74.1%,0.0%,.404,.400,0.05,.001,66ers,MOD vs. IE (2024-07-10)<br>L 8-10,7/10/24
8,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756617,2024-07-03 22:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 6-3,SEA,COL,20.9,22,1,1,4.0,55,13,41.8%,94.0,94.5,21.1,5.99,23.1%,7.7%,61.8%,43.6%,21.8%,69.2%,76.9%,25.00%,42.86%,32.7%,27.3%,20.0%,22.6%,72.7%,0.0%,.225,.189,0.71,.013,Grizzlies,MOD vs. FRE (2024-07-03)<br>W 6-3,7/3/24
9,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756486,2024-06-28 22:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,524,STK,STK,W 10-4,SEA,ATH,20.9,22,1,1,3.0,72,19,45.8%,94.7,95.1,21.9,5.58,42.1%,15.8%,61.1%,56.9%,13.9%,36.8%,68.4%,40.00%,85.71%,36.1%,41.9%,30.4%,25.8%,58.1%,14.3%,.353,.517,-0.37,-.005,Ports,MOD vs. STK (2024-06-28)<br>W 10-4,6/28/24
10,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756620,2024-06-22 21:05:00,MOD - AFX,515,AFX,true,false,true,Modesto,MOD,MOD,476,SJ,SJ,L 2-4,SEA,SF,20.9,22,1,1,4.0,53,15,37.7%,92.7,93.2,19.9,5.74,33.3%,6.7%,64.2%,49.1%,13.2%,86.7%,53.3%,22.22%,66.67%,26.4%,25.9%,15.0%,25.9%,74.1%,0.0%,.185,.188,1.05,.020,Giants,MOD vs. SJ (2024-06-22)<br>L 2-4,6/22/24
11,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756550,2024-06-16 15:05:00,MOD - AFX,515,AFX,false,true,true,Modesto,MOD,MOD,516,VIS,VIS,W 15-3,SEA,AZ,20.9,22,1,1,6.0,82,21,24.7%,91.8,92.4,19.2,5.83,23.8%,9.5%,63.4%,44.4%,22.2%,66.7%,61.9%,18.18%,44.44%,36.6%,35.3%,11.1%,35.6%,64.7%,0.0%,.172,.150,2.72,.033,Rawhide,MOD vs. VIS (2024-06-16)<br>W 15-3,6/16/24
12,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756557,2024-06-11 21:30:00,MOD - AFX,515,AFX,false,false,true,Modesto,MOD,MOD,516,VIS,VIS,L 5-6 (10),SEA,AZ,20.9,22,1,1,6.0,76,25,43.4%,92.2,93.1,19.5,5.83,28.0%,0.0%,77.6%,58.7%,18.7%,68.0%,80.0%,40.00%,45.45%,34.2%,23.3%,6.5%,35.5%,76.7%,6.3%,.280,.247,0.35,.005,Rawhide,MOD vs. VIS (2024-06-11)<br>L 5-6,6/11/24
13,702640,T. Gough,Tyler Gough,Gough,Tyler,P,,,,,,,Modesto Nuts,MOD,515,Modesto,AFX,SEA,2024,756628,2024-06-05 22:05:00,MOD - AFX,515,AFX,true,true,true,Modesto,MOD,MOD,259,FRE,FRE,W 9-2,SEA,COL,20.9,22,1,1,6.0,78,22,44.9%,92.2,93.0,21.2,5.84,22.7%,4.5%,66.7%,53.8%,12.8%,50.0%,72.7%,23.08%,60.00%,26.9%,18.4%,13.8%,25.0%,81.6%,20.0%,.268,.258,0.63,.008,Grizzlies,MOD vs. FRE (2024-06-05)<br>W 9-2,6/5/24
