Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,seasonYear,gameId,date,teamWithLevel,teamId,teamLevel,home,win,final,location,team,abbrevName,opponentId,opponentToken,opponent,result,org,oppOrg,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P,scatterName,scatterExtra,gameDay
1,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786414,2025-09-04 12:05:00 (1),WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 5-1 (7),MIL,WSH,20.4,21,1,1,4.0,69,17,7.2%,93.6,94.7,14.1,6.56,17.6%,5.9%,60.9%,52.2%,23.2%,70.6%,58.8%,21.43%,33.33%,21.7%,20.6%,18.5%,21.2%,79.4%,8.3%,.250,.239,0.92,.013,Nationals,WIL vs. FBG (2025-09-04)<br>W 5-1,9/4/25
2,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786741,2025-08-29 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 2-6,MIL,BAL,20.4,21,1,1,5.0,69,18,0.0%,-,95.2,14.5,6.47,11.1%,5.6%,63.8%,59.4%,17.4%,61.1%,55.6%,10.00%,33.33%,26.1%,23.5%,20.7%,17.9%,76.5%,33.3%,.484,.344,-1.96,-.028,Shorebirds,WIL vs. DEL (2025-08-29)<br>L 2-6,8/29/25
3,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786087,2025-08-23 12:05:00 (1),WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,414,SAL,SAL,L 0-2 (7),MIL,BOS,20.4,21,1,1,3.2,76,15,1.3%,94.7,94.7,11.5,6.31,33.3%,20.0%,55.3%,36.8%,18.4%,53.3%,60.0%,28.57%,60.00%,30.3%,45.7%,35.0%,31.3%,54.3%,28.6%,.439,.364,-0.93,-.012,Red Sox,WIL vs. SAL (2025-08-23)<br>L 0-2,8/23/25
4,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786486,2025-08-15 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 3-20,MIL,HOU,20.4,21,1,1,4.0,76,19,0.0%,-,94.6,14.5,6.03,15.8%,15.8%,61.8%,47.4%,7.9%,63.2%,60.0%,6.25%,50.00%,22.4%,16.7%,8.7%,32.5%,83.3%,25.0%,.348,.400,-0.03,-.000,Woodpeckers,WIL vs. FAY (2025-08-15)<br>L 3-20,8/15/25
5,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786747,2025-08-09 12:05:00 (1),WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,481,HC,HC,W 3-2 (7),MIL,CLE,20.4,21,1,1,5.0,68,16,4.4%,94.6,96.4,15.4,6.53,37.5%,0.0%,70.6%,55.9%,7.4%,81.3%,62.5%,33.33%,44.44%,30.9%,18.2%,9.5%,40.0%,81.8%,20.0%,.139,.055,2.02,.030,Hillcats,WIL vs. HC (2025-08-09)<br>W 3-2,8/9/25
6,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786824,2025-07-31 19:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,478,AUG,AUG,L 0-3,MIL,ATL,20.4,21,1,1,5.0,67,19,6.0%,93.0,94.7,12.9,6.33,21.1%,0.0%,62.7%,56.7%,19.4%,52.6%,63.2%,10.00%,60.00%,23.9%,25.7%,20.0%,17.2%,74.3%,7.7%,.227,.224,1.06,.016,GreenJackets,WIL vs. AUG (2025-07-31)<br>L 0-3,7/31/25
7,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786753,2025-07-25 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,487,KAN,KAN,L 7-8 (10),MIL,CWS,20.4,21,1,1,4.0,63,17,3.2%,93.4,94.6,13.2,6.52,23.5%,17.6%,60.3%,42.9%,12.7%,52.9%,76.5%,0.00%,80.00%,30.2%,24.0%,0.0%,36.1%,76.0%,20.0%,.311,.351,0.72,.011,Cannon Ballers,WIL vs. KAN (2025-07-25)<br>L 7-8,7/25/25
8,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786559,2025-07-19 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 3-2,MIL,BAL,20.4,21,1,1,4.1,69,18,7.2%,92.7,93.9,13.5,6.16,16.7%,5.6%,58.0%,43.5%,13.0%,61.1%,77.8%,25.00%,75.00%,29.0%,16.7%,12.5%,20.5%,83.3%,21.4%,.298,.234,-0.08,-.001,Shorebirds,WIL vs. DEL (2025-07-19)<br>W 3-2,7/19/25
9,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786769,2025-07-08 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,436,FBG,FBG,L 4-5,MIL,WSH,20.4,21,1,1,5.0,70,22,5.7%,94.1,94.8,14.7,6.69,40.9%,0.0%,75.7%,55.7%,14.3%,63.6%,81.8%,40.00%,70.00%,45.7%,47.5%,29.6%,41.9%,52.5%,16.7%,.316,.330,-0.24,-.003,Nationals,WIL vs. FBG (2025-07-08)<br>L 4-5,7/8/25
10,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786765,2025-07-01 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 6-7,MIL,HOU,20.4,21,1,1,3.0,63,16,6.3%,93.9,95.1,15.3,6.59,18.8%,6.3%,60.3%,57.1%,15.9%,43.8%,56.3%,9.09%,60.00%,23.8%,14.8%,13.0%,14.8%,85.2%,27.3%,.400,.410,-1.38,-.022,Woodpeckers,WIL vs. FAY (2025-07-01)<br>L 6-7,7/1/25
11,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786579,2025-06-25 19:05:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,548,DEL,DEL,W 5-4,MIL,BAL,20.4,21,1,1,5.0,73,19,11.0%,93.7,94.1,14.7,6.36,31.6%,15.8%,53.4%,43.8%,26.0%,63.2%,52.6%,40.00%,100.00%,23.3%,26.7%,20.8%,14.6%,73.3%,10.0%,.213,.301,0.70,.010,Shorebirds,WIL vs. DEL (2025-06-25)<br>W 5-4,6/25/25
12,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786763,2025-06-19 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,3705,COL,COL,L 3-6 (8),MIL,KC,20.4,21,1,1,3.1,62,19,3.2%,94.5,94.5,13.7,6.69,21.1%,10.5%,67.7%,54.8%,19.4%,57.9%,73.7%,18.18%,50.00%,30.6%,30.3%,16.7%,32.1%,69.7%,0.0%,.314,.353,0.67,.011,Fireflies,WIL vs. COL (2025-06-19)<br>L 3-6,6/19/25
13,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786244,2025-06-13 18:30:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,481,HC,HC,L 2-6,MIL,CLE,20.4,21,1,1,3.1,70,17,2.9%,92.4,93.6,13.9,6.57,23.5%,11.8%,54.3%,40.0%,14.3%,47.1%,47.1%,22.22%,42.86%,27.1%,24.0%,20.0%,23.8%,76.0%,30.0%,.372,.353,-0.81,-.012,Hillcats,WIL vs. HC (2025-06-13)<br>L 2-6,6/13/25
14,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786774,2025-06-06 19:47:00 (2),WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,233,CHS,CHS,L 0-3 (7),MIL,TB,20.4,21,1,1,4.1,71,20,7.0%,93.8,94.9,13.8,6.59,20.0%,10.0%,57.7%,47.9%,18.3%,55.0%,50.0%,16.67%,40.00%,25.4%,25.8%,13.0%,21.6%,74.2%,0.0%,.327,.369,-0.14,-.002,RiverDogs,WIL vs. CHS (2025-06-06)<br>L 0-3,6/6/25
15,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786780,2025-05-30 18:30:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,414,SAL,SAL,W 8-7,MIL,BOS,20.4,21,1,1,5.0,68,18,1.5%,95.1,95.2,13.9,6.57,27.8%,5.6%,64.7%,47.8%,16.4%,83.3%,77.8%,28.57%,44.44%,27.9%,30.6%,21.7%,34.3%,69.4%,18.2%,.246,.227,1.19,.017,Red Sox,WIL vs. SAL (2025-05-30)<br>W 8-7,5/30/25
16,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786449,2025-05-23 20:06:00 (2),WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,436,FBG,FBG,W 6-3 (7),MIL,WSH,20.4,21,1,1,4.0,71,17,0.0%,-,94.3,13.6,6.61,35.3%,11.8%,67.6%,54.9%,12.7%,58.8%,66.7%,9.09%,85.71%,33.8%,41.5%,29.0%,31.3%,58.5%,22.2%,.285,.310,1.34,.019,Nationals,WIL vs. FBG (2025-05-23)<br>W 6-3,5/23/25
17,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786787,2025-05-17 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,3712,FAY,FAY,L 6-18,MIL,HOU,20.4,21,1,1,2.1,63,17,6.3%,93.8,94.7,14.8,6.47,11.8%,17.6%,58.7%,44.4%,23.8%,41.2%,75.0%,0.00%,40.00%,30.2%,30.8%,10.5%,20.0%,69.2%,18.2%,.459,.519,-1.67,-.026,Woodpeckers,WIL vs. FAY (2025-05-17)<br>L 6-18,5/17/25
18,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786325,2025-05-11 13:30:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,487,KAN,KAN,L 0-3,MIL,CWS,20.4,21,1,1,1.2,38,8,34.2%,96.1,96.4,14.8,5.78,25.0%,0.0%,57.9%,47.4%,23.7%,75.0%,25.0%,11.11%,0.00%,21.1%,17.6%,0.0%,20.0%,82.4%,20.0%,.164,.200,0.31,.008,Cannon Ballers,WIL vs. KAN (2025-05-11)<br>L 0-3,5/11/25
19,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786323,2025-05-06 18:00:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,487,KAN,KAN,W 6-4 (11),MIL,CWS,20.4,21,1,1,3.2,64,15,31.3%,95.4,96.1,14.1,5.74,26.7%,13.3%,65.6%,48.4%,20.3%,66.7%,68.8%,16.67%,44.44%,37.5%,37.9%,11.1%,33.3%,62.1%,22.2%,.329,.371,0.55,.009,Cannon Ballers,WIL vs. KAN (2025-05-06)<br>W 6-4,5/6/25
20,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786797,2025-04-29 18:00:00,WIL - AFX,249,AFX,true,true,true,Wilson,WIL,WIL,521,MB,MB,W 8-6,MIL,CHC,20.4,21,1,1,3.0,58,13,19.0%,95.0,95.7,14.3,6.65,30.8%,7.7%,62.1%,44.8%,25.9%,61.5%,53.8%,25.00%,57.14%,29.3%,32.1%,11.1%,31.3%,67.9%,25.0%,.320,.346,-0.07,-.001,Pelicans,WIL vs. MB (2025-04-29)<br>W 8-6,4/29/25
21,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786661,2025-04-22 11:05:00,WIL - AFX,249,AFX,false,false,true,Wilson,WIL,WIL,3705,COL,COL,L 11-12 (10),MIL,KC,20.4,21,1,1,2.2,49,12,28.6%,93.2,94.7,12.7,6.55,0.0%,16.7%,59.2%,63.3%,18.4%,58.3%,25.0%,0.00%,0.00%,20.4%,20.8%,22.7%,11.1%,79.2%,0.0%,.293,.353,1.07,.022,Fireflies,WIL vs. COL (2025-04-22)<br>L 11-12,4/22/25
22,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786803,2025-04-16 18:30:00,WIL - AFX,249,AFX,true,false,true,Wilson,WIL,WIL,548,DEL,DEL,L 3-6,MIL,BAL,20.4,21,1,1,2.2,48,13,14.6%,93.9,95.6,12.3,6.57,7.7%,15.4%,54.2%,47.9%,29.2%,46.2%,61.5%,16.67%,50.00%,14.6%,13.6%,10.5%,12.0%,86.4%,11.1%,.430,.387,-1.10,-.023,Shorebirds,WIL vs. DEL (2025-04-16)<br>L 3-6,4/16/25
23,800485,W. Torres,Wande Torres,Torres,Wande,P,Wisconsin Timber Rattlers,WIS,572,Wisconsin,afa,MIL,Wilson Warbirds,WIL,249,Wilson,AFX,MIL,2025,786210,2025-04-09 18:35:00,WIL - AFX,249,AFX,false,true,true,Wilson,WIL,WIL,521,MB,MB,W 9-2,MIL,CHC,20.4,21,1,1,2.0,42,9,11.9%,93.3,95.2,12.5,6.43,11.1%,11.1%,57.1%,61.9%,21.4%,66.7%,66.7%,0.00%,50.00%,21.4%,6.3%,6.7%,6.3%,93.8%,16.7%,.230,.351,0.70,.017,Pelicans,WIL vs. MB (2025-04-09)<br>W 9-2,4/9/25
