Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
1,701404,F. Jameson,Fisher Jameson,Jameson,Fisher,P,Spokane Indians,SPO,486,Spokane,afa,COL,Fresno Grizzlies,FRE,259,Fresno,AFX,COL,R,R,22.2,22,39,7,99.1,1546,408,13.7%,92.6,93.2,16.0,5.00,22.8%,5.4%,64.6%,49.3%,16.2%,63.0%,55.9%,20.17%,47.50%,29.8%,29.8%,18.0%,29.6%,70.2%,10.1%,.256,.274,19.99,.013
2,702910,J. Lara,Jhancarlos Lara,Lara,Jhancarlos,P,Columbus Clingstones,COL,6325,Columbus,aax,ATL,Gwinnett Stripers,GWN,431,Gwinnett,AAA,ATL,R,R,22.5,23,34,14,68.2,1388,327,34.1%,98.5,99.4,15.9,6.48,31.8%,19.9%,55.1%,41.1%,24.9%,50.8%,46.9%,32.14%,59.68%,31.3%,38.0%,25.5%,24.1%,62.0%,16.9%,.331,.352,-1.04,-.001
3,800260,A. Flores,Anthony Flores,Flores,Anthony,P,Biloxi Shuckers,BLX,5015,Biloxi,aax,MIL,Wisconsin Timber Rattlers,WIS,572,Wisconsin,AFA,MIL,L,L,20.7,21,32,11,91.0,1553,404,20.5%,88.7,89.1,11.6,5.76,22.8%,11.9%,61.0%,49.9%,16.9%,56.7%,56.8%,23.01%,53.73%,28.0%,26.6%,16.5%,25.2%,73.4%,18.2%,.325,.335,3.54,.002
3,811598,K. Olmedo,Kleiber Olmedo,Olmedo,Kleiber,P,Fort Wayne TinCaps,FW,584,Fort Wayne,afa,SD,Lake Elsinore Storm,LE,103,Lake Elsinore,AFX,SD,R,R,20.9,21,32,8,77.2,1324,354,39.1%,93.2,94.8,19.8,5.76,24.3%,10.5%,63.5%,47.7%,17.4%,59.3%,59.7%,28.30%,52.08%,29.8%,32.6%,23.4%,30.8%,67.4%,15.6%,.291,.334,12.88,.010
5,692352,M. Mercedes,Manuel Mercedes,Mercedes,Manuel,P,Richmond Flying Squirrels,RIC,3410,Richmond,aax,SF,Richmond Flying Squirrels,RIC,3410,Richmond,AAX,SF,R,R,22.8,23,31,16,91.1,1651,424,0.7%,93.3,94.9,10.8,6.04,14.6%,11.6%,58.4%,50.2%,16.7%,53.3%,54.7%,15.69%,41.13%,23.9%,18.4%,13.3%,18.7%,81.6%,18.1%,.348,.364,-8.95,-.005
5,692616,M. Veliz,Mauricio Veliz,Veliz,Mauricio,P,,,,,,,Northwest Arkansas Naturals,NWA,1350,NW Arkansas,AAX,KC,R,R,23.0,23,31,5,65.2,1167,307,21.1%,94.0,94.9,16.4,6.45,16.9%,11.7%,59.0%,48.8%,17.1%,56.4%,56.8%,15.15%,42.71%,25.8%,26.8%,21.0%,22.4%,73.2%,14.9%,.302,.340,7.19,.006
5,701717,D. Pence,Dalton Pence,Pence,Dalton,P,Hub City Spartanburgers,HCS,6324,Hub City,afa,TEX,Hub City Spartanburgers,HCS,6324,Hub City,AFA,TEX,L,L,22.8,23,31,18,82.1,1352,327,52.6%,91.9,92.9,22.0,6.10,31.5%,8.3%,65.2%,51.3%,16.1%,69.7%,62.3%,21.82%,58.71%,30.5%,32.0%,25.2%,29.9%,68.0%,17.9%,.252,.246,19.38,.014
8,694397,M. Raya,Marco Raya,Raya,Marco,P,St. Paul Saints,STP,1960,St. Paul,aaa,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,22.9,23,30,20,98.2,1721,451,19.5%,95.3,95.4,14.4,6.29,22.6%,12.6%,61.2%,44.8%,22.7%,56.3%,59.3%,25.54%,51.76%,28.2%,30.5%,18.2%,29.4%,69.5%,17.6%,.314,.363,7.04,.004
8,827526,J. Kisting,Jacob Kisting,Kisting,Jacob,P,Bowling Green Hot Rods,BG,2498,Bowling Green,afa,TB,Cedar Rapids Kernels,CR,492,Cedar Rapids,AFA,MIN,R,R,22.2,23,30,5,73.2,1185,300,28.0%,92.4,93.3,18.5,6.14,25.7%,7.7%,65.5%,56.1%,14.9%,59.3%,60.7%,20.71%,55.56%,30.6%,26.3%,20.7%,25.4%,73.8%,11.1%,.272,.254,14.66,.012
8,700481,E. Catlett,Everett Catlett,Catlett,Everett,P,Spokane Indians,SPO,486,Spokane,afa,COL,Spokane Indians,SPO,486,Spokane,AFA,COL,L,L,23.0,23,30,21,133.1,2210,571,25.5%,92.0,92.6,18.5,5.68,23.5%,8.6%,62.3%,45.9%,17.7%,59.0%,58.3%,20.97%,49.77%,29.1%,30.4%,20.6%,29.2%,69.6%,14.3%,.277,.308,19.89,.009
