Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
1,700241,M. McGreevy,Michael McGreevy,McGreevy,Michael,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,L,R,23.3,25,97,97,522.1,8456,2200,13.8%,92.6,93.1,13.8,6.32,20.7%,5.8%,64.4%,49.0%,16.0%,61.8%,64.3%,19.05%,47.78%,26.9%,21.4%,12.6%,30.6%,78.6%,14.4%,.286,.317,68.53,.008
2,692230,C. Rodriguez,Carlos Rodriguez,Rodriguez,Carlos,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,22.1,24,99,88,460.0,7707,1939,29.8%,92.3,93.1,16.6,5.98,26.5%,10.6%,60.9%,45.2%,19.4%,60.0%,59.1%,23.68%,53.78%,28.7%,31.7%,24.1%,28.7%,68.3%,13.9%,.276,.287,79.76,.010
3,696131,M. Black,Mason Black,Black,Mason,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,24.3,26,110,97,451.0,7573,1921,27.1%,93.1,94.4,16.2,6.45,25.9%,10.1%,62.6%,49.6%,16.6%,60.6%,59.4%,22.34%,52.98%,29.4%,26.8%,21.3%,26.7%,73.2%,16.1%,.302,.316,40.62,.005
4,690953,M. Abel,Mick Abel,Abel,Mick,P,Minnesota Twins,MIN,142,Minnesota,mlb,MIN,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,22.3,24,88,88,428.2,7435,1866,51.5%,95.4,96.9,17.8,6.51,26.4%,12.5%,61.9%,48.3%,17.8%,60.6%,56.8%,21.87%,52.99%,29.7%,29.7%,21.0%,27.0%,70.3%,16.6%,.299,.315,57.12,.008
5,690916,R. Fitts,Richard Fitts,Fitts,Richard,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,R,R,23.8,26,83,82,426.2,6762,1755,48.1%,93.5,94.8,19.1,6.50,25.2%,6.7%,66.7%,51.1%,14.4%,64.2%,63.4%,22.01%,48.30%,29.8%,27.8%,21.4%,31.2%,72.2%,16.6%,.283,.297,69.11,.010
6,804926,A. Peterson,Austin Peterson,Peterson,Austin,P,Cleveland Guardians,CLE,114,Cleveland,mlb,CLE,Columbus Clippers,COL,445,Columbus,AAA,CLE,R,R,24.8,26,79,77,422.2,6230,1701,42.1%,91.1,92.5,18.2,6.71,22.8%,5.2%,66.5%,50.0%,15.3%,65.5%,67.1%,22.17%,50.15%,29.7%,24.9%,16.7%,31.3%,75.1%,16.7%,.280,.291,49.53,.008
7,695667,B. Kudrna,Ben Kudrna,Kudrna,Ben,P,Kansas City Royals,KC,118,Kansas City,mlb,KC,Omaha Storm Chasers,OMA,541,Omaha,AAA,KC,R,R,21.1,23,87,83,403.2,6670,1744,41.8%,92.8,94.1,19.4,6.03,22.5%,10.6%,62.6%,48.7%,16.6%,59.9%,59.9%,20.63%,48.63%,28.5%,29.3%,20.3%,27.9%,70.7%,13.8%,.291,.327,61.36,.009
8,700669,G. Graceffo,Gordon Graceffo,Graceffo,Gordon,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,R,R,23.8,26,99,74,402.0,6476,1709,48.2%,93.8,95.6,17.4,6.18,21.8%,8.0%,64.2%,50.5%,15.6%,61.3%,61.4%,19.92%,47.26%,28.0%,25.3%,16.4%,29.1%,74.7%,17.2%,.295,.314,59.64,.009
9,678906,K. Teng,Kai-Wei Teng,Teng,Kai-Wei,P,Houston Astros,HOU,117,Houston,mlb,HOU,Sacramento River Cats,SAC,105,Sacramento,AAA,SF,R,R,25.0,27,108,74,398.2,6940,1787,23.6%,93.1,93.9,13.2,6.09,27.3%,12.4%,60.7%,47.3%,21.3%,56.9%,57.3%,25.33%,60.91%,30.3%,30.7%,18.7%,27.3%,69.3%,15.1%,.312,.337,29.89,.004
10,701487,P. Ohl,Pierson Ohl,Ohl,Pierson,P,Colorado Rockies,COL,115,Colorado,mlb,COL,St. Paul Saints,STP,1960,St. Paul,AAA,MIN,R,R,24.4,26,89,60,392.1,5775,1600,33.7%,90.7,91.7,19.5,5.88,23.3%,3.6%,69.5%,54.2%,11.9%,67.9%,70.8%,21.17%,45.63%,30.8%,26.9%,20.2%,32.7%,73.1%,16.0%,.270,.292,75.72,.013
