Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,currentTeamName,currentTeamAbbrevName,currentTeamId,currentTeamLocation,currentTeamLevel,currentOrg,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,newestOrg,batsHand,throwsHand,SeasonAgeAvg,CurrentAge,G,GS,IP,P,BF,Fast%,Vel4S,90thVel,IndVertBrk90,Extension,K%,BB%,Strike%,InZone%,NonCompLoc%,T3PO,FPStk%,Kill%,2KC,CSW%,Miss%,In Zone Miss,Chase%,Contact%,Barrel%,xWOBA,wOBA,xPitchRV,xPitchRV/P
1,700241,M. McGreevy,Michael McGreevy,McGreevy,Michael,P,St. Louis Cardinals,STL,138,St. Louis,mlb,STL,Memphis Redbirds,MEM,235,Memphis,AAA,STL,L,R,23.3,25,97,97,522.1,8456,2200,13.8%,92.6,93.1,13.8,6.32,20.7%,5.8%,64.4%,49.0%,16.0%,61.8%,64.3%,19.05%,47.78%,26.9%,21.4%,12.6%,30.6%,78.6%,14.4%,.286,.317,68.53,.008
2,672712,L. Palacios,Luis Palacios,Palacios,Luis,P,Pensacola Blue Wahoos,PNS,4124,Pensacola,aax,MIA,Pensacola Blue Wahoos,PNS,4124,Pensacola,AAX,MIA,L,L,23.8,25,112,77,499.1,7498,2085,1.5%,88.4,89.4,14.7,5.81,19.7%,5.8%,65.8%,52.0%,15.5%,64.2%,65.3%,18.31%,46.10%,27.6%,24.2%,17.9%,28.3%,75.8%,15.8%,.295,.321,51.21,.007
3,691786,M. Morales,Michael Morales,Morales,Michael,P,Arkansas Travelers,ARK,574,Arkansas,aax,SEA,Arkansas Travelers,ARK,574,Arkansas,AAX,SEA,R,R,21.4,23,101,101,485.2,7608,2101,33.4%,91.7,92.5,18.9,5.95,21.8%,8.4%,63.7%,49.5%,16.5%,62.3%,61.9%,22.97%,49.26%,29.2%,27.1%,19.3%,27.5%,72.9%,15.6%,.301,.318,36.37,.005
4,696040,P. Chen,Po-Yu Chen,Chen,Po-Yu,P,Altoona Curve,ALT,452,Altoona,aax,PIT,Altoona Curve,ALT,452,Altoona,AAX,PIT,L,R,22.4,24,107,101,479.0,7549,2073,20.7%,91.2,92.4,17.6,6.04,20.8%,8.9%,64.0%,50.7%,15.2%,62.7%,61.7%,19.23%,49.80%,26.3%,25.2%,18.6%,27.9%,74.8%,16.4%,.315,.329,22.56,.003
5,692230,C. Rodriguez,Carlos Rodriguez,Rodriguez,Carlos,P,Milwaukee Brewers,MIL,158,Milwaukee,mlb,MIL,Nashville Sounds,NAS,556,Nashville,AAA,MIL,R,R,22.1,24,99,88,460.0,7707,1939,29.8%,92.3,93.1,16.6,5.98,26.5%,10.6%,60.9%,45.2%,19.4%,60.0%,59.1%,23.68%,53.78%,28.7%,31.7%,24.1%,28.7%,68.3%,13.9%,.276,.287,79.76,.010
6,683157,E. Fitterer,Evan Fitterer,Fitterer,Evan,P,El Paso Chihuahuas,ELP,4904,El Paso,aaa,SD,El Paso Chihuahuas,ELP,4904,El Paso,AAA,SD,R,R,23.8,25,111,86,456.0,7980,2014,32.8%,93.8,94.9,11.0,5.92,20.8%,12.1%,60.1%,48.1%,18.3%,57.2%,59.3%,18.68%,48.98%,25.8%,25.4%,18.2%,24.1%,74.6%,12.0%,.301,.321,52.38,.007
7,684516,H. Rincon,Hancel Rincon,Rincon,Hancel,P,Memphis Redbirds,MEM,235,Memphis,aaa,STL,Springfield Cardinals,SPR,440,Springfield,AAX,STL,R,R,21.9,23,87,77,437.2,6619,1819,42.9%,91.9,93.7,18.0,5.72,21.0%,6.5%,66.3%,50.6%,16.4%,64.7%,60.7%,20.89%,46.49%,26.6%,25.2%,17.3%,31.5%,74.8%,17.0%,.278,.299,77.69,.012
8,680572,A. Kloffenstein,Adam Kloffenstein,Kloffenstein,Adam,P,Scranton/Wilkes-Barre RailRiders,SWB,531,Scranton/WB,aaa,NYY,Scranton/Wilkes-Barre RailRiders,SWB,531,Scranton/WB,AAA,NYY,R,R,23.3,25,92,87,428.2,7231,1890,5.1%,91.5,91.7,9.8,6.46,23.6%,10.6%,62.2%,48.3%,18.1%,59.5%,58.9%,21.86%,52.44%,28.8%,29.9%,19.8%,29.1%,70.1%,15.8%,.311,.346,47.74,.007
9,691251,A. Lara,Andry Lara,Lara,Andry,P,Rochester Red Wings,ROC,534,Rochester,aaa,WSH,Rochester Red Wings,ROC,534,Rochester,AAA,WSH,R,R,21.1,23,97,84,406.1,6452,1749,22.0%,93.9,94.7,17.3,5.87,20.8%,9.0%,62.5%,48.2%,17.2%,58.6%,58.1%,23.56%,48.78%,26.9%,26.7%,17.3%,28.7%,73.3%,16.7%,.294,.320,45.99,.007
10,692352,M. Mercedes,Manuel Mercedes,Mercedes,Manuel,P,Richmond Flying Squirrels,RIC,3410,Richmond,aax,SF,Richmond Flying Squirrels,RIC,3410,Richmond,AAX,SF,R,R,21.5,23,112,71,401.1,6938,1826,0.3%,93.5,94.7,10.3,5.72,16.4%,11.6%,58.9%,46.4%,18.9%,54.5%,55.1%,16.57%,42.65%,25.4%,20.9%,14.0%,23.1%,79.1%,13.8%,.317,.340,0.83,.000
11,801179,Y. Lin,Yu-Min Lin,Lin,Yu-Min,P,Reno Aces,RNO,2310,Reno,aaa,AZ,Reno Aces,RNO,2310,Reno,AAA,AZ,L,L,20.8,22,87,87,400.2,6824,1740,15.7%,90.8,91.7,14.1,6.01,24.9%,10.5%,61.0%,46.6%,20.0%,58.9%,56.8%,22.34%,55.16%,29.8%,29.4%,20.7%,26.1%,70.6%,14.8%,.318,.334,2.54,.000
12,694205,V. Lizarraga,Victor Lizarraga,Lizarraga,Victor,P,San Antonio Missions,SA,510,San Antonio,aax,SD,San Antonio Missions,SA,510,San Antonio,AAX,SD,R,R,20.3,22,93,90,397.0,6624,1743,32.8%,91.3,92.4,15.2,6.62,21.6%,10.6%,61.6%,48.4%,17.8%,59.8%,61.8%,21.78%,49.83%,27.5%,26.4%,19.1%,24.2%,73.6%,16.6%,.314,.319,14.56,.002
