Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2022,"Ronald Herrera","WSN","AA",27,129,0.28650138,1.146153846,0.254010695,0.398395721,0.347593582,0.261538461,0.123076923,0.46437995,0.24538259,0.29023747,0.12269327,749,1256,2005,"15688"
2022,"Jesus Tinoco","TEX","AAA",27,44,0.27777778,2.666666666,0.19266055,0.587155963,0.220183486,0.25,0.125,0.41441441,0.26126126,0.32432432,0.16152717,227,454,681,"16300"
2022,"Scott Blewett","CHW","AA",26,111,0.32634731,1.178861788,0.211764705,0.426470588,0.361764705,0.195121951,0.105691056,0.45821326,0.23054755,0.31123919,0.10898138,696,1130,1826,"16427"
2023,"Scott Blewett","ATL","AA",27,72.2,0.26943005,1.077922077,0.179487179,0.425641025,0.394871794,0.285714285,0.09090909,0.45728643,0.20603015,0.33668342,0.12446352,422,743,1165,"16427"
2022,"Touki Toussaint","ATL","AAA",26,41.2,0.33980583,2.454545454,0.296296296,0.5,0.203703703,0.227272727,0.318181818,0.60909091,0.21818182,0.17272727,0.12335958,323,439,762,"16929"
2022,"Elieser Hernandez","MIA","AAA",27,57,0.30496454,0.652777777,0.184931506,0.321917808,0.493150684,0.236111111,0.111111111,0.42,0.23333333,0.34666667,0.1300813,339,645,984,"16933"
2022,"Luis Ortiz","SFG","AAA",26,67.1,0.32085561,1.227272727,0.230366492,0.424083769,0.345549738,0.151515151,0.121212121,0.38974359,0.23589744,0.37435897,0.11355634,402,734,1136,"16942"
2023,"Luis Ortiz","PHI","AAA",27,45,0.29752066,1.911764705,0.175,0.541666666,0.283333333,0.176470588,0.058823529,0.41803279,0.19672131,0.3852459,0.10735294,229,451,680,"16942"
2023,"Grant Holmes","ATL","AAA",27,61,0.31578947,1.109090909,0.256410256,0.391025641,0.352564102,0.218181818,0.09090909,0.44585987,0.22292994,0.33121019,0.14076246,364,659,1023,"16944"
2022,"Ariel Jurado","MIN","AAA",26,53.1,0.23404255,1.489795918,0.152777777,0.506944444,0.340277777,0.183673469,0.142857142,0.46621622,0.22972973,0.30405405,0.092,234,516,750,"17030"
